enrollment_id,enrolled_at,status,student_id,course_id,semester_id
ENR-00000053,2025-12-15,failed,STU-0001091,CRS-00026,SEM-005
ENR-00000054,2022-10-05,dropped,STU-0001857,CRS-00203,SEM-008
ENR-00000055,2023-12-23,completed,STU-0004257,CRS-00142,SEM-004
ENR-00000056,2022-10-03,completed,STU-0000929,CRS-00141,SEM-004
ENR-00000057,2024-07-11,failed,STU-0004893,CRS-00068,SEM-005
ENR-00000058,2025-05-08,completed,STU-0000064,CRS-00030,SEM-003
ENR-00000059,2024-05-12,active,STU-0002617,CRS-00217,SEM-003
ENR-00000060,2024-08-28,dropped,STU-0003374,CRS-00041,SEM-007
ENR-00000061,2025-10-07,completed,STU-0000966,CRS-00032,SEM-004
ENR-00000062,2024-04-09,completed,STU-0004933,CRS-00074,SEM-002
ENR-00000063,2025-07-11,active,STU-0002546,CRS-00087,SEM-006
ENR-00000064,2024-12-13,active,STU-0003867,CRS-00152,SEM-005
ENR-00000065,2022-05-01,dropped,STU-0002930,CRS-00159,SEM-002
ENR-00000066,2023-04-28,completed,STU-0002873,CRS-00154,SEM-002
ENR-00000067,2025-04-29,dropped,STU-0004148,CRS-00124,SEM-008
ENR-00000068,2024-02-08,active,STU-0001613,CRS-00079,SEM-006
ENR-00000069,2025-02-07,completed,STU-0002146,CRS-00218,SEM-003
ENR-00000070,2022-11-04,dropped,STU-0001290,CRS-00272,SEM-001
ENR-00000071,2023-09-16,failed,STU-0003518,CRS-00101,SEM-007
ENR-00000072,2024-03-26,completed,STU-0004934,CRS-00168,SEM-007
ENR-00000073,2023-08-08,completed,STU-0000098,CRS-00130,SEM-008
ENR-00000074,2022-11-04,completed,STU-0004192,CRS-00277,SEM-003
ENR-00000075,2022-06-04,completed,STU-0001613,CRS-00137,SEM-008
ENR-00000076,2024-03-10,dropped,STU-0000671,CRS-00207,SEM-002
ENR-00000077,2024-09-23,dropped,STU-0004654,CRS-00244,SEM-002
ENR-00000078,2022-11-02,failed,STU-0001912,CRS-00090,SEM-003
ENR-00000079,2025-05-30,completed,STU-0003682,CRS-00116,SEM-001
ENR-00000080,2022-03-28,completed,STU-0004222,CRS-00213,SEM-004
ENR-00000081,2024-04-18,completed,STU-0004416,CRS-00106,SEM-002
ENR-00000082,2023-11-13,completed,STU-0000508,CRS-00158,SEM-001
ENR-00000083,2022-11-02,failed,STU-0004584,CRS-00204,SEM-008
ENR-00000084,2024-09-02,completed,STU-0001376,CRS-00148,SEM-006
ENR-00000085,2023-09-09,completed,STU-0001392,CRS-00300,SEM-003
ENR-00000086,2024-01-01,completed,STU-0002395,CRS-00171,SEM-008
ENR-00000087,2024-10-07,completed,STU-0001463,CRS-00189,SEM-007
ENR-00000088,2024-01-24,active,STU-0004938,CRS-00184,SEM-007
ENR-00000089,2025-06-07,active,STU-0003450,CRS-00288,SEM-003
ENR-00000090,2025-02-20,completed,STU-0000125,CRS-00278,SEM-005
ENR-00000091,2024-07-09,active,STU-0001230,CRS-00136,SEM-005
ENR-00000092,2022-12-28,active,STU-0002015,CRS-00186,SEM-002
ENR-00000093,2022-10-13,completed,STU-0000945,CRS-00002,SEM-006
ENR-00000094,2022-01-14,completed,STU-0004345,CRS-00224,SEM-005
ENR-00000095,2023-08-04,completed,STU-0002129,CRS-00103,SEM-002
ENR-00000096,2024-02-04,completed,STU-0002171,CRS-00015,SEM-003
ENR-00000097,2025-01-03,dropped,STU-0001201,CRS-00164,SEM-003
ENR-00000098,2023-05-10,active,STU-0002352,CRS-00163,SEM-007
ENR-00000099,2024-06-10,active,STU-0001151,CRS-00219,SEM-003
ENR-00000100,2022-07-03,completed,STU-0001053,CRS-00188,SEM-004
ENR-00000101,2024-07-29,completed,STU-0003832,CRS-00261,SEM-004
ENR-00000102,2024-10-17,completed,STU-0004225,CRS-00009,SEM-004
ENR-00000103,2022-09-05,active,STU-0001949,CRS-00025,SEM-007
ENR-00000104,2025-10-22,completed,STU-0000083,CRS-00137,SEM-002
ENR-00000105,2024-04-06,completed,STU-0004719,CRS-00212,SEM-007
ENR-00000106,2024-09-14,completed,STU-0002402,CRS-00217,SEM-008
ENR-00000107,2025-02-20,completed,STU-0001984,CRS-00120,SEM-003
ENR-00000108,2022-08-04,dropped,STU-0004431,CRS-00112,SEM-007
ENR-00000109,2022-10-07,completed,STU-0004899,CRS-00252,SEM-002
ENR-00000110,2025-08-27,active,STU-0003620,CRS-00119,SEM-005
ENR-00000111,2022-08-30,active,STU-0002299,CRS-00170,SEM-006
ENR-00000112,2025-10-12,active,STU-0001422,CRS-00148,SEM-003
ENR-00000113,2024-02-16,dropped,STU-0001497,CRS-00276,SEM-005
ENR-00000114,2025-08-09,completed,STU-0003982,CRS-00068,SEM-004
ENR-00000115,2024-09-28,completed,STU-0002348,CRS-00149,SEM-008
ENR-00000116,2024-05-09,active,STU-0003147,CRS-00087,SEM-003
ENR-00000117,2025-07-02,completed,STU-0001831,CRS-00052,SEM-007
ENR-00000118,2023-06-14,dropped,STU-0000694,CRS-00281,SEM-008
ENR-00000119,2024-01-02,failed,STU-0003584,CRS-00095,SEM-002
ENR-00000120,2024-11-07,failed,STU-0002104,CRS-00207,SEM-001
ENR-00000121,2022-11-17,completed,STU-0001888,CRS-00127,SEM-002
ENR-00000122,2024-05-21,dropped,STU-0000353,CRS-00183,SEM-006
ENR-00000123,2024-09-12,dropped,STU-0002530,CRS-00089,SEM-007
ENR-00000124,2024-09-24,dropped,STU-0000720,CRS-00285,SEM-008
ENR-00000125,2024-10-23,completed,STU-0002016,CRS-00244,SEM-007
ENR-00000126,2022-12-22,completed,STU-0001401,CRS-00167,SEM-003
ENR-00000127,2025-05-07,completed,STU-0001366,CRS-00248,SEM-003
ENR-00000128,2022-08-21,completed,STU-0000205,CRS-00185,SEM-008
ENR-00000129,2023-09-15,failed,STU-0003774,CRS-00241,SEM-001
ENR-00000130,2024-01-05,completed,STU-0004031,CRS-00143,SEM-008
ENR-00000131,2023-12-08,completed,STU-0002098,CRS-00255,SEM-008
ENR-00000132,2025-03-04,failed,STU-0001787,CRS-00156,SEM-006
ENR-00000133,2025-11-21,completed,STU-0003282,CRS-00148,SEM-001
ENR-00000134,2023-02-09,active,STU-0003799,CRS-00231,SEM-005
ENR-00000135,2025-10-12,completed,STU-0003182,CRS-00003,SEM-008
ENR-00000136,2025-05-03,active,STU-0001796,CRS-00055,SEM-007
ENR-00000137,2024-04-04,completed,STU-0000109,CRS-00179,SEM-005
ENR-00000138,2022-12-22,completed,STU-0003938,CRS-00259,SEM-008
ENR-00000139,2022-03-05,completed,STU-0004379,CRS-00209,SEM-006
ENR-00000140,2025-03-26,dropped,STU-0001614,CRS-00149,SEM-006
ENR-00000141,2022-01-05,completed,STU-0003857,CRS-00095,SEM-008
ENR-00000142,2025-06-28,dropped,STU-0000450,CRS-00084,SEM-007
ENR-00000143,2025-07-18,completed,STU-0001980,CRS-00240,SEM-007
ENR-00000144,2024-01-05,completed,STU-0002749,CRS-00287,SEM-001
ENR-00000145,2025-04-19,completed,STU-0001754,CRS-00185,SEM-008
ENR-00000146,2025-09-28,dropped,STU-0004854,CRS-00267,SEM-002
ENR-00000147,2023-06-06,completed,STU-0004632,CRS-00023,SEM-006
ENR-00000148,2023-04-04,completed,STU-0002920,CRS-00063,SEM-008
ENR-00000149,2023-02-18,completed,STU-0003797,CRS-00044,SEM-004
ENR-00000150,2025-05-13,completed,STU-0001194,CRS-00267,SEM-003
ENR-00000151,2023-09-23,failed,STU-0003464,CRS-00262,SEM-005
ENR-00000152,2023-05-29,completed,STU-0003436,CRS-00244,SEM-001
ENR-00000153,2024-10-14,completed,STU-0002778,CRS-00015,SEM-007
ENR-00000154,2023-05-04,active,STU-0004272,CRS-00277,SEM-008
ENR-00000155,2024-04-30,completed,STU-0003485,CRS-00199,SEM-001
ENR-00000156,2024-08-25,completed,STU-0002330,CRS-00282,SEM-003
ENR-00000157,2022-08-04,completed,STU-0001860,CRS-00078,SEM-005
ENR-00000158,2022-05-13,completed,STU-0000775,CRS-00152,SEM-008
ENR-00000159,2025-06-23,completed,STU-0004967,CRS-00061,SEM-001
ENR-00000160,2025-04-04,completed,STU-0001803,CRS-00194,SEM-004
ENR-00000161,2023-05-17,completed,STU-0004979,CRS-00102,SEM-001
ENR-00000162,2023-11-12,active,STU-0001613,CRS-00115,SEM-005
ENR-00000163,2025-12-06,completed,STU-0004314,CRS-00187,SEM-005
ENR-00000164,2023-05-29,completed,STU-0001606,CRS-00238,SEM-002
ENR-00000165,2022-09-29,completed,STU-0000975,CRS-00267,SEM-001
ENR-00000166,2022-08-27,completed,STU-0000651,CRS-00163,SEM-004
ENR-00000167,2024-12-28,completed,STU-0002933,CRS-00098,SEM-002
ENR-00000168,2025-09-28,active,STU-0000456,CRS-00244,SEM-005
ENR-00000169,2023-09-11,dropped,STU-0000519,CRS-00129,SEM-001
ENR-00000170,2025-03-22,completed,STU-0000964,CRS-00143,SEM-004
ENR-00000171,2025-04-10,completed,STU-0000906,CRS-00213,SEM-002
ENR-00000172,2024-10-06,completed,STU-0002322,CRS-00164,SEM-008
ENR-00000173,2022-08-03,dropped,STU-0003798,CRS-00141,SEM-002
ENR-00000174,2022-01-25,dropped,STU-0000702,CRS-00289,SEM-001
ENR-00000175,2023-06-17,dropped,STU-0003993,CRS-00156,SEM-003
ENR-00000176,2022-10-20,completed,STU-0000831,CRS-00254,SEM-005
ENR-00000177,2022-07-09,completed,STU-0003865,CRS-00059,SEM-007
ENR-00000178,2022-11-13,completed,STU-0003478,CRS-00005,SEM-001
ENR-00000179,2025-02-03,completed,STU-0004707,CRS-00129,SEM-008
ENR-00000180,2023-08-24,completed,STU-0000388,CRS-00252,SEM-005
ENR-00000181,2022-06-02,completed,STU-0001557,CRS-00084,SEM-003
ENR-00000182,2024-08-01,dropped,STU-0001793,CRS-00107,SEM-004
ENR-00000183,2025-12-13,completed,STU-0000834,CRS-00265,SEM-002
ENR-00000184,2025-12-01,active,STU-0004732,CRS-00270,SEM-006
ENR-00000185,2022-09-22,completed,STU-0003956,CRS-00091,SEM-001
ENR-00000186,2025-11-19,active,STU-0000086,CRS-00206,SEM-007
ENR-00000187,2022-05-30,completed,STU-0004731,CRS-00022,SEM-008
ENR-00000188,2022-04-25,completed,STU-0003770,CRS-00156,SEM-003
ENR-00000189,2023-11-28,active,STU-0003469,CRS-00221,SEM-004
ENR-00000190,2025-09-22,active,STU-0003727,CRS-00281,SEM-001
ENR-00000191,2022-05-28,completed,STU-0000428,CRS-00130,SEM-006
ENR-00000192,2025-11-13,active,STU-0000092,CRS-00063,SEM-003
ENR-00000193,2022-10-18,active,STU-0001169,CRS-00020,SEM-006
ENR-00000194,2024-10-15,completed,STU-0003618,CRS-00292,SEM-004
ENR-00000195,2024-04-28,completed,STU-0004261,CRS-00158,SEM-007
ENR-00000196,2024-06-22,active,STU-0000118,CRS-00032,SEM-008
ENR-00000197,2025-11-26,failed,STU-0001220,CRS-00174,SEM-004
ENR-00000198,2022-01-06,completed,STU-0002275,CRS-00025,SEM-003
ENR-00000199,2022-04-18,completed,STU-0001259,CRS-00284,SEM-001
ENR-00000200,2024-10-02,completed,STU-0001382,CRS-00052,SEM-003
ENR-00000201,2024-04-07,completed,STU-0004553,CRS-00032,SEM-004
ENR-00000202,2025-08-10,completed,STU-0001040,CRS-00142,SEM-007
ENR-00000203,2022-04-09,completed,STU-0002337,CRS-00039,SEM-008
ENR-00000204,2023-04-08,active,STU-0000362,CRS-00140,SEM-004
ENR-00000205,2023-06-08,completed,STU-0004490,CRS-00019,SEM-007
ENR-00000206,2022-09-30,completed,STU-0004783,CRS-00023,SEM-002
ENR-00000207,2025-11-28,completed,STU-0002068,CRS-00217,SEM-004
ENR-00000208,2024-04-22,failed,STU-0003053,CRS-00078,SEM-002
ENR-00000209,2025-04-28,completed,STU-0001076,CRS-00012,SEM-003
ENR-00000210,2024-08-14,dropped,STU-0002767,CRS-00246,SEM-008
ENR-00000211,2025-08-08,active,STU-0001626,CRS-00197,SEM-007
ENR-00000212,2023-12-12,completed,STU-0001068,CRS-00083,SEM-003
ENR-00000213,2025-01-18,completed,STU-0001294,CRS-00020,SEM-007
ENR-00000214,2022-11-06,completed,STU-0004612,CRS-00260,SEM-001
ENR-00000215,2025-02-26,completed,STU-0002042,CRS-00203,SEM-002
ENR-00000216,2025-04-13,completed,STU-0001761,CRS-00268,SEM-007
ENR-00000217,2022-11-27,completed,STU-0004226,CRS-00099,SEM-006
ENR-00000218,2025-06-23,active,STU-0004548,CRS-00275,SEM-001
ENR-00000219,2025-10-25,failed,STU-0001753,CRS-00010,SEM-008
ENR-00000220,2022-11-03,completed,STU-0000241,CRS-00019,SEM-001
ENR-00000221,2024-03-25,completed,STU-0004430,CRS-00199,SEM-003
ENR-00000222,2022-03-14,active,STU-0000671,CRS-00162,SEM-002
ENR-00000223,2022-03-25,completed,STU-0001900,CRS-00179,SEM-007
ENR-00000224,2022-11-24,completed,STU-0002411,CRS-00025,SEM-002
ENR-00000225,2025-10-11,active,STU-0004878,CRS-00008,SEM-006
ENR-00000226,2022-08-16,completed,STU-0000163,CRS-00069,SEM-006
ENR-00000227,2024-03-24,active,STU-0003789,CRS-00242,SEM-008
ENR-00000228,2022-11-26,active,STU-0001084,CRS-00193,SEM-003
ENR-00000229,2022-07-20,completed,STU-0001358,CRS-00278,SEM-006
ENR-00000230,2022-08-30,completed,STU-0001090,CRS-00267,SEM-008
ENR-00000231,2025-06-30,active,STU-0002194,CRS-00106,SEM-006
ENR-00000232,2023-02-12,active,STU-0001416,CRS-00170,SEM-002
ENR-00000233,2024-07-01,completed,STU-0003812,CRS-00215,SEM-004
ENR-00000234,2023-05-21,completed,STU-0001072,CRS-00246,SEM-008
ENR-00000235,2024-05-26,dropped,STU-0001283,CRS-00264,SEM-007
ENR-00000236,2024-03-27,completed,STU-0003399,CRS-00299,SEM-006
ENR-00000237,2024-03-30,active,STU-0001632,CRS-00202,SEM-008
ENR-00000238,2024-09-09,dropped,STU-0003510,CRS-00264,SEM-008
ENR-00000239,2023-07-04,completed,STU-0004866,CRS-00162,SEM-004
ENR-00000240,2025-12-12,completed,STU-0001133,CRS-00271,SEM-006
ENR-00000241,2022-09-26,completed,STU-0003434,CRS-00043,SEM-007
ENR-00000242,2024-08-05,completed,STU-0004410,CRS-00035,SEM-001
ENR-00000243,2025-10-11,completed,STU-0001872,CRS-00211,SEM-007
ENR-00000244,2025-04-03,active,STU-0004329,CRS-00069,SEM-008
ENR-00000245,2022-04-08,completed,STU-0002688,CRS-00167,SEM-001
ENR-00000246,2024-06-28,completed,STU-0004329,CRS-00188,SEM-007
ENR-00000247,2022-01-22,active,STU-0002390,CRS-00154,SEM-008
ENR-00000248,2024-08-16,dropped,STU-0002309,CRS-00031,SEM-003
ENR-00000249,2023-09-28,completed,STU-0004822,CRS-00190,SEM-006
ENR-00000250,2022-09-13,active,STU-0000714,CRS-00268,SEM-008
ENR-00000251,2024-09-23,completed,STU-0001353,CRS-00158,SEM-007
ENR-00000252,2025-11-28,completed,STU-0003830,CRS-00061,SEM-007
ENR-00000253,2024-04-03,active,STU-0000387,CRS-00117,SEM-006
ENR-00000254,2023-12-24,completed,STU-0003808,CRS-00066,SEM-003
ENR-00000255,2025-06-21,completed,STU-0000174,CRS-00215,SEM-006
ENR-00000256,2023-01-01,completed,STU-0003457,CRS-00119,SEM-005
ENR-00000257,2022-11-21,completed,STU-0001989,CRS-00209,SEM-004
ENR-00000258,2023-08-03,completed,STU-0004717,CRS-00110,SEM-002
ENR-00000259,2022-02-03,active,STU-0002769,CRS-00070,SEM-007
ENR-00000260,2025-06-07,completed,STU-0004934,CRS-00224,SEM-001
ENR-00000261,2023-06-26,active,STU-0002350,CRS-00233,SEM-005
ENR-00000262,2022-09-06,completed,STU-0002021,CRS-00142,SEM-005
ENR-00000263,2025-02-11,completed,STU-0004269,CRS-00075,SEM-008
ENR-00000264,2024-06-20,active,STU-0003376,CRS-00089,SEM-008
ENR-00000265,2025-10-27,completed,STU-0002899,CRS-00281,SEM-007
ENR-00000266,2023-10-11,completed,STU-0000230,CRS-00175,SEM-001
ENR-00000267,2022-01-13,completed,STU-0000639,CRS-00052,SEM-005
ENR-00000268,2023-07-22,completed,STU-0000886,CRS-00060,SEM-003
ENR-00000269,2025-08-30,completed,STU-0004669,CRS-00159,SEM-003
ENR-00000270,2022-02-03,active,STU-0002081,CRS-00073,SEM-006
ENR-00000271,2022-04-07,completed,STU-0003171,CRS-00026,SEM-001
ENR-00000272,2022-03-03,completed,STU-0001199,CRS-00022,SEM-004
ENR-00000273,2022-03-21,completed,STU-0002353,CRS-00238,SEM-005
ENR-00000274,2023-04-22,completed,STU-0000149,CRS-00262,SEM-007
ENR-00000275,2024-03-30,completed,STU-0004220,CRS-00268,SEM-004
ENR-00000276,2025-08-10,completed,STU-0002029,CRS-00056,SEM-004
ENR-00000277,2025-01-17,completed,STU-0000435,CRS-00042,SEM-006
ENR-00000278,2024-05-01,completed,STU-0001430,CRS-00174,SEM-008
ENR-00000279,2022-02-18,failed,STU-0001345,CRS-00109,SEM-001
ENR-00000280,2022-07-17,active,STU-0000010,CRS-00035,SEM-005
ENR-00000281,2024-11-01,completed,STU-0004960,CRS-00167,SEM-008
ENR-00000282,2024-09-18,completed,STU-0000308,CRS-00190,SEM-001
ENR-00000283,2025-02-11,active,STU-0000739,CRS-00220,SEM-004
ENR-00000284,2022-10-04,active,STU-0002137,CRS-00177,SEM-008
ENR-00000285,2022-06-04,completed,STU-0000372,CRS-00247,SEM-005
ENR-00000286,2024-05-15,completed,STU-0004624,CRS-00086,SEM-006
ENR-00000287,2023-03-26,active,STU-0002244,CRS-00151,SEM-008
ENR-00000288,2025-01-22,completed,STU-0004071,CRS-00244,SEM-001
ENR-00000289,2022-03-25,completed,STU-0003120,CRS-00173,SEM-004
ENR-00000290,2022-12-01,active,STU-0001957,CRS-00101,SEM-007
ENR-00000291,2023-10-27,active,STU-0002579,CRS-00053,SEM-006
ENR-00000292,2025-06-14,active,STU-0004994,CRS-00143,SEM-002
ENR-00000293,2025-12-23,completed,STU-0002437,CRS-00019,SEM-001
ENR-00000294,2025-01-01,active,STU-0000187,CRS-00171,SEM-005
ENR-00000295,2022-04-21,completed,STU-0003348,CRS-00151,SEM-005
ENR-00000296,2022-06-14,completed,STU-0002240,CRS-00078,SEM-002
ENR-00000297,2022-07-02,completed,STU-0001629,CRS-00012,SEM-001
ENR-00000298,2024-07-11,completed,STU-0001649,CRS-00277,SEM-002
ENR-00000299,2023-07-22,active,STU-0003203,CRS-00247,SEM-003
ENR-00000300,2023-11-24,completed,STU-0003407,CRS-00005,SEM-002
ENR-00000301,2023-02-14,active,STU-0000073,CRS-00262,SEM-003
ENR-00000302,2022-10-18,active,STU-0000979,CRS-00231,SEM-002
ENR-00000303,2024-02-25,completed,STU-0002999,CRS-00295,SEM-004
ENR-00000304,2024-10-01,completed,STU-0003112,CRS-00059,SEM-006
ENR-00000305,2025-06-08,completed,STU-0002349,CRS-00195,SEM-002
ENR-00000306,2023-11-14,failed,STU-0000973,CRS-00024,SEM-004
ENR-00000307,2022-07-28,completed,STU-0002978,CRS-00060,SEM-003
ENR-00000308,2022-07-03,dropped,STU-0004693,CRS-00222,SEM-004
ENR-00000309,2023-07-08,failed,STU-0004401,CRS-00125,SEM-003
ENR-00000310,2025-09-14,active,STU-0000787,CRS-00210,SEM-004
ENR-00000311,2025-01-22,dropped,STU-0003631,CRS-00053,SEM-006
ENR-00000312,2023-02-09,completed,STU-0000489,CRS-00025,SEM-001
ENR-00000313,2024-07-24,completed,STU-0004975,CRS-00124,SEM-003
ENR-00000314,2022-06-08,completed,STU-0001326,CRS-00007,SEM-001
ENR-00000315,2025-10-27,completed,STU-0000670,CRS-00088,SEM-008
ENR-00000316,2023-11-29,completed,STU-0004240,CRS-00171,SEM-001
ENR-00000317,2025-01-22,completed,STU-0003123,CRS-00254,SEM-003
ENR-00000318,2022-06-24,completed,STU-0002801,CRS-00018,SEM-004
ENR-00000319,2025-06-16,completed,STU-0002579,CRS-00210,SEM-001
ENR-00000320,2022-06-19,completed,STU-0002645,CRS-00276,SEM-003
ENR-00000321,2023-11-20,completed,STU-0000325,CRS-00068,SEM-001
ENR-00000322,2024-09-02,completed,STU-0002971,CRS-00161,SEM-002
ENR-00000323,2022-09-18,active,STU-0000747,CRS-00025,SEM-001
ENR-00000324,2024-07-15,completed,STU-0000104,CRS-00163,SEM-006
ENR-00000325,2025-09-19,completed,STU-0003361,CRS-00240,SEM-003
ENR-00000326,2022-07-26,completed,STU-0000632,CRS-00005,SEM-002
ENR-00000327,2023-06-21,completed,STU-0001859,CRS-00254,SEM-003
ENR-00000328,2023-06-01,completed,STU-0001320,CRS-00113,SEM-007
ENR-00000329,2023-08-10,active,STU-0000464,CRS-00101,SEM-008
ENR-00000330,2024-08-04,dropped,STU-0001886,CRS-00277,SEM-006
ENR-00000331,2025-02-10,completed,STU-0002759,CRS-00192,SEM-004
ENR-00000332,2024-09-04,completed,STU-0000102,CRS-00117,SEM-008
ENR-00000333,2025-11-07,dropped,STU-0003809,CRS-00238,SEM-005
ENR-00000334,2025-02-20,completed,STU-0003508,CRS-00240,SEM-005
ENR-00000335,2023-07-25,completed,STU-0002513,CRS-00264,SEM-008
ENR-00000336,2025-07-14,completed,STU-0002306,CRS-00090,SEM-004
ENR-00000337,2023-01-01,completed,STU-0004155,CRS-00208,SEM-008
ENR-00000338,2023-10-26,completed,STU-0003993,CRS-00139,SEM-007
ENR-00000339,2023-12-30,completed,STU-0000553,CRS-00135,SEM-007
ENR-00000340,2022-11-29,dropped,STU-0003811,CRS-00016,SEM-005
ENR-00000341,2023-01-02,completed,STU-0002218,CRS-00010,SEM-001
ENR-00000342,2022-04-25,failed,STU-0000864,CRS-00181,SEM-002
ENR-00000343,2024-10-17,failed,STU-0003857,CRS-00039,SEM-001
ENR-00000344,2025-08-01,completed,STU-0002405,CRS-00024,SEM-008
ENR-00000345,2022-12-02,completed,STU-0002218,CRS-00288,SEM-004
ENR-00000346,2023-06-11,active,STU-0000531,CRS-00257,SEM-005
ENR-00000347,2023-02-05,dropped,STU-0004314,CRS-00042,SEM-003
ENR-00000348,2022-02-22,completed,STU-0002080,CRS-00164,SEM-001
ENR-00000349,2024-07-20,active,STU-0004866,CRS-00094,SEM-003
ENR-00000350,2025-04-18,active,STU-0004011,CRS-00279,SEM-002
ENR-00000351,2022-12-04,completed,STU-0000457,CRS-00131,SEM-005
ENR-00000352,2023-10-10,completed,STU-0002512,CRS-00222,SEM-001
ENR-00000353,2025-10-12,dropped,STU-0001266,CRS-00060,SEM-007
ENR-00000354,2023-12-22,completed,STU-0004121,CRS-00054,SEM-001
ENR-00000355,2022-06-13,completed,STU-0003821,CRS-00117,SEM-004
ENR-00000356,2022-03-14,active,STU-0004276,CRS-00240,SEM-005
ENR-00000357,2024-03-31,completed,STU-0003342,CRS-00132,SEM-005
ENR-00000358,2022-09-03,completed,STU-0003989,CRS-00120,SEM-007
ENR-00000359,2023-11-26,active,STU-0001235,CRS-00286,SEM-006
ENR-00000360,2022-12-22,active,STU-0004778,CRS-00276,SEM-001
ENR-00000361,2022-08-03,active,STU-0002955,CRS-00291,SEM-002
ENR-00000362,2025-12-31,completed,STU-0000150,CRS-00216,SEM-004
ENR-00000363,2022-03-10,completed,STU-0000392,CRS-00274,SEM-005
ENR-00000364,2024-06-07,dropped,STU-0000211,CRS-00185,SEM-005
ENR-00000365,2022-02-24,completed,STU-0002629,CRS-00203,SEM-005
ENR-00000366,2023-10-21,active,STU-0003100,CRS-00134,SEM-003
ENR-00000367,2022-07-06,failed,STU-0000403,CRS-00246,SEM-007
