grade_id,assessment,score,weight,graded_at,enrollment_id
GRD-00000056,final,72.78,0.46,2025-05-15,ENR-00022147
GRD-00000057,homework,96.46,0.49,2024-02-15,ENR-00022672
GRD-00000058,homework,54.83,0.32,2024-08-23,ENR-00019511
GRD-00000059,quiz,84.37,0.45,2025-05-06,ENR-00015290
GRD-00000060,homework,89.81,0.14,2025-05-19,ENR-00006273
GRD-00000061,homework,55.53,0.2,2023-04-02,ENR-00004806
GRD-00000062,homework,82.32,0.33,2025-01-30,ENR-00009553
GRD-00000063,final,65.76,0.37,2025-06-27,ENR-00009368
GRD-00000064,quiz,76.49,0.25,2025-08-28,ENR-00004928
GRD-00000065,project,73.23,0.48,2022-03-08,ENR-00007427
GRD-00000066,homework,100.0,0.49,2024-07-07,ENR-00014381
GRD-00000067,quiz,78.96,0.28,2024-12-10,ENR-00003309
GRD-00000068,homework,64.05,0.48,2025-03-09,ENR-00023899
GRD-00000069,homework,58.7,0.2,2023-10-21,ENR-00006030
GRD-00000070,project,89.83,0.27,2022-02-25,ENR-00007774
GRD-00000071,homework,68.03,0.39,2024-11-24,ENR-00015706
GRD-00000072,final,78.76,0.16,2024-08-10,ENR-00013828
GRD-00000073,homework,58.23,0.46,2024-04-23,ENR-00022686
GRD-00000074,final,74.99,0.42,2023-02-27,ENR-00004878
GRD-00000075,quiz,80.8,0.34,2022-03-15,ENR-00000978
GRD-00000076,project,71.62,0.44,2023-10-04,ENR-00014191
GRD-00000077,quiz,86.18,0.35,2023-02-24,ENR-00022516
GRD-00000078,midterm,60.3,0.11,2023-09-23,ENR-00015012
GRD-00000079,homework,73.71,0.28,2023-08-30,ENR-00009088
GRD-00000080,final,86.24,0.27,2025-11-11,ENR-00023364
GRD-00000081,final,89.15,0.47,2024-10-24,ENR-00008452
GRD-00000082,quiz,82.22,0.3,2025-05-12,ENR-00011307
GRD-00000083,quiz,85.66,0.13,2025-06-05,ENR-00018545
GRD-00000084,midterm,74.88,0.45,2022-03-03,ENR-00015914
GRD-00000085,final,61.69,0.25,2025-08-10,ENR-00018100
GRD-00000086,midterm,83.43,0.28,2022-06-09,ENR-00019117
GRD-00000087,midterm,100.0,0.22,2024-10-15,ENR-00012368
GRD-00000088,final,69.2,0.14,2025-03-16,ENR-00005232
GRD-00000089,homework,74.86,0.27,2024-12-15,ENR-00015044
GRD-00000090,project,66.44,0.25,2024-04-20,ENR-00002155
GRD-00000091,final,69.28,0.32,2025-05-05,ENR-00003753
GRD-00000092,quiz,68.31,0.32,2022-04-11,ENR-00016477
GRD-00000093,midterm,88.42,0.13,2025-06-16,ENR-00020174
GRD-00000094,final,70.08,0.13,2023-05-06,ENR-00018626
GRD-00000095,quiz,78.69,0.18,2023-01-06,ENR-00017207
GRD-00000096,homework,93.63,0.45,2024-04-06,ENR-00004471
GRD-00000097,quiz,71.13,0.18,2022-12-05,ENR-00010768
GRD-00000098,final,69.6,0.28,2023-05-19,ENR-00005896
GRD-00000099,final,55.53,0.18,2025-08-26,ENR-00012564
GRD-00000100,quiz,100.0,0.38,2025-02-11,ENR-00014851
GRD-00000101,project,46.64,0.21,2024-05-20,ENR-00006162
GRD-00000102,quiz,82.23,0.24,2024-05-23,ENR-00017483
GRD-00000103,final,100.0,0.34,2023-02-20,ENR-00000011
GRD-00000104,final,81.27,0.38,2024-11-06,ENR-00017006
GRD-00000105,midterm,83.06,0.33,2025-07-31,ENR-00003779
GRD-00000106,quiz,86.94,0.39,2023-05-13,ENR-00021621
GRD-00000107,final,70.69,0.28,2023-07-04,ENR-00015376
GRD-00000108,midterm,94.74,0.16,2022-04-04,ENR-00003178
GRD-00000109,midterm,97.27,0.41,2025-07-06,ENR-00012307
GRD-00000110,homework,85.16,0.32,2025-01-10,ENR-00002882
GRD-00000111,project,71.81,0.33,2024-09-23,ENR-00003807
GRD-00000112,midterm,64.16,0.1,2024-06-24,ENR-00000772
GRD-00000113,final,66.28,0.36,2024-06-04,ENR-00006167
GRD-00000114,project,77.95,0.25,2025-06-17,ENR-00011434
GRD-00000115,final,41.99,0.2,2023-08-31,ENR-00014358
GRD-00000116,project,79.33,0.15,2023-02-15,ENR-00023972
GRD-00000117,midterm,62.89,0.31,2023-09-16,ENR-00002556
GRD-00000118,final,92.01,0.29,2023-03-22,ENR-00021491
GRD-00000119,homework,58.27,0.46,2022-04-01,ENR-00005160
GRD-00000120,homework,70.68,0.26,2024-04-14,ENR-00018022
GRD-00000121,final,68.97,0.3,2025-08-11,ENR-00002058
GRD-00000122,homework,47.77,0.47,2025-09-29,ENR-00008344
GRD-00000123,quiz,80.71,0.13,2022-09-05,ENR-00017204
GRD-00000124,midterm,92.82,0.3,2022-04-16,ENR-00002834
GRD-00000125,homework,84.19,0.11,2025-09-14,ENR-00006258
GRD-00000126,final,67.52,0.25,2024-10-02,ENR-00006374
GRD-00000127,final,66.73,0.11,2025-03-14,ENR-00021761
GRD-00000128,final,81.03,0.2,2022-12-14,ENR-00008668
GRD-00000129,final,74.16,0.49,2023-11-06,ENR-00020197
GRD-00000130,midterm,72.64,0.27,2025-08-05,ENR-00022570
GRD-00000131,homework,61.73,0.29,2022-03-28,ENR-00001186
GRD-00000132,homework,72.6,0.41,2024-07-02,ENR-00024820
GRD-00000133,final,71.29,0.27,2022-08-23,ENR-00018085
GRD-00000134,quiz,64.11,0.35,2023-04-11,ENR-00023412
GRD-00000135,final,83.2,0.18,2022-03-04,ENR-00013697
GRD-00000136,midterm,66.65,0.47,2025-11-21,ENR-00008688
GRD-00000137,midterm,82.15,0.42,2023-01-18,ENR-00019082
GRD-00000138,homework,94.69,0.48,2025-10-29,ENR-00019577
GRD-00000139,project,84.04,0.16,2023-11-22,ENR-00014269
GRD-00000140,project,68.18,0.17,2024-03-18,ENR-00021008
GRD-00000141,final,85.46,0.13,2025-05-12,ENR-00004612
GRD-00000142,homework,64.65,0.22,2025-07-25,ENR-00024438
GRD-00000143,final,71.25,0.3,2022-05-18,ENR-00022662
GRD-00000144,quiz,88.81,0.25,2022-03-16,ENR-00013741
GRD-00000145,final,81.43,0.46,2025-03-01,ENR-00024912
GRD-00000146,quiz,70.54,0.18,2022-03-17,ENR-00023797
GRD-00000147,project,52.06,0.27,2023-07-27,ENR-00022323
GRD-00000148,midterm,81.84,0.31,2022-02-07,ENR-00008940
GRD-00000149,homework,70.15,0.13,2023-04-16,ENR-00013697
GRD-00000150,final,60.47,0.33,2025-12-22,ENR-00002073
GRD-00000151,quiz,71.91,0.38,2022-10-23,ENR-00000087
GRD-00000152,quiz,85.44,0.43,2022-09-02,ENR-00021045
GRD-00000153,project,75.84,0.27,2025-06-01,ENR-00018116
GRD-00000154,project,63.14,0.16,2022-09-02,ENR-00013444
GRD-00000155,quiz,63.59,0.16,2024-01-08,ENR-00018368
GRD-00000156,midterm,91.03,0.13,2024-02-20,ENR-00001090
GRD-00000157,final,80.53,0.35,2025-11-20,ENR-00020835
GRD-00000158,midterm,93.38,0.47,2023-05-31,ENR-00002680
GRD-00000159,project,78.98,0.38,2022-12-07,ENR-00005776
GRD-00000160,final,90.44,0.46,2023-10-25,ENR-00018817
GRD-00000161,project,64.34,0.29,2023-04-10,ENR-00016574
GRD-00000162,midterm,62.28,0.27,2022-09-13,ENR-00005629
GRD-00000163,final,62.43,0.41,2022-05-23,ENR-00011165
GRD-00000164,quiz,71.17,0.16,2024-10-09,ENR-00012187
GRD-00000165,midterm,54.23,0.48,2022-07-28,ENR-00020612
GRD-00000166,midterm,54.48,0.34,2024-10-06,ENR-00007255
GRD-00000167,homework,60.76,0.31,2024-11-30,ENR-00022306
GRD-00000168,homework,82.58,0.39,2024-08-12,ENR-00011642
GRD-00000169,homework,65.31,0.47,2022-02-16,ENR-00007947
GRD-00000170,project,73.66,0.24,2025-11-15,ENR-00007419
GRD-00000171,homework,76.82,0.32,2025-07-04,ENR-00006766
GRD-00000172,midterm,84.47,0.16,2022-10-24,ENR-00001477
GRD-00000173,midterm,52.29,0.19,2023-09-12,ENR-00018229
GRD-00000174,quiz,62.01,0.33,2022-10-04,ENR-00019879
GRD-00000175,final,60.15,0.46,2022-07-04,ENR-00010435
GRD-00000176,midterm,64.11,0.19,2025-04-19,ENR-00023588
GRD-00000177,homework,64.99,0.12,2022-03-08,ENR-00009586
GRD-00000178,homework,62.0,0.22,2022-08-14,ENR-00008044
GRD-00000179,quiz,86.28,0.37,2024-07-30,ENR-00019745
GRD-00000180,midterm,59.84,0.23,2024-08-18,ENR-00019387
GRD-00000181,project,86.12,0.45,2023-07-09,ENR-00021061
GRD-00000182,final,72.58,0.27,2025-10-04,ENR-00017869
GRD-00000183,homework,68.78,0.34,2023-09-10,ENR-00013939
GRD-00000184,homework,67.46,0.23,2024-11-02,ENR-00006039
GRD-00000185,midterm,91.64,0.36,2024-09-22,ENR-00022569
GRD-00000186,homework,73.75,0.41,2025-01-10,ENR-00018113
GRD-00000187,final,86.19,0.23,2023-07-25,ENR-00012216
GRD-00000188,midterm,80.71,0.36,2022-04-20,ENR-00010807
GRD-00000189,midterm,78.43,0.16,2025-09-23,ENR-00015816
GRD-00000190,quiz,85.31,0.28,2025-05-20,ENR-00009340
GRD-00000191,midterm,72.89,0.14,2024-12-27,ENR-00008591
GRD-00000192,midterm,69.29,0.19,2025-11-13,ENR-00000242
GRD-00000193,quiz,43.73,0.36,2024-04-04,ENR-00017802
GRD-00000194,midterm,86.47,0.49,2024-09-30,ENR-00017246
GRD-00000195,project,75.85,0.32,2025-08-20,ENR-00021184
GRD-00000196,project,62.32,0.22,2023-06-24,ENR-00006308
GRD-00000197,project,52.45,0.49,2024-09-21,ENR-00007050
GRD-00000198,project,76.49,0.13,2025-07-20,ENR-00012786
GRD-00000199,final,91.67,0.3,2023-05-05,ENR-00020508
GRD-00000200,quiz,71.62,0.43,2023-08-06,ENR-00008186
GRD-00000201,midterm,74.53,0.37,2022-05-23,ENR-00007501
GRD-00000202,project,74.4,0.31,2025-01-26,ENR-00011456
GRD-00000203,homework,80.33,0.41,2024-03-07,ENR-00018151
GRD-00000204,homework,47.39,0.49,2025-08-20,ENR-00022877
GRD-00000205,project,50.24,0.41,2025-08-26,ENR-00024109
GRD-00000206,project,64.54,0.17,2022-03-21,ENR-00010649
GRD-00000207,final,48.07,0.4,2024-04-08,ENR-00005157
GRD-00000208,midterm,79.94,0.37,2025-01-04,ENR-00014151
GRD-00000209,final,74.41,0.42,2022-12-21,ENR-00005887
GRD-00000210,midterm,67.73,0.25,2022-11-20,ENR-00009820
GRD-00000211,final,57.96,0.3,2024-11-05,ENR-00006963
GRD-00000212,midterm,96.46,0.35,2025-03-07,ENR-00021915
GRD-00000213,quiz,95.43,0.42,2023-01-18,ENR-00021217
GRD-00000214,midterm,80.2,0.21,2024-09-11,ENR-00018614
GRD-00000215,final,60.92,0.13,2023-01-19,ENR-00022535
GRD-00000216,midterm,64.44,0.28,2022-02-20,ENR-00020775
GRD-00000217,project,81.26,0.18,2025-08-01,ENR-00003788
GRD-00000218,homework,71.75,0.27,2025-02-28,ENR-00011767
GRD-00000219,midterm,58.99,0.49,2022-10-27,ENR-00007683
GRD-00000220,final,74.98,0.17,2024-02-21,ENR-00018430
GRD-00000221,midterm,63.71,0.46,2023-09-12,ENR-00024486
GRD-00000222,quiz,64.29,0.19,2022-06-06,ENR-00013362
GRD-00000223,project,56.77,0.35,2022-06-08,ENR-00011820
GRD-00000224,project,85.29,0.26,2023-09-16,ENR-00002717
GRD-00000225,project,81.32,0.43,2023-07-09,ENR-00022857
GRD-00000226,homework,71.26,0.26,2025-03-03,ENR-00013155
GRD-00000227,quiz,66.48,0.39,2025-12-01,ENR-00010253
GRD-00000228,project,53.51,0.16,2023-05-15,ENR-00019106
GRD-00000229,homework,76.49,0.29,2022-02-07,ENR-00013813
GRD-00000230,project,85.9,0.39,2023-07-19,ENR-00008622
GRD-00000231,project,66.35,0.23,2024-12-26,ENR-00011327
GRD-00000232,project,82.77,0.18,2022-05-06,ENR-00016837
GRD-00000233,project,87.58,0.3,2024-11-01,ENR-00003725
GRD-00000234,final,65.06,0.47,2024-12-30,ENR-00016490
GRD-00000235,midterm,67.56,0.36,2025-05-18,ENR-00004582
GRD-00000236,midterm,76.07,0.39,2024-02-08,ENR-00023551
GRD-00000237,project,90.58,0.34,2023-05-27,ENR-00023640
GRD-00000238,project,77.42,0.25,2025-08-02,ENR-00014868
GRD-00000239,homework,72.5,0.23,2023-05-20,ENR-00019074
GRD-00000240,final,77.03,0.18,2022-08-02,ENR-00015413
GRD-00000241,homework,82.69,0.49,2023-02-15,ENR-00009387
GRD-00000242,quiz,71.53,0.24,2025-02-12,ENR-00009010
GRD-00000243,project,84.71,0.25,2022-11-19,ENR-00015403
GRD-00000244,project,75.74,0.38,2022-02-27,ENR-00022695
GRD-00000245,quiz,77.24,0.31,2022-03-16,ENR-00001207
GRD-00000246,quiz,80.16,0.46,2022-07-28,ENR-00018782
GRD-00000247,midterm,85.74,0.16,2025-02-03,ENR-00023215
GRD-00000248,final,40.77,0.29,2023-05-17,ENR-00002882
GRD-00000249,homework,75.32,0.23,2025-07-21,ENR-00009320
GRD-00000250,midterm,64.82,0.41,2025-12-03,ENR-00014725
GRD-00000251,quiz,76.43,0.3,2023-09-09,ENR-00022769
GRD-00000252,quiz,88.72,0.46,2023-01-12,ENR-00004508
GRD-00000253,midterm,76.29,0.38,2023-03-03,ENR-00021978
GRD-00000254,midterm,85.26,0.25,2025-12-08,ENR-00012268
GRD-00000255,project,65.89,0.21,2023-01-14,ENR-00015131
GRD-00000256,midterm,69.24,0.4,2025-07-25,ENR-00018168
GRD-00000257,quiz,66.72,0.2,2025-07-25,ENR-00018424
GRD-00000258,final,69.08,0.33,2025-07-22,ENR-00006618
GRD-00000259,final,76.66,0.13,2024-06-02,ENR-00014601
GRD-00000260,final,87.47,0.48,2024-10-01,ENR-00016167
GRD-00000261,quiz,82.3,0.13,2022-07-21,ENR-00019033
GRD-00000262,project,72.27,0.48,2022-08-19,ENR-00001006
GRD-00000263,midterm,68.26,0.36,2024-11-05,ENR-00019765
GRD-00000264,final,69.88,0.28,2025-10-31,ENR-00009317
GRD-00000265,quiz,65.89,0.18,2023-01-23,ENR-00007472
GRD-00000266,homework,77.83,0.21,2024-06-15,ENR-00009259
GRD-00000267,homework,88.04,0.33,2025-06-15,ENR-00019081
GRD-00000268,homework,76.48,0.34,2024-03-05,ENR-00011142
GRD-00000269,midterm,97.79,0.41,2024-04-01,ENR-00005535
GRD-00000270,project,74.78,0.44,2022-12-17,ENR-00006400
GRD-00000271,final,58.82,0.44,2024-08-10,ENR-00008999
GRD-00000272,midterm,49.0,0.14,2023-11-09,ENR-00007465
GRD-00000273,midterm,72.88,0.21,2023-10-10,ENR-00002329
GRD-00000274,quiz,61.28,0.39,2025-11-26,ENR-00014618
GRD-00000275,homework,58.36,0.28,2023-03-22,ENR-00015736
GRD-00000276,midterm,96.14,0.22,2024-11-26,ENR-00020547
GRD-00000277,final,54.48,0.17,2022-12-03,ENR-00023431
GRD-00000278,project,89.85,0.33,2022-08-14,ENR-00002748
GRD-00000279,quiz,55.29,0.16,2025-08-19,ENR-00013430
GRD-00000280,quiz,73.17,0.23,2023-01-15,ENR-00018423
GRD-00000281,final,72.6,0.41,2023-10-18,ENR-00009031
GRD-00000282,midterm,42.38,0.12,2022-08-01,ENR-00010454
GRD-00000283,project,67.59,0.15,2024-07-17,ENR-00010192
GRD-00000284,quiz,74.1,0.15,2024-07-19,ENR-00008106
GRD-00000285,midterm,84.89,0.27,2025-06-01,ENR-00021172
GRD-00000286,final,78.47,0.18,2022-08-12,ENR-00019061
GRD-00000287,final,49.47,0.25,2023-07-15,ENR-00024617
GRD-00000288,midterm,62.61,0.36,2025-06-22,ENR-00011835
GRD-00000289,quiz,78.74,0.32,2022-02-24,ENR-00007028
GRD-00000290,homework,78.97,0.33,2023-10-31,ENR-00024457
GRD-00000291,final,66.92,0.14,2025-09-21,ENR-00015920
GRD-00000292,homework,73.2,0.21,2025-03-03,ENR-00001633
GRD-00000293,quiz,72.34,0.13,2025-07-30,ENR-00003281
GRD-00000294,quiz,75.69,0.39,2022-05-24,ENR-00006177
GRD-00000295,final,61.81,0.35,2024-12-28,ENR-00020117
GRD-00000296,final,77.02,0.21,2023-04-05,ENR-00023721
GRD-00000297,midterm,83.47,0.46,2022-05-21,ENR-00013571
GRD-00000298,project,89.55,0.3,2024-12-30,ENR-00023783
GRD-00000299,project,65.51,0.43,2025-01-02,ENR-00015332
GRD-00000300,quiz,54.28,0.46,2023-06-16,ENR-00014613
GRD-00000301,midterm,64.36,0.24,2025-08-17,ENR-00009584
GRD-00000302,midterm,72.75,0.44,2023-09-03,ENR-00017648
GRD-00000303,quiz,75.11,0.47,2024-04-09,ENR-00012635
GRD-00000304,project,61.38,0.38,2022-07-31,ENR-00007111
GRD-00000305,final,81.42,0.11,2025-07-21,ENR-00022453
GRD-00000306,quiz,80.2,0.49,2025-08-25,ENR-00009510
GRD-00000307,midterm,79.16,0.43,2022-08-27,ENR-00024032
GRD-00000308,midterm,66.47,0.42,2023-06-11,ENR-00017585
GRD-00000309,quiz,67.85,0.26,2025-08-07,ENR-00014079
GRD-00000310,project,87.47,0.15,2023-03-15,ENR-00013916
GRD-00000311,quiz,68.1,0.22,2023-10-30,ENR-00023691
GRD-00000312,project,70.61,0.42,2022-05-12,ENR-00001359
GRD-00000313,final,82.14,0.36,2023-03-07,ENR-00022719
GRD-00000314,homework,87.83,0.14,2022-10-07,ENR-00013323
GRD-00000315,project,76.39,0.24,2025-06-30,ENR-00024436
GRD-00000316,quiz,61.05,0.13,2025-09-24,ENR-00021001
GRD-00000317,project,94.61,0.45,2024-03-31,ENR-00021973
GRD-00000318,quiz,67.8,0.1,2022-05-02,ENR-00023983
GRD-00000319,quiz,80.17,0.16,2023-08-04,ENR-00004895
GRD-00000320,project,82.11,0.41,2022-12-17,ENR-00012249
GRD-00000321,quiz,80.67,0.4,2022-08-31,ENR-00013977
GRD-00000322,homework,79.48,0.12,2024-04-21,ENR-00006763
GRD-00000323,homework,88.41,0.15,2024-02-18,ENR-00001615
GRD-00000324,homework,77.77,0.26,2022-07-22,ENR-00000324
GRD-00000325,final,73.47,0.45,2025-09-28,ENR-00024925
GRD-00000326,quiz,72.9,0.45,2025-03-16,ENR-00006326
GRD-00000327,midterm,75.58,0.43,2024-10-25,ENR-00015845
GRD-00000328,midterm,86.82,0.45,2023-08-08,ENR-00020389
GRD-00000329,project,69.01,0.35,2022-08-15,ENR-00011303
GRD-00000330,final,73.4,0.12,2022-12-10,ENR-00008390
GRD-00000331,midterm,89.11,0.28,2023-04-14,ENR-00019048
GRD-00000332,midterm,84.14,0.22,2022-04-09,ENR-00011069
GRD-00000333,homework,92.64,0.38,2025-05-09,ENR-00000879
GRD-00000334,project,72.71,0.43,2025-07-09,ENR-00001301
GRD-00000335,quiz,70.32,0.31,2022-07-15,ENR-00023483
GRD-00000336,project,76.49,0.19,2025-05-05,ENR-00003979
GRD-00000337,midterm,98.84,0.49,2024-07-03,ENR-00024147
GRD-00000338,project,84.53,0.32,2024-08-25,ENR-00021124
GRD-00000339,homework,82.45,0.4,2022-12-12,ENR-00002314
GRD-00000340,midterm,100.0,0.39,2022-02-10,ENR-00009522
GRD-00000341,midterm,42.09,0.46,2023-02-11,ENR-00016571
GRD-00000342,final,76.69,0.22,2023-06-02,ENR-00000015
GRD-00000343,midterm,71.39,0.46,2024-03-03,ENR-00017262
GRD-00000344,project,100.0,0.14,2023-08-12,ENR-00007348
GRD-00000345,project,87.27,0.35,2024-08-25,ENR-00012731
GRD-00000346,final,81.79,0.12,2022-11-13,ENR-00006579
GRD-00000347,midterm,92.8,0.4,2022-08-11,ENR-00024521
GRD-00000348,project,71.49,0.41,2025-10-27,ENR-00012319
GRD-00000349,project,60.15,0.3,2024-04-08,ENR-00022708
GRD-00000350,midterm,67.44,0.36,2024-10-05,ENR-00022729
GRD-00000351,quiz,73.71,0.42,2025-09-19,ENR-00001009
GRD-00000352,midterm,80.12,0.34,2022-02-25,ENR-00017223
GRD-00000353,quiz,65.1,0.42,2024-02-26,ENR-00004484
GRD-00000354,final,91.18,0.32,2023-05-23,ENR-00000961
GRD-00000355,quiz,64.82,0.32,2023-03-29,ENR-00012710
GRD-00000356,final,77.18,0.16,2024-10-13,ENR-00023474
GRD-00000357,quiz,73.34,0.22,2024-05-19,ENR-00009601
GRD-00000358,homework,86.74,0.16,2023-01-15,ENR-00001660
GRD-00000359,homework,56.22,0.35,2023-11-29,ENR-00016579
GRD-00000360,final,70.89,0.36,2023-07-03,ENR-00014490
GRD-00000361,final,73.05,0.21,2025-04-28,ENR-00014770
GRD-00000362,project,83.68,0.15,2025-07-26,ENR-00007293
GRD-00000363,project,83.04,0.48,2022-09-30,ENR-00016524
GRD-00000364,project,55.95,0.26,2022-04-16,ENR-00002300
GRD-00000365,homework,69.85,0.12,2025-10-23,ENR-00001015
GRD-00000366,final,71.31,0.24,2025-09-16,ENR-00003798
GRD-00000367,final,89.19,0.15,2025-08-02,ENR-00013264
GRD-00000368,final,81.46,0.23,2025-04-20,ENR-00004580
GRD-00000369,homework,73.19,0.35,2023-08-04,ENR-00019502
GRD-00000370,quiz,68.97,0.26,2023-07-29,ENR-00019614
GRD-00000371,project,60.4,0.31,2024-07-23,ENR-00011458
GRD-00000372,final,62.61,0.47,2022-03-11,ENR-00015792
GRD-00000373,final,73.58,0.39,2024-02-01,ENR-00007763
GRD-00000374,project,90.51,0.44,2023-08-04,ENR-00023592
GRD-00000375,midterm,62.32,0.41,2023-01-08,ENR-00011594
GRD-00000376,project,91.98,0.28,2025-05-25,ENR-00004757
GRD-00000377,homework,90.17,0.16,2023-06-19,ENR-00015654
GRD-00000378,final,97.17,0.16,2022-09-18,ENR-00010753
GRD-00000379,midterm,78.35,0.18,2024-06-14,ENR-00021833
GRD-00000380,project,77.01,0.18,2024-02-08,ENR-00000487
GRD-00000381,homework,77.81,0.29,2025-02-19,ENR-00013992
GRD-00000382,midterm,82.19,0.38,2023-01-18,ENR-00022813
GRD-00000383,homework,74.5,0.27,2024-12-28,ENR-00008865
GRD-00000384,homework,71.54,0.14,2024-07-25,ENR-00001819
GRD-00000385,final,86.81,0.33,2022-03-28,ENR-00008212
GRD-00000386,homework,74.4,0.12,2025-02-10,ENR-00011186
GRD-00000387,midterm,97.65,0.34,2022-07-27,ENR-00019712
GRD-00000388,homework,73.05,0.25,2025-12-02,ENR-00006922
GRD-00000389,final,59.11,0.19,2022-12-20,ENR-00007404
GRD-00000390,homework,100.0,0.45,2024-02-24,ENR-00011735
GRD-00000391,project,71.48,0.35,2024-09-19,ENR-00013153
GRD-00000392,final,78.29,0.2,2023-04-05,ENR-00022812
GRD-00000393,project,62.03,0.42,2023-03-20,ENR-00009028
GRD-00000394,project,100.0,0.34,2025-12-19,ENR-00005933
GRD-00000395,project,65.41,0.44,2022-09-19,ENR-00024322
GRD-00000396,final,69.6,0.24,2023-05-06,ENR-00010041
GRD-00000397,final,80.64,0.46,2023-11-23,ENR-00002416
GRD-00000398,project,43.86,0.28,2024-03-01,ENR-00011868
GRD-00000399,midterm,59.98,0.22,2024-04-15,ENR-00021986
GRD-00000400,homework,71.48,0.13,2023-05-14,ENR-00009512
GRD-00000401,quiz,48.3,0.45,2022-04-17,ENR-00003124
GRD-00000402,final,88.89,0.43,2025-04-25,ENR-00022970
GRD-00000403,midterm,73.45,0.16,2024-02-06,ENR-00020865
GRD-00000404,midterm,79.32,0.41,2023-12-06,ENR-00020385
GRD-00000405,homework,90.97,0.29,2023-07-06,ENR-00007499
GRD-00000406,project,72.39,0.12,2022-05-05,ENR-00007609
GRD-00000407,final,89.03,0.48,2025-01-17,ENR-00012586
GRD-00000408,project,38.31,0.33,2022-03-24,ENR-00012122
GRD-00000409,midterm,52.48,0.32,2023-05-10,ENR-00001021
GRD-00000410,midterm,80.6,0.38,2025-06-06,ENR-00016529
