invoice_id,issued_at,due_at,total,status,currency,customer_id
INV-00000107,2024-08-06,2024-08-17,69.11,paid,PEN,CUS-0003779
INV-00000108,2025-12-21,2026-01-23,341.21,paid,USD,CUS-0008034
INV-00000109,2022-01-17,2022-01-29,65.65,paid,CLP,CUS-0000180
INV-00000110,2022-07-29,2022-08-16,153.5,overdue,CLP,CUS-0004124
INV-00000111,2024-12-22,2025-01-05,50.5,paid,EUR,CUS-0000904
INV-00000112,2023-11-20,2023-12-03,224.62,pending,USD,CUS-0000191
INV-00000113,2024-04-23,2024-05-03,100.81,paid,EUR,CUS-0005221
INV-00000114,2025-05-03,2025-06-23,63.75,overdue,COP,CUS-0006861
INV-00000115,2024-10-05,2024-10-19,61.81,paid,USD,CUS-0005405
INV-00000116,2025-05-14,2025-05-28,28.88,pending,USD,CUS-0000475
INV-00000117,2024-03-10,2024-04-12,42.12,paid,CLP,CUS-0001000
INV-00000118,2022-08-04,2022-08-16,138.75,paid,CLP,CUS-0006843
INV-00000119,2022-09-10,2022-10-05,689.94,paid,CLP,CUS-0003708
INV-00000120,2025-06-26,2025-08-04,223.11,overdue,EUR,CUS-0001450
INV-00000121,2022-09-15,2022-10-15,45.95,paid,EUR,CUS-0002576
INV-00000122,2022-06-09,2022-06-23,26.41,paid,USD,CUS-0002735
INV-00000123,2023-08-03,2023-09-18,35.67,paid,BRL,CUS-0009757
INV-00000124,2023-02-23,2023-04-16,27.27,paid,CLP,CUS-0000185
INV-00000125,2023-12-22,2024-01-26,1103.12,pending,EUR,CUS-0002473
INV-00000126,2025-09-02,2025-10-11,126.72,paid,PEN,CUS-0003349
INV-00000127,2023-03-29,2023-04-16,551.68,paid,USD,CUS-0007379
INV-00000128,2022-07-09,2022-08-05,46.33,paid,CLP,CUS-0006094
INV-00000129,2023-07-07,2023-08-17,114.91,paid,CLP,CUS-0001928
INV-00000130,2023-09-30,2023-11-26,16.91,paid,EUR,CUS-0003166
INV-00000131,2025-12-12,2026-02-01,71.18,paid,USD,CUS-0004780
INV-00000132,2025-12-06,2026-01-12,16.6,pending,CLP,CUS-0005476
INV-00000133,2025-07-17,2025-08-09,19.83,paid,MXN,CUS-0009167
INV-00000134,2025-02-26,2025-03-09,304.84,paid,MXN,CUS-0008970
INV-00000135,2022-08-18,2022-09-20,59.43,paid,MXN,CUS-0006585
INV-00000136,2022-06-09,2022-06-29,113.7,paid,USD,CUS-0006321
INV-00000137,2024-04-17,2024-06-07,191.86,paid,USD,CUS-0009370
INV-00000138,2024-10-03,2024-10-22,179.63,paid,ARS,CUS-0003822
INV-00000139,2024-03-25,2024-04-26,70.84,paid,USD,CUS-0000834
INV-00000140,2024-02-26,2024-04-06,127.0,paid,COP,CUS-0006471
INV-00000141,2024-07-05,2024-08-20,53.03,paid,EUR,CUS-0000253
INV-00000142,2022-02-25,2022-03-21,50.48,paid,USD,CUS-0001301
INV-00000143,2025-10-24,2025-11-05,102.28,paid,USD,CUS-0000612
INV-00000144,2023-07-10,2023-08-29,66.89,paid,BRL,CUS-0006513
INV-00000145,2023-05-03,2023-06-18,52.79,paid,USD,CUS-0009796
INV-00000146,2022-03-09,2022-03-19,107.05,paid,USD,CUS-0009532
INV-00000147,2023-06-29,2023-07-21,39.92,pending,USD,CUS-0009662
INV-00000148,2022-03-15,2022-05-13,237.95,paid,CLP,CUS-0009158
INV-00000149,2022-10-11,2022-11-22,81.94,paid,EUR,CUS-0001900
INV-00000150,2024-11-14,2024-12-01,166.36,paid,MXN,CUS-0006805
INV-00000151,2025-07-08,2025-08-03,310.0,paid,CLP,CUS-0001512
INV-00000152,2024-11-21,2025-01-08,152.5,paid,CLP,CUS-0001091
INV-00000153,2023-04-28,2023-05-16,36.38,pending,CLP,CUS-0008979
INV-00000154,2025-07-26,2025-09-13,79.8,paid,PEN,CUS-0008304
INV-00000155,2023-10-24,2023-11-08,122.67,paid,USD,CUS-0005248
INV-00000156,2022-05-10,2022-06-06,94.36,overdue,USD,CUS-0007960
INV-00000157,2024-06-28,2024-07-06,144.92,pending,USD,CUS-0000764
INV-00000158,2024-08-04,2024-09-15,72.06,paid,CLP,CUS-0006989
INV-00000159,2024-08-25,2024-09-28,219.1,paid,EUR,CUS-0006331
INV-00000160,2023-07-16,2023-07-23,104.73,paid,USD,CUS-0006031
INV-00000161,2023-06-27,2023-07-13,171.71,paid,EUR,CUS-0003728
INV-00000162,2025-10-21,2025-11-30,50.35,paid,CLP,CUS-0007578
INV-00000163,2024-06-09,2024-06-30,77.43,pending,MXN,CUS-0003988
INV-00000164,2022-07-08,2022-08-29,61.7,paid,MXN,CUS-0002014
INV-00000165,2022-04-24,2022-06-17,49.88,pending,USD,CUS-0003704
INV-00000166,2024-01-21,2024-02-11,53.22,pending,USD,CUS-0007090
INV-00000167,2025-06-11,2025-07-28,77.78,paid,MXN,CUS-0006577
INV-00000168,2023-04-22,2023-06-08,39.34,paid,ARS,CUS-0009357
INV-00000169,2024-10-24,2024-11-11,128.88,paid,PEN,CUS-0000500
INV-00000170,2023-04-23,2023-06-16,52.92,paid,CLP,CUS-0009894
INV-00000171,2024-10-24,2024-11-19,28.29,pending,USD,CUS-0002501
INV-00000172,2025-05-10,2025-05-29,134.93,paid,EUR,CUS-0001313
INV-00000173,2023-01-13,2023-03-07,148.81,paid,BRL,CUS-0002771
INV-00000174,2022-09-19,2022-10-06,367.79,paid,COP,CUS-0009930
INV-00000175,2023-03-26,2023-05-07,36.03,pending,USD,CUS-0002457
INV-00000176,2022-10-11,2022-12-03,110.89,overdue,CLP,CUS-0003685
INV-00000177,2024-06-07,2024-07-23,59.08,paid,EUR,CUS-0007856
INV-00000178,2024-05-07,2024-05-25,175.65,pending,COP,CUS-0006710
INV-00000179,2025-05-09,2025-05-21,60.43,paid,PEN,CUS-0008177
INV-00000180,2024-06-26,2024-07-11,45.46,paid,CLP,CUS-0001080
INV-00000181,2022-07-07,2022-07-16,292.03,paid,USD,CUS-0005922
INV-00000182,2024-12-06,2025-01-23,90.39,pending,USD,CUS-0004112
INV-00000183,2022-10-29,2022-11-09,156.44,paid,CLP,CUS-0006303
INV-00000184,2022-08-03,2022-09-24,25.5,pending,USD,CUS-0006065
INV-00000185,2024-07-16,2024-09-09,184.76,paid,CLP,CUS-0005579
INV-00000186,2024-11-09,2024-12-31,62.58,paid,EUR,CUS-0004566
INV-00000187,2025-03-29,2025-05-08,20.49,paid,USD,CUS-0003043
INV-00000188,2023-08-02,2023-08-23,256.53,paid,USD,CUS-0006138
INV-00000189,2022-10-10,2022-11-19,146.08,paid,USD,CUS-0003872
INV-00000190,2023-03-15,2023-05-02,226.13,overdue,CLP,CUS-0003962
INV-00000191,2024-06-08,2024-06-28,101.87,pending,BRL,CUS-0006053
INV-00000192,2023-01-29,2023-02-26,52.35,paid,USD,CUS-0006414
INV-00000193,2025-05-20,2025-07-18,36.16,overdue,EUR,CUS-0005085
INV-00000194,2024-04-09,2024-04-26,46.3,overdue,MXN,CUS-0007132
INV-00000195,2025-06-24,2025-08-08,9.79,pending,ARS,CUS-0003474
INV-00000196,2022-08-07,2022-10-05,37.43,paid,BRL,CUS-0007751
INV-00000197,2023-09-25,2023-10-23,171.76,pending,USD,CUS-0005317
INV-00000198,2022-06-13,2022-08-02,150.08,paid,CLP,CUS-0006821
INV-00000199,2023-09-24,2023-10-28,85.36,paid,EUR,CUS-0002547
INV-00000200,2022-09-20,2022-11-13,271.31,paid,CLP,CUS-0009316
INV-00000201,2023-10-08,2023-11-06,310.14,paid,USD,CUS-0002812
INV-00000202,2023-05-12,2023-06-11,151.95,paid,MXN,CUS-0003865
INV-00000203,2025-02-07,2025-02-20,68.54,paid,CLP,CUS-0005777
INV-00000204,2024-02-07,2024-03-31,64.71,pending,PEN,CUS-0003039
INV-00000205,2022-03-16,2022-03-24,83.24,paid,BRL,CUS-0005805
INV-00000206,2025-07-29,2025-08-29,39.27,paid,CLP,CUS-0009858
INV-00000207,2023-05-12,2023-06-04,84.92,pending,USD,CUS-0009752
INV-00000208,2023-01-14,2023-02-24,71.86,paid,CLP,CUS-0000293
INV-00000209,2024-08-18,2024-08-27,87.84,pending,USD,CUS-0000304
INV-00000210,2025-12-18,2026-02-15,125.87,paid,USD,CUS-0005727
INV-00000211,2023-12-12,2024-01-20,62.28,overdue,CLP,CUS-0008523
INV-00000212,2025-03-17,2025-05-05,523.92,pending,CLP,CUS-0008752
INV-00000213,2023-04-03,2023-04-30,47.18,overdue,CLP,CUS-0008083
INV-00000214,2025-06-02,2025-06-20,62.27,paid,CLP,CUS-0001232
INV-00000215,2022-05-03,2022-06-16,54.78,pending,CLP,CUS-0001687
INV-00000216,2023-07-25,2023-08-21,31.91,paid,CLP,CUS-0002805
INV-00000217,2023-03-08,2023-04-24,5.0,paid,MXN,CUS-0000215
INV-00000218,2022-03-28,2022-05-02,39.64,pending,USD,CUS-0006273
INV-00000219,2022-09-19,2022-11-12,205.61,pending,CLP,CUS-0002943
INV-00000220,2025-03-08,2025-04-29,283.43,paid,BRL,CUS-0000762
INV-00000221,2024-06-23,2024-07-05,272.44,pending,USD,CUS-0009826
INV-00000222,2022-03-15,2022-03-28,33.22,paid,ARS,CUS-0007055
INV-00000223,2025-04-25,2025-06-07,65.62,paid,MXN,CUS-0008438
INV-00000224,2025-04-02,2025-04-24,30.95,paid,USD,CUS-0007667
INV-00000225,2022-05-26,2022-07-01,111.51,paid,USD,CUS-0007046
INV-00000226,2024-10-20,2024-12-05,297.57,paid,EUR,CUS-0003514
INV-00000227,2023-04-09,2023-04-16,280.8,pending,USD,CUS-0006038
INV-00000228,2025-10-03,2025-11-15,50.6,overdue,PEN,CUS-0005048
INV-00000229,2025-05-01,2025-06-16,379.21,paid,CLP,CUS-0004035
INV-00000230,2022-12-29,2023-02-08,81.36,paid,EUR,CUS-0004152
INV-00000231,2023-02-15,2023-03-27,139.52,paid,EUR,CUS-0003466
INV-00000232,2023-09-20,2023-10-10,40.87,paid,CLP,CUS-0009316
INV-00000233,2023-04-17,2023-06-11,89.81,pending,USD,CUS-0004116
INV-00000234,2025-10-02,2025-11-19,19.51,pending,USD,CUS-0007507
INV-00000235,2023-06-02,2023-07-07,473.74,overdue,ARS,CUS-0003428
INV-00000236,2022-07-12,2022-09-06,19.98,pending,USD,CUS-0002354
INV-00000237,2023-03-20,2023-04-09,70.84,overdue,MXN,CUS-0002728
INV-00000238,2022-10-15,2022-11-18,45.4,paid,COP,CUS-0008067
INV-00000239,2024-05-24,2024-06-12,66.05,overdue,BRL,CUS-0001922
INV-00000240,2023-02-08,2023-02-27,47.87,paid,PEN,CUS-0004143
INV-00000241,2023-08-27,2023-10-13,9.76,paid,MXN,CUS-0006187
INV-00000242,2022-12-19,2023-02-05,32.63,pending,MXN,CUS-0001546
INV-00000243,2022-04-21,2022-06-19,179.8,paid,USD,CUS-0008793
INV-00000244,2023-06-06,2023-06-23,93.33,pending,PEN,CUS-0002546
INV-00000245,2025-04-30,2025-05-31,247.46,pending,CLP,CUS-0001287
INV-00000246,2024-09-04,2024-09-18,72.64,pending,USD,CUS-0009141
INV-00000247,2023-08-10,2023-10-08,127.21,paid,USD,CUS-0009308
INV-00000248,2024-03-21,2024-05-18,89.05,paid,CLP,CUS-0001563
INV-00000249,2023-12-07,2024-01-31,50.43,paid,BRL,CUS-0008921
INV-00000250,2024-05-17,2024-06-23,43.52,paid,PEN,CUS-0003550
INV-00000251,2024-11-07,2024-12-25,44.54,paid,BRL,CUS-0009809
INV-00000252,2025-10-13,2025-11-04,220.44,pending,USD,CUS-0008228
INV-00000253,2023-02-08,2023-03-06,82.71,overdue,CLP,CUS-0004521
INV-00000254,2023-12-14,2024-02-10,21.15,overdue,EUR,CUS-0000776
INV-00000255,2024-01-25,2024-02-27,88.14,paid,EUR,CUS-0009841
INV-00000256,2024-09-29,2024-11-18,27.28,paid,EUR,CUS-0007925
INV-00000257,2023-12-30,2024-02-05,169.69,paid,ARS,CUS-0009371
INV-00000258,2022-09-06,2022-09-14,97.89,paid,USD,CUS-0005163
INV-00000259,2023-09-02,2023-10-27,65.64,paid,ARS,CUS-0000163
INV-00000260,2025-09-26,2025-10-27,41.84,paid,PEN,CUS-0009875
INV-00000261,2022-05-25,2022-06-07,202.9,paid,USD,CUS-0005702
INV-00000262,2022-09-04,2022-09-26,47.28,paid,USD,CUS-0002564
INV-00000263,2025-01-19,2025-02-18,393.64,paid,USD,CUS-0004588
INV-00000264,2024-11-29,2025-01-10,23.68,paid,PEN,CUS-0004189
INV-00000265,2025-03-17,2025-03-29,27.89,pending,USD,CUS-0008637
INV-00000266,2023-03-22,2023-04-09,18.4,paid,USD,CUS-0005523
INV-00000267,2025-01-12,2025-01-23,32.89,paid,USD,CUS-0004125
INV-00000268,2024-04-13,2024-05-29,106.61,overdue,CLP,CUS-0000015
INV-00000269,2024-09-11,2024-11-01,366.4,pending,USD,CUS-0009298
INV-00000270,2022-11-18,2022-12-01,280.08,paid,COP,CUS-0005516
INV-00000271,2024-03-28,2024-04-09,205.41,paid,USD,CUS-0006881
INV-00000272,2023-03-06,2023-03-28,54.47,paid,CLP,CUS-0006095
INV-00000273,2023-10-29,2023-12-03,72.42,paid,BRL,CUS-0006199
INV-00000274,2024-02-08,2024-02-21,66.17,overdue,USD,CUS-0003486
INV-00000275,2022-02-11,2022-02-24,829.28,paid,USD,CUS-0009336
INV-00000276,2022-06-16,2022-07-25,25.47,paid,USD,CUS-0004990
INV-00000277,2025-04-22,2025-05-25,243.41,paid,BRL,CUS-0008103
INV-00000278,2022-10-31,2022-11-13,37.15,paid,CLP,CUS-0006340
INV-00000279,2022-06-04,2022-07-12,219.29,pending,CLP,CUS-0004527
INV-00000280,2024-10-24,2024-12-13,370.18,paid,USD,CUS-0000573
INV-00000281,2024-11-09,2024-11-26,36.98,paid,EUR,CUS-0000075
INV-00000282,2023-08-14,2023-08-31,13.29,paid,USD,CUS-0007571
INV-00000283,2025-08-07,2025-08-21,242.91,paid,EUR,CUS-0005434
INV-00000284,2024-04-02,2024-04-19,78.63,paid,USD,CUS-0008733
INV-00000285,2025-06-02,2025-06-28,109.81,paid,CLP,CUS-0003790
INV-00000286,2024-05-10,2024-07-03,74.19,paid,USD,CUS-0009311
INV-00000287,2023-03-28,2023-04-22,63.08,pending,MXN,CUS-0002571
INV-00000288,2025-03-18,2025-04-12,144.16,paid,PEN,CUS-0009341
INV-00000289,2025-03-31,2025-05-20,75.18,paid,COP,CUS-0005107
INV-00000290,2023-07-08,2023-08-27,157.97,pending,USD,CUS-0000208
INV-00000291,2023-01-14,2023-02-25,205.98,paid,USD,CUS-0007830
INV-00000292,2022-06-16,2022-07-16,175.83,pending,USD,CUS-0009684
INV-00000293,2024-05-11,2024-06-25,70.28,paid,EUR,CUS-0002738
INV-00000294,2022-10-03,2022-10-15,212.55,paid,ARS,CUS-0007922
INV-00000295,2025-03-24,2025-04-07,114.95,paid,MXN,CUS-0005216
INV-00000296,2024-07-06,2024-07-16,58.51,paid,USD,CUS-0004381
INV-00000297,2024-10-05,2024-10-30,47.38,overdue,EUR,CUS-0009307
INV-00000298,2023-09-28,2023-10-08,207.36,paid,CLP,CUS-0009050
INV-00000299,2023-04-22,2023-05-09,250.54,overdue,USD,CUS-0003449
INV-00000300,2025-12-15,2026-02-11,195.22,paid,EUR,CUS-0004157
INV-00000301,2025-08-28,2025-09-17,68.34,paid,CLP,CUS-0007410
INV-00000302,2025-04-11,2025-05-23,57.52,paid,CLP,CUS-0000859
INV-00000303,2024-08-11,2024-10-09,148.04,paid,USD,CUS-0000264
INV-00000304,2025-06-24,2025-08-03,100.12,paid,USD,CUS-0006723
INV-00000305,2022-01-06,2022-02-08,282.01,paid,CLP,CUS-0000833
INV-00000306,2022-05-13,2022-07-05,98.83,paid,BRL,CUS-0004514
INV-00000307,2025-10-13,2025-12-08,76.19,paid,USD,CUS-0007212
INV-00000308,2024-10-13,2024-11-27,24.11,overdue,USD,CUS-0003185
INV-00000309,2022-08-19,2022-10-10,24.41,pending,CLP,CUS-0007322
INV-00000310,2024-06-29,2024-07-27,147.5,pending,CLP,CUS-0007990
INV-00000311,2024-08-26,2024-09-29,83.71,pending,CLP,CUS-0006319
INV-00000312,2025-12-30,2026-01-21,49.68,paid,USD,CUS-0006102
INV-00000313,2025-05-01,2025-05-11,305.47,pending,EUR,CUS-0009328
INV-00000314,2024-12-03,2025-01-17,148.33,paid,EUR,CUS-0001154
INV-00000315,2024-01-18,2024-02-10,41.37,paid,USD,CUS-0002198
INV-00000316,2022-01-20,2022-03-08,68.51,paid,USD,CUS-0009803
INV-00000317,2025-10-12,2025-11-29,124.87,pending,USD,CUS-0001707
INV-00000318,2025-10-13,2025-12-05,81.35,paid,USD,CUS-0001661
INV-00000319,2022-07-06,2022-07-16,27.39,paid,CLP,CUS-0003939
INV-00000320,2024-03-29,2024-05-15,92.69,paid,BRL,CUS-0003618
INV-00000321,2025-08-03,2025-08-13,87.0,paid,CLP,CUS-0003229
INV-00000322,2024-08-29,2024-09-06,68.6,paid,EUR,CUS-0003152
INV-00000323,2024-08-02,2024-09-11,151.96,paid,USD,CUS-0008513
INV-00000324,2024-01-04,2024-02-20,99.83,pending,COP,CUS-0000122
INV-00000325,2023-10-01,2023-11-13,36.54,paid,CLP,CUS-0004755
INV-00000326,2024-10-03,2024-11-02,80.15,paid,CLP,CUS-0001491
INV-00000327,2024-03-14,2024-03-25,15.95,paid,PEN,CUS-0009066
INV-00000328,2022-02-12,2022-03-04,25.59,pending,CLP,CUS-0004575
INV-00000329,2022-03-31,2022-05-08,91.33,paid,MXN,CUS-0004955
INV-00000330,2025-01-24,2025-02-14,495.4,paid,USD,CUS-0001472
INV-00000331,2024-08-17,2024-10-13,245.05,overdue,BRL,CUS-0004775
INV-00000332,2024-09-29,2024-11-16,607.92,paid,EUR,CUS-0000216
INV-00000333,2022-07-12,2022-07-24,120.94,paid,CLP,CUS-0007754
INV-00000334,2024-07-25,2024-08-09,141.96,paid,MXN,CUS-0002252
INV-00000335,2022-04-29,2022-05-23,134.68,paid,ARS,CUS-0007609
INV-00000336,2022-12-13,2022-12-25,66.68,paid,USD,CUS-0003170
INV-00000337,2024-08-08,2024-09-02,14.27,pending,EUR,CUS-0004989
INV-00000338,2025-02-23,2025-03-24,171.27,pending,USD,CUS-0006308
INV-00000339,2023-09-14,2023-10-03,40.34,pending,CLP,CUS-0001341
INV-00000340,2025-02-11,2025-03-08,159.65,paid,MXN,CUS-0000411
INV-00000341,2022-12-02,2022-12-28,33.34,paid,EUR,CUS-0008165
INV-00000342,2023-07-25,2023-08-04,87.5,overdue,USD,CUS-0000034
INV-00000343,2025-07-25,2025-08-14,33.15,paid,CLP,CUS-0000344
INV-00000344,2024-02-24,2024-04-05,132.79,paid,CLP,CUS-0006173
INV-00000345,2023-03-03,2023-04-08,226.99,paid,CLP,CUS-0002611
INV-00000346,2023-01-13,2023-01-29,121.05,paid,USD,CUS-0003290
INV-00000347,2025-05-31,2025-06-11,78.16,paid,USD,CUS-0006956
INV-00000348,2023-01-08,2023-02-06,75.07,paid,USD,CUS-0001168
INV-00000349,2024-03-13,2024-03-22,71.16,pending,USD,CUS-0005955
INV-00000350,2025-10-18,2025-10-26,133.01,paid,USD,CUS-0001299
