payment_id,amount,paid_at,method,invoice_id
PAY-00000179,175.08,2022-06-06,bank_transfer,INV-00046004
PAY-00000180,16.03,2023-09-01,paypal,INV-00025082
PAY-00000181,51.34,2023-02-26,paypal,INV-00045974
PAY-00000182,29.37,2025-04-07,paypal,INV-00001692
PAY-00000183,66.23,2024-09-30,bank_transfer,INV-00044373
PAY-00000184,51.76,2024-08-25,card,INV-00007034
PAY-00000185,10.06,2024-12-11,bank_transfer,INV-00033185
PAY-00000186,12.26,2024-07-31,bank_transfer,INV-00038558
PAY-00000187,161.62,2025-03-06,bank_transfer,INV-00033124
PAY-00000188,21.51,2023-08-08,bank_transfer,INV-00011062
PAY-00000189,7.5,2025-08-10,paypal,INV-00037063
PAY-00000190,66.29,2024-01-06,bank_transfer,INV-00021647
PAY-00000191,12.62,2023-11-28,bank_transfer,INV-00015729
PAY-00000192,172.18,2025-09-06,card,INV-00049036
PAY-00000193,6.55,2022-12-04,bank_transfer,INV-00003649
PAY-00000194,24.19,2025-04-16,card,INV-00044444
PAY-00000195,14.15,2022-06-23,bank_transfer,INV-00007149
PAY-00000196,85.79,2022-11-06,bank_transfer,INV-00046192
PAY-00000197,129.34,2025-11-06,bank_transfer,INV-00019315
PAY-00000198,18.13,2023-11-19,bank_transfer,INV-00036316
PAY-00000199,40.22,2022-07-11,card,INV-00015548
PAY-00000200,52.26,2024-05-23,bank_transfer,INV-00036627
PAY-00000201,48.39,2022-06-21,card,INV-00016458
PAY-00000202,9.55,2023-01-23,bank_transfer,INV-00032411
PAY-00000203,16.1,2024-07-16,bank_transfer,INV-00008751
PAY-00000204,19.9,2024-08-25,bank_transfer,INV-00028121
PAY-00000205,255.79,2023-04-29,bank_transfer,INV-00028431
PAY-00000206,76.25,2023-12-15,card,INV-00047740
PAY-00000207,70.67,2023-06-14,bank_transfer,INV-00004199
PAY-00000208,14.72,2024-09-03,bank_transfer,INV-00032962
PAY-00000209,33.2,2025-06-27,card,INV-00005872
PAY-00000210,19.69,2024-07-21,card,INV-00004895
PAY-00000211,38.83,2024-08-19,paypal,INV-00009416
PAY-00000212,81.29,2024-01-18,card,INV-00044451
PAY-00000213,19.34,2022-04-09,card,INV-00039597
PAY-00000214,44.35,2024-06-30,card,INV-00028024
PAY-00000215,102.02,2025-05-10,card,INV-00034190
PAY-00000216,18.19,2022-12-09,bank_transfer,INV-00020357
PAY-00000217,61.32,2024-02-29,bank_transfer,INV-00038996
PAY-00000218,15.68,2025-01-08,bank_transfer,INV-00046668
PAY-00000219,166.18,2025-08-25,card,INV-00034985
PAY-00000220,640.53,2025-06-29,card,INV-00009839
PAY-00000221,109.93,2022-03-18,bank_transfer,INV-00004908
PAY-00000222,10.24,2022-08-22,bank_transfer,INV-00007616
PAY-00000223,140.64,2023-07-25,bank_transfer,INV-00002122
PAY-00000224,11.12,2024-11-11,card,INV-00025224
PAY-00000225,52.9,2023-07-01,bank_transfer,INV-00046092
PAY-00000226,34.52,2024-04-20,card,INV-00005386
PAY-00000227,158.77,2025-03-15,bank_transfer,INV-00031759
PAY-00000228,39.22,2023-12-26,card,INV-00018155
PAY-00000229,18.97,2023-04-13,card,INV-00032750
PAY-00000230,229.94,2025-10-17,card,INV-00039400
PAY-00000231,13.22,2024-02-13,paypal,INV-00019869
PAY-00000232,112.55,2023-08-27,card,INV-00032406
PAY-00000233,187.1,2022-10-16,card,INV-00031108
PAY-00000234,47.12,2022-02-05,cash,INV-00027493
PAY-00000235,11.89,2023-10-13,card,INV-00020165
PAY-00000236,9.09,2025-02-16,card,INV-00017811
PAY-00000237,1273.49,2022-11-13,card,INV-00001527
PAY-00000238,152.45,2025-11-13,card,INV-00034051
PAY-00000239,69.02,2022-08-19,bank_transfer,INV-00025591
PAY-00000240,44.37,2023-06-24,bank_transfer,INV-00013893
PAY-00000241,8.6,2023-03-24,card,INV-00005357
PAY-00000242,2.67,2025-05-17,card,INV-00033618
PAY-00000243,18.9,2025-07-20,paypal,INV-00033719
PAY-00000244,36.2,2025-08-22,card,INV-00001433
PAY-00000245,41.86,2025-08-23,bank_transfer,INV-00005599
PAY-00000246,43.85,2024-12-11,cash,INV-00019834
PAY-00000247,25.32,2024-03-30,cash,INV-00020174
PAY-00000248,61.69,2023-08-13,bank_transfer,INV-00025997
PAY-00000249,408.32,2022-02-28,card,INV-00033199
PAY-00000250,67.85,2022-10-20,card,INV-00007367
PAY-00000251,21.42,2025-07-07,cash,INV-00042687
PAY-00000252,92.92,2024-01-31,paypal,INV-00021514
PAY-00000253,100.01,2023-08-17,card,INV-00024414
PAY-00000254,72.54,2024-02-24,card,INV-00006862
PAY-00000255,110.1,2023-01-16,card,INV-00016420
PAY-00000256,201.63,2022-04-25,bank_transfer,INV-00022006
PAY-00000257,102.61,2023-01-16,card,INV-00009312
PAY-00000258,92.69,2023-06-05,bank_transfer,INV-00035646
PAY-00000259,66.04,2025-05-28,card,INV-00018260
PAY-00000260,4.77,2025-03-19,bank_transfer,INV-00006234
PAY-00000261,32.93,2022-04-01,bank_transfer,INV-00036907
PAY-00000262,58.09,2024-04-17,card,INV-00049604
PAY-00000263,40.46,2022-11-16,card,INV-00005278
PAY-00000264,69.04,2023-04-07,card,INV-00025840
PAY-00000265,8.4,2025-02-27,card,INV-00023943
PAY-00000266,65.95,2025-02-08,card,INV-00019366
PAY-00000267,19.09,2023-08-31,card,INV-00007117
PAY-00000268,97.47,2022-08-28,cash,INV-00024059
PAY-00000269,28.21,2022-08-24,card,INV-00013560
PAY-00000270,22.67,2022-08-27,card,INV-00025936
PAY-00000271,31.93,2022-09-10,card,INV-00003117
PAY-00000272,49.75,2024-12-18,bank_transfer,INV-00015464
PAY-00000273,29.25,2023-07-06,card,INV-00033627
PAY-00000274,22.7,2024-10-15,bank_transfer,INV-00030361
PAY-00000275,18.18,2022-12-11,card,INV-00015897
PAY-00000276,21.68,2024-03-23,cash,INV-00042836
PAY-00000277,12.87,2025-09-14,paypal,INV-00046084
PAY-00000278,8.25,2023-09-14,card,INV-00000241
PAY-00000279,63.9,2024-12-18,card,INV-00037114
PAY-00000280,16.49,2025-04-11,card,INV-00027294
PAY-00000281,113.95,2026-01-11,bank_transfer,INV-00008169
PAY-00000282,74.59,2022-06-25,cash,INV-00039421
PAY-00000283,15.27,2025-07-10,card,INV-00025311
PAY-00000284,38.12,2025-08-07,paypal,INV-00002311
PAY-00000285,24.98,2025-06-27,card,INV-00046480
PAY-00000286,20.53,2023-03-16,card,INV-00008276
PAY-00000287,257.82,2024-02-26,bank_transfer,INV-00028150
PAY-00000288,6.24,2025-09-02,card,INV-00011409
PAY-00000289,105.1,2023-06-24,card,INV-00012290
PAY-00000290,49.01,2023-03-31,card,INV-00027918
PAY-00000291,157.75,2024-05-23,paypal,INV-00012589
PAY-00000292,58.94,2023-08-24,bank_transfer,INV-00026632
PAY-00000293,22.27,2025-02-10,bank_transfer,INV-00001312
PAY-00000294,23.25,2023-07-14,card,INV-00002176
PAY-00000295,79.46,2022-02-03,paypal,INV-00012782
PAY-00000296,57.22,2022-01-24,paypal,INV-00003673
PAY-00000297,43.32,2022-08-20,card,INV-00008441
PAY-00000298,55.77,2024-06-28,card,INV-00045779
PAY-00000299,238.88,2023-07-11,card,INV-00024621
PAY-00000300,55.49,2023-04-20,bank_transfer,INV-00027733
PAY-00000301,45.86,2023-02-20,paypal,INV-00010705
PAY-00000302,109.47,2022-06-30,card,INV-00009254
PAY-00000303,118.65,2023-06-20,bank_transfer,INV-00044789
PAY-00000304,28.8,2024-07-29,card,INV-00007631
PAY-00000305,10.94,2024-12-26,card,INV-00005670
PAY-00000306,229.79,2023-11-02,card,INV-00035190
PAY-00000307,11.9,2022-05-06,card,INV-00030430
PAY-00000308,66.15,2022-12-03,paypal,INV-00004930
PAY-00000309,61.38,2023-11-04,card,INV-00002024
PAY-00000310,71.3,2022-03-25,card,INV-00001906
PAY-00000311,33.9,2023-04-02,card,INV-00013212
PAY-00000312,24.26,2022-02-10,bank_transfer,INV-00035231
PAY-00000313,100.17,2022-08-14,bank_transfer,INV-00002968
PAY-00000314,73.68,2024-11-03,card,INV-00018646
PAY-00000315,46.35,2022-06-27,card,INV-00049315
PAY-00000316,76.06,2025-12-15,cash,INV-00026540
PAY-00000317,60.0,2025-05-13,paypal,INV-00045186
PAY-00000318,24.47,2023-03-28,cash,INV-00021175
PAY-00000319,4.46,2022-09-14,bank_transfer,INV-00008055
PAY-00000320,37.18,2023-11-12,bank_transfer,INV-00027572
PAY-00000321,62.34,2024-05-29,card,INV-00043824
PAY-00000322,327.59,2025-11-25,card,INV-00018580
PAY-00000323,100.66,2024-08-27,card,INV-00005965
PAY-00000324,81.04,2024-04-03,card,INV-00032908
PAY-00000325,155.37,2024-02-02,card,INV-00030255
PAY-00000326,18.33,2023-09-03,paypal,INV-00045301
PAY-00000327,7.83,2024-07-21,bank_transfer,INV-00032196
PAY-00000328,63.13,2022-05-27,bank_transfer,INV-00034352
PAY-00000329,38.35,2025-07-26,card,INV-00013861
PAY-00000330,14.79,2025-09-12,card,INV-00038990
PAY-00000331,3.1,2022-12-05,card,INV-00039727
PAY-00000332,28.18,2025-03-28,paypal,INV-00047367
PAY-00000333,232.91,2023-02-28,card,INV-00017269
PAY-00000334,11.52,2022-08-01,card,INV-00031050
PAY-00000335,46.31,2022-06-29,card,INV-00020735
PAY-00000336,53.98,2022-08-21,card,INV-00047120
PAY-00000337,70.14,2024-09-08,bank_transfer,INV-00001657
PAY-00000338,36.59,2023-04-06,card,INV-00043441
PAY-00000339,93.85,2025-06-23,bank_transfer,INV-00023051
PAY-00000340,18.36,2025-10-04,bank_transfer,INV-00037241
PAY-00000341,23.5,2024-01-05,bank_transfer,INV-00032066
PAY-00000342,238.04,2022-04-09,bank_transfer,INV-00018464
PAY-00000343,15.79,2023-03-24,bank_transfer,INV-00004189
PAY-00000344,43.15,2022-02-26,card,INV-00049749
PAY-00000345,361.41,2023-08-02,card,INV-00037003
PAY-00000346,47.37,2024-01-05,card,INV-00028652
PAY-00000347,102.23,2025-03-17,card,INV-00012008
PAY-00000348,20.37,2022-09-21,bank_transfer,INV-00005602
PAY-00000349,93.44,2022-05-28,card,INV-00019701
PAY-00000350,53.69,2025-11-03,card,INV-00029913
PAY-00000351,124.08,2022-06-05,card,INV-00042213
PAY-00000352,143.45,2022-03-31,bank_transfer,INV-00028211
PAY-00000353,61.37,2025-07-30,card,INV-00040930
PAY-00000354,187.09,2024-10-19,bank_transfer,INV-00004882
PAY-00000355,82.33,2025-11-13,card,INV-00002387
PAY-00000356,4.73,2022-12-03,card,INV-00013635
PAY-00000357,58.69,2025-09-28,card,INV-00049224
PAY-00000358,98.22,2022-04-18,bank_transfer,INV-00024211
PAY-00000359,28.15,2025-03-03,card,INV-00049650
PAY-00000360,9.55,2022-06-20,card,INV-00005317
PAY-00000361,27.6,2025-07-02,cash,INV-00025242
PAY-00000362,81.92,2025-07-14,card,INV-00030386
PAY-00000363,2.89,2025-06-02,bank_transfer,INV-00049260
PAY-00000364,182.92,2025-10-12,bank_transfer,INV-00026285
PAY-00000365,98.63,2022-12-26,bank_transfer,INV-00000501
PAY-00000366,197.67,2025-01-26,bank_transfer,INV-00004979
PAY-00000367,46.57,2024-10-24,card,INV-00026949
PAY-00000368,38.87,2022-11-05,card,INV-00026751
PAY-00000369,175.29,2022-12-11,card,INV-00028443
PAY-00000370,106.37,2022-04-04,bank_transfer,INV-00043564
PAY-00000371,21.94,2022-09-15,card,INV-00029550
PAY-00000372,26.35,2023-07-05,card,INV-00022865
PAY-00000373,26.97,2025-09-13,card,INV-00015422
PAY-00000374,225.45,2024-10-06,card,INV-00012779
PAY-00000375,101.56,2024-12-15,bank_transfer,INV-00031821
PAY-00000376,65.09,2022-04-07,paypal,INV-00002527
PAY-00000377,36.39,2024-05-11,bank_transfer,INV-00015259
PAY-00000378,34.19,2023-08-08,bank_transfer,INV-00036079
PAY-00000379,5.06,2025-12-07,bank_transfer,INV-00002155
PAY-00000380,51.33,2025-11-23,card,INV-00017266
PAY-00000381,117.37,2024-02-10,card,INV-00037089
PAY-00000382,23.72,2025-01-18,bank_transfer,INV-00004201
PAY-00000383,603.79,2025-07-02,cash,INV-00028083
PAY-00000384,145.53,2022-11-02,card,INV-00045471
PAY-00000385,12.95,2025-03-04,bank_transfer,INV-00035079
PAY-00000386,162.25,2026-01-10,card,INV-00005668
PAY-00000387,83.53,2024-10-06,card,INV-00045872
PAY-00000388,17.73,2024-03-19,card,INV-00036141
PAY-00000389,47.76,2023-05-23,bank_transfer,INV-00029769
PAY-00000390,63.14,2023-12-11,card,INV-00016296
PAY-00000391,60.05,2022-04-19,card,INV-00000496
PAY-00000392,28.1,2022-07-17,paypal,INV-00024219
PAY-00000393,33.14,2025-12-27,bank_transfer,INV-00031818
PAY-00000394,48.18,2024-11-09,card,INV-00034474
PAY-00000395,100.51,2022-02-25,card,INV-00019564
PAY-00000396,58.14,2024-06-13,card,INV-00039454
PAY-00000397,22.35,2023-10-09,paypal,INV-00002129
PAY-00000398,105.83,2025-10-07,card,INV-00014387
PAY-00000399,50.6,2024-08-15,card,INV-00044971
PAY-00000400,91.18,2022-04-16,card,INV-00012816
PAY-00000401,158.19,2024-09-16,card,INV-00048032
PAY-00000402,34.54,2026-01-03,card,INV-00030823
PAY-00000403,41.95,2023-07-03,paypal,INV-00048005
PAY-00000404,41.88,2025-01-13,card,INV-00049278
PAY-00000405,41.75,2024-08-11,paypal,INV-00016224
PAY-00000406,20.01,2023-06-29,paypal,INV-00026444
PAY-00000407,103.96,2022-07-05,card,INV-00003936
PAY-00000408,10.51,2023-01-14,card,INV-00012041
PAY-00000409,27.3,2022-11-09,card,INV-00007250
PAY-00000410,5.32,2022-04-04,bank_transfer,INV-00025087
PAY-00000411,21.09,2025-03-13,card,INV-00003154
PAY-00000412,8.26,2024-12-30,bank_transfer,INV-00003238
PAY-00000413,61.7,2022-12-31,bank_transfer,INV-00015010
PAY-00000414,7.35,2022-08-31,card,INV-00044868
PAY-00000415,22.65,2023-04-01,bank_transfer,INV-00018189
PAY-00000416,39.23,2025-10-31,card,INV-00014044
PAY-00000417,38.33,2025-04-07,paypal,INV-00019651
PAY-00000418,28.58,2024-05-05,bank_transfer,INV-00005580
PAY-00000419,41.93,2024-02-05,bank_transfer,INV-00028935
PAY-00000420,40.05,2025-02-19,paypal,INV-00031634
PAY-00000421,62.62,2023-09-16,card,INV-00004095
PAY-00000422,19.67,2023-04-04,card,INV-00015166
PAY-00000423,41.67,2024-10-12,card,INV-00010895
PAY-00000424,19.11,2023-05-19,bank_transfer,INV-00035185
PAY-00000425,966.36,2023-02-20,card,INV-00018088
PAY-00000426,25.06,2022-02-17,paypal,INV-00049489
PAY-00000427,42.25,2023-07-22,card,INV-00022341
PAY-00000428,29.84,2025-11-25,card,INV-00024326
PAY-00000429,19.96,2026-01-06,bank_transfer,INV-00011348
PAY-00000430,71.36,2022-12-21,card,INV-00020237
PAY-00000431,92.51,2023-11-16,card,INV-00046631
PAY-00000432,46.36,2024-03-28,bank_transfer,INV-00024007
PAY-00000433,3.2,2024-02-15,bank_transfer,INV-00006273
PAY-00000434,195.39,2023-01-23,card,INV-00011559
PAY-00000435,52.82,2023-01-22,card,INV-00017544
PAY-00000436,92.52,2024-07-05,bank_transfer,INV-00036456
PAY-00000437,81.77,2022-07-16,paypal,INV-00033237
PAY-00000438,67.46,2023-05-18,bank_transfer,INV-00037564
PAY-00000439,33.86,2024-05-25,card,INV-00045526
PAY-00000440,27.45,2022-03-23,paypal,INV-00022338
PAY-00000441,22.53,2023-09-04,card,INV-00007554
PAY-00000442,3.46,2022-02-13,paypal,INV-00041909
PAY-00000443,32.94,2025-08-22,card,INV-00016156
PAY-00000444,41.28,2024-06-11,bank_transfer,INV-00007418
PAY-00000445,82.53,2023-10-22,bank_transfer,INV-00032023
PAY-00000446,202.72,2024-08-04,card,INV-00009965
PAY-00000447,55.65,2024-10-10,card,INV-00028037
PAY-00000448,29.34,2025-08-10,card,INV-00027065
PAY-00000449,47.52,2023-09-12,bank_transfer,INV-00018500
PAY-00000450,37.54,2024-11-27,card,INV-00026101
PAY-00000451,17.77,2025-04-18,bank_transfer,INV-00028136
PAY-00000452,27.32,2025-02-22,card,INV-00014744
PAY-00000453,112.08,2024-11-03,cash,INV-00026368
PAY-00000454,19.31,2023-06-06,cash,INV-00045625
PAY-00000455,18.36,2023-04-02,cash,INV-00000736
PAY-00000456,97.59,2025-08-28,bank_transfer,INV-00014877
PAY-00000457,109.44,2024-01-13,paypal,INV-00035435
PAY-00000458,113.75,2023-10-01,card,INV-00038505
PAY-00000459,133.49,2022-09-21,card,INV-00014701
PAY-00000460,166.31,2025-12-16,card,INV-00047514
PAY-00000461,39.76,2025-12-13,bank_transfer,INV-00013627
PAY-00000462,129.69,2022-09-20,bank_transfer,INV-00003504
PAY-00000463,155.75,2024-02-22,card,INV-00043784
PAY-00000464,82.57,2023-06-23,card,INV-00023058
PAY-00000465,126.99,2022-03-30,card,INV-00010462
PAY-00000466,245.38,2022-04-15,card,INV-00022324
PAY-00000467,30.36,2024-12-14,card,INV-00034519
PAY-00000468,24.99,2023-02-14,bank_transfer,INV-00028076
