subscription_id,status,start_date,end_date,customer_id,product_id
SUB-0000047,active,2024-04-12,2027-03-26,CUS-0007075,PRD-00148
SUB-0000048,active,2022-02-12,2027-07-11,CUS-0000070,PRD-00136
SUB-0000049,active,2024-11-16,2027-03-26,CUS-0005676,PRD-00138
SUB-0000050,paused,2021-12-02,2027-08-07,CUS-0002680,PRD-00055
SUB-0000051,active,2022-10-24,2024-08-10,CUS-0006554,PRD-00056
SUB-0000052,active,2024-05-29,2026-01-20,CUS-0009860,PRD-00032
SUB-0000053,active,2024-07-28,2025-07-09,CUS-0004693,PRD-00192
SUB-0000054,active,2025-04-23,2026-12-24,CUS-0000914,PRD-00134
SUB-0000055,active,2023-09-05,2025-05-06,CUS-0006031,PRD-00100
SUB-0000056,active,2024-05-27,2024-05-04,CUS-0009361,PRD-00102
SUB-0000057,paused,2020-04-27,2027-07-30,CUS-0009129,PRD-00036
SUB-0000058,cancelled,2022-05-15,2027-05-13,CUS-0002748,PRD-00187
SUB-0000059,active,2023-04-04,2025-07-28,CUS-0008510,PRD-00049
SUB-0000060,active,2020-05-27,2027-04-20,CUS-0000682,PRD-00099
SUB-0000061,active,2022-12-29,2026-02-06,CUS-0004972,PRD-00137
SUB-0000062,active,2025-05-20,2024-04-12,CUS-0004678,PRD-00165
SUB-0000063,active,2021-05-14,2025-12-05,CUS-0006937,PRD-00130
SUB-0000064,cancelled,2022-03-07,2025-07-10,CUS-0006967,PRD-00161
SUB-0000065,active,2021-12-18,2024-06-22,CUS-0009635,PRD-00084
SUB-0000066,cancelled,2023-04-09,2026-06-26,CUS-0003982,PRD-00010
SUB-0000067,active,2024-10-14,2026-06-23,CUS-0002529,PRD-00131
SUB-0000068,active,2024-05-26,2026-08-11,CUS-0008850,PRD-00200
SUB-0000069,active,2021-11-28,2026-08-23,CUS-0008046,PRD-00095
SUB-0000070,active,2025-04-16,2024-07-09,CUS-0003571,PRD-00118
SUB-0000071,active,2024-04-17,2027-05-21,CUS-0005771,PRD-00190
SUB-0000072,active,2021-02-14,2024-07-05,CUS-0007743,PRD-00152
SUB-0000073,active,2023-09-14,2027-10-06,CUS-0003979,PRD-00078
SUB-0000074,active,2024-07-25,2026-02-03,CUS-0008105,PRD-00180
SUB-0000075,active,2025-01-08,2026-12-17,CUS-0005621,PRD-00090
SUB-0000076,active,2024-06-01,2024-01-19,CUS-0006416,PRD-00182
SUB-0000077,active,2020-04-29,2027-11-07,CUS-0004023,PRD-00175
SUB-0000078,active,2024-11-10,2027-07-26,CUS-0006841,PRD-00200
SUB-0000079,active,2021-03-16,2024-12-13,CUS-0008756,PRD-00084
SUB-0000080,active,2025-01-04,2026-05-23,CUS-0006463,PRD-00119
SUB-0000081,active,2023-07-07,2024-06-12,CUS-0004203,PRD-00184
SUB-0000082,active,2021-02-01,2027-10-25,CUS-0008406,PRD-00146
SUB-0000083,active,2022-11-28,2027-10-07,CUS-0005519,PRD-00183
SUB-0000084,active,2022-07-13,2025-04-22,CUS-0001242,PRD-00086
SUB-0000085,active,2024-02-09,2027-10-17,CUS-0006951,PRD-00168
SUB-0000086,active,2024-06-07,2026-02-11,CUS-0006037,PRD-00106
SUB-0000087,paused,2020-10-15,2025-07-05,CUS-0005852,PRD-00026
SUB-0000088,active,2024-02-01,2024-03-11,CUS-0009599,PRD-00115
SUB-0000089,active,2023-10-16,2025-02-13,CUS-0002651,PRD-00096
SUB-0000090,cancelled,2020-07-20,2027-03-10,CUS-0002527,PRD-00148
SUB-0000091,paused,2023-11-06,2025-02-03,CUS-0008549,PRD-00163
SUB-0000092,active,2022-04-09,2026-03-27,CUS-0008128,PRD-00091
SUB-0000093,active,2025-03-19,2024-11-10,CUS-0001228,PRD-00167
SUB-0000094,active,2024-06-03,2027-12-23,CUS-0007482,PRD-00078
SUB-0000095,cancelled,2021-04-19,2024-12-16,CUS-0004688,PRD-00112
SUB-0000096,active,2024-05-18,2026-04-07,CUS-0004305,PRD-00168
SUB-0000097,active,2022-03-24,2026-11-23,CUS-0004100,PRD-00122
SUB-0000098,active,2022-12-13,2027-08-30,CUS-0007528,PRD-00032
SUB-0000099,active,2022-01-14,2024-04-17,CUS-0002772,PRD-00071
SUB-0000100,paused,2020-09-05,2027-06-22,CUS-0008079,PRD-00187
SUB-0000101,active,2020-08-14,2027-09-04,CUS-0008590,PRD-00103
SUB-0000102,active,2021-12-30,2026-02-26,CUS-0006608,PRD-00004
SUB-0000103,active,2022-05-15,2027-03-31,CUS-0002832,PRD-00126
SUB-0000104,active,2023-02-10,2025-10-09,CUS-0000261,PRD-00141
SUB-0000105,cancelled,2021-07-27,2025-04-24,CUS-0009757,PRD-00064
SUB-0000106,active,2022-03-28,2026-06-08,CUS-0008545,PRD-00137
SUB-0000107,cancelled,2024-03-07,2027-05-23,CUS-0007347,PRD-00069
SUB-0000108,paused,2021-08-21,2026-08-21,CUS-0002287,PRD-00171
SUB-0000109,cancelled,2021-07-11,2027-03-28,CUS-0000395,PRD-00058
SUB-0000110,active,2024-04-16,2026-09-13,CUS-0003313,PRD-00066
SUB-0000111,cancelled,2023-06-18,2025-03-09,CUS-0009080,PRD-00027
SUB-0000112,cancelled,2022-06-14,2025-05-01,CUS-0002637,PRD-00153
SUB-0000113,active,2020-11-24,2027-07-29,CUS-0004211,PRD-00142
SUB-0000114,active,2023-08-06,2026-05-09,CUS-0000341,PRD-00099
SUB-0000115,active,2024-03-10,2027-07-24,CUS-0006751,PRD-00192
SUB-0000116,active,2022-03-05,2024-11-16,CUS-0000966,PRD-00122
SUB-0000117,paused,2022-11-30,2026-09-30,CUS-0005656,PRD-00149
SUB-0000118,active,2021-12-31,2024-08-30,CUS-0006673,PRD-00097
SUB-0000119,active,2024-07-23,2025-03-21,CUS-0003603,PRD-00191
SUB-0000120,active,2020-04-21,2027-09-01,CUS-0006891,PRD-00054
SUB-0000121,active,2022-08-21,2025-09-18,CUS-0001310,PRD-00008
SUB-0000122,cancelled,2024-02-22,2026-08-09,CUS-0006114,PRD-00035
SUB-0000123,active,2023-11-13,2027-09-14,CUS-0002467,PRD-00026
SUB-0000124,active,2022-09-29,2026-02-10,CUS-0008010,PRD-00136
SUB-0000125,active,2022-10-29,2027-10-26,CUS-0004327,PRD-00163
SUB-0000126,active,2022-01-16,2026-09-28,CUS-0002066,PRD-00128
SUB-0000127,active,2023-05-18,2025-07-12,CUS-0005830,PRD-00071
SUB-0000128,active,2022-12-15,2025-07-09,CUS-0002367,PRD-00150
SUB-0000129,paused,2020-03-09,2025-03-27,CUS-0005968,PRD-00087
SUB-0000130,active,2024-11-15,2024-01-10,CUS-0000135,PRD-00049
SUB-0000131,active,2022-08-27,2024-02-11,CUS-0003680,PRD-00002
SUB-0000132,active,2024-10-27,2025-05-14,CUS-0006067,PRD-00037
SUB-0000133,active,2022-08-29,2026-02-14,CUS-0001152,PRD-00056
SUB-0000134,active,2022-01-16,2027-10-07,CUS-0009804,PRD-00124
SUB-0000135,paused,2021-03-02,2025-07-12,CUS-0000237,PRD-00176
SUB-0000136,active,2022-11-29,2026-06-24,CUS-0004272,PRD-00008
SUB-0000137,active,2022-05-21,2026-12-11,CUS-0000270,PRD-00142
SUB-0000138,active,2022-05-31,2025-01-18,CUS-0008341,PRD-00025
SUB-0000139,active,2020-05-22,2026-06-26,CUS-0005748,PRD-00142
SUB-0000140,active,2024-11-16,2026-05-29,CUS-0005089,PRD-00066
SUB-0000141,active,2020-02-28,2024-09-16,CUS-0001972,PRD-00075
SUB-0000142,active,2023-12-30,2025-09-02,CUS-0009251,PRD-00112
SUB-0000143,active,2022-08-11,2027-01-25,CUS-0001619,PRD-00164
SUB-0000144,active,2021-08-13,2027-03-20,CUS-0000719,PRD-00081
SUB-0000145,active,2023-08-29,2025-02-22,CUS-0006158,PRD-00181
SUB-0000146,active,2020-02-04,2027-10-02,CUS-0009141,PRD-00028
SUB-0000147,active,2022-10-30,2024-04-06,CUS-0007955,PRD-00199
SUB-0000148,active,2022-08-25,2025-09-13,CUS-0003644,PRD-00043
SUB-0000149,active,2023-03-18,2027-03-12,CUS-0001288,PRD-00089
SUB-0000150,paused,2023-04-18,2026-05-28,CUS-0005586,PRD-00172
SUB-0000151,cancelled,2022-10-04,2026-04-16,CUS-0003623,PRD-00012
SUB-0000152,active,2020-07-12,2027-08-09,CUS-0004814,PRD-00169
SUB-0000153,active,2020-05-04,2026-09-13,CUS-0003572,PRD-00107
SUB-0000154,active,2022-05-16,2024-02-27,CUS-0000931,PRD-00156
SUB-0000155,active,2024-09-23,2024-09-15,CUS-0008217,PRD-00163
SUB-0000156,active,2021-04-15,2027-05-13,CUS-0007142,PRD-00118
SUB-0000157,active,2020-06-25,2026-12-19,CUS-0007409,PRD-00025
SUB-0000158,cancelled,2021-11-24,2027-11-11,CUS-0008441,PRD-00019
SUB-0000159,active,2022-08-14,2027-06-25,CUS-0003983,PRD-00054
SUB-0000160,active,2022-04-19,2024-06-20,CUS-0008452,PRD-00107
SUB-0000161,active,2023-02-13,2025-03-25,CUS-0000038,PRD-00084
SUB-0000162,active,2024-10-23,2024-12-24,CUS-0009226,PRD-00175
SUB-0000163,active,2022-12-16,2025-06-07,CUS-0001798,PRD-00031
SUB-0000164,active,2024-09-29,2027-05-03,CUS-0006773,PRD-00015
SUB-0000165,active,2022-09-21,2024-01-10,CUS-0001088,PRD-00154
SUB-0000166,active,2022-04-08,2027-02-05,CUS-0005694,PRD-00022
SUB-0000167,active,2025-02-12,2024-03-05,CUS-0004742,PRD-00157
SUB-0000168,active,2023-11-27,2025-07-16,CUS-0002881,PRD-00090
SUB-0000169,cancelled,2020-07-03,2025-04-18,CUS-0000360,PRD-00011
SUB-0000170,active,2024-04-14,2026-07-28,CUS-0003820,PRD-00078
SUB-0000171,active,2021-08-28,2027-05-29,CUS-0009697,PRD-00170
SUB-0000172,paused,2025-05-19,2025-04-26,CUS-0008653,PRD-00052
SUB-0000173,active,2025-04-12,2024-05-17,CUS-0000397,PRD-00158
SUB-0000174,active,2024-08-15,2024-04-14,CUS-0005857,PRD-00178
SUB-0000175,active,2023-06-06,2024-05-27,CUS-0009964,PRD-00062
SUB-0000176,active,2023-08-02,2024-10-05,CUS-0000490,PRD-00077
SUB-0000177,active,2024-04-10,2024-12-08,CUS-0008913,PRD-00045
SUB-0000178,cancelled,2020-04-16,2027-01-19,CUS-0008557,PRD-00164
SUB-0000179,active,2021-10-31,2027-02-08,CUS-0003097,PRD-00074
SUB-0000180,active,2022-12-12,2026-09-27,CUS-0009941,PRD-00022
SUB-0000181,active,2025-05-09,2026-03-18,CUS-0003470,PRD-00042
SUB-0000182,active,2024-11-06,2027-06-25,CUS-0009353,PRD-00152
SUB-0000183,active,2024-01-16,2024-06-10,CUS-0002014,PRD-00105
SUB-0000184,active,2020-06-05,2024-06-06,CUS-0009819,PRD-00167
SUB-0000185,active,2021-03-18,2024-05-25,CUS-0003356,PRD-00191
SUB-0000186,active,2021-08-24,2027-05-07,CUS-0008429,PRD-00116
SUB-0000187,active,2025-05-05,2024-12-28,CUS-0004607,PRD-00114
SUB-0000188,active,2020-02-27,2025-02-21,CUS-0007932,PRD-00117
SUB-0000189,active,2021-05-06,2026-12-06,CUS-0000397,PRD-00106
SUB-0000190,active,2025-05-25,2027-10-19,CUS-0002782,PRD-00162
SUB-0000191,active,2021-12-15,2025-05-27,CUS-0000931,PRD-00165
SUB-0000192,active,2022-06-11,2026-02-16,CUS-0008184,PRD-00037
SUB-0000193,cancelled,2020-07-12,2024-03-29,CUS-0009671,PRD-00062
SUB-0000194,active,2021-03-04,2027-07-18,CUS-0001917,PRD-00106
SUB-0000195,active,2020-11-12,2025-04-19,CUS-0008600,PRD-00087
SUB-0000196,active,2023-07-15,2026-11-18,CUS-0000480,PRD-00189
SUB-0000197,active,2022-10-20,2026-02-11,CUS-0002793,PRD-00115
SUB-0000198,active,2024-02-15,2027-01-17,CUS-0006985,PRD-00124
SUB-0000199,active,2021-04-03,2025-08-03,CUS-0006955,PRD-00175
SUB-0000200,active,2025-05-21,2026-07-24,CUS-0009586,PRD-00180
SUB-0000201,active,2023-05-16,2027-06-24,CUS-0008651,PRD-00031
SUB-0000202,active,2023-01-13,2024-05-30,CUS-0002579,PRD-00196
SUB-0000203,active,2023-04-23,2024-08-08,CUS-0007507,PRD-00015
SUB-0000204,active,2024-08-02,2027-03-12,CUS-0005358,PRD-00124
SUB-0000205,cancelled,2024-11-13,2025-07-24,CUS-0009813,PRD-00062
SUB-0000206,active,2024-06-01,2024-08-11,CUS-0004967,PRD-00026
SUB-0000207,active,2020-08-15,2027-06-15,CUS-0003201,PRD-00168
SUB-0000208,active,2024-08-28,2024-02-13,CUS-0005156,PRD-00046
SUB-0000209,active,2020-12-14,2024-11-14,CUS-0007106,PRD-00010
SUB-0000210,cancelled,2020-08-08,2025-04-26,CUS-0004752,PRD-00082
SUB-0000211,active,2024-01-01,2025-06-25,CUS-0007663,PRD-00112
SUB-0000212,active,2023-01-25,2025-10-09,CUS-0005433,PRD-00178
SUB-0000213,active,2021-02-21,2027-11-14,CUS-0002300,PRD-00046
SUB-0000214,paused,2020-03-06,2025-06-07,CUS-0000216,PRD-00193
SUB-0000215,active,2021-11-24,2027-07-06,CUS-0006068,PRD-00046
SUB-0000216,active,2022-08-30,2024-11-07,CUS-0000454,PRD-00034
SUB-0000217,active,2024-10-18,2026-11-07,CUS-0004516,PRD-00005
SUB-0000218,active,2020-12-09,2027-05-01,CUS-0006679,PRD-00003
SUB-0000219,cancelled,2023-10-26,2024-03-28,CUS-0002166,PRD-00118
SUB-0000220,active,2024-08-25,2024-06-06,CUS-0006725,PRD-00042
SUB-0000221,active,2025-04-14,2024-09-13,CUS-0009361,PRD-00151
SUB-0000222,active,2022-03-20,2027-02-10,CUS-0000559,PRD-00128
SUB-0000223,active,2022-01-02,2026-10-21,CUS-0001958,PRD-00179
SUB-0000224,active,2021-09-18,2027-03-31,CUS-0005987,PRD-00200
SUB-0000225,cancelled,2021-08-18,2024-03-25,CUS-0003804,PRD-00183
SUB-0000226,active,2020-03-04,2026-04-19,CUS-0004699,PRD-00023
SUB-0000227,active,2020-02-03,2026-08-04,CUS-0001519,PRD-00014
SUB-0000228,paused,2024-04-20,2025-08-30,CUS-0004545,PRD-00143
SUB-0000229,active,2022-11-17,2024-01-25,CUS-0001591,PRD-00021
SUB-0000230,active,2021-10-15,2025-08-27,CUS-0005724,PRD-00076
SUB-0000231,active,2020-06-05,2025-02-10,CUS-0002327,PRD-00159
SUB-0000232,active,2023-05-15,2027-01-10,CUS-0002299,PRD-00057
SUB-0000233,cancelled,2021-12-21,2025-03-26,CUS-0001593,PRD-00152
SUB-0000234,active,2021-01-09,2027-08-09,CUS-0006787,PRD-00088
SUB-0000235,active,2021-03-07,2026-01-23,CUS-0008189,PRD-00152
SUB-0000236,cancelled,2020-08-07,2026-02-26,CUS-0009953,PRD-00148
SUB-0000237,active,2022-11-12,2026-01-07,CUS-0003515,PRD-00049
SUB-0000238,active,2022-03-22,2025-09-10,CUS-0007690,PRD-00198
SUB-0000239,active,2022-11-02,2025-04-06,CUS-0006860,PRD-00032
SUB-0000240,active,2022-06-14,2025-02-03,CUS-0008970,PRD-00173
SUB-0000241,active,2024-11-15,2025-10-04,CUS-0004024,PRD-00185
SUB-0000242,paused,2022-02-12,2026-02-17,CUS-0008276,PRD-00192
SUB-0000243,active,2022-04-12,2025-10-24,CUS-0005305,PRD-00176
SUB-0000244,active,2024-09-30,2025-09-03,CUS-0007547,PRD-00054
SUB-0000245,active,2024-08-12,2024-12-17,CUS-0009188,PRD-00078
SUB-0000246,paused,2021-11-05,2025-08-22,CUS-0001266,PRD-00080
SUB-0000247,cancelled,2021-04-09,2026-07-06,CUS-0005623,PRD-00149
SUB-0000248,active,2024-10-01,2024-07-01,CUS-0006645,PRD-00036
SUB-0000249,active,2021-04-16,2026-08-25,CUS-0003110,PRD-00157
SUB-0000250,active,2023-12-29,2027-08-22,CUS-0007891,PRD-00046
SUB-0000251,active,2023-05-07,2024-09-16,CUS-0002563,PRD-00098
SUB-0000252,active,2025-05-28,2024-01-13,CUS-0002689,PRD-00105
SUB-0000253,active,2023-10-19,2024-12-31,CUS-0003569,PRD-00130
SUB-0000254,active,2024-10-11,2025-06-08,CUS-0000042,PRD-00098
SUB-0000255,cancelled,2021-05-24,2025-11-16,CUS-0000920,PRD-00166
SUB-0000256,paused,2023-06-03,2025-06-02,CUS-0008236,PRD-00030
SUB-0000257,active,2021-09-11,2026-10-06,CUS-0007434,PRD-00194
SUB-0000258,active,2020-06-09,2026-10-18,CUS-0004361,PRD-00145
SUB-0000259,cancelled,2022-01-24,2024-05-18,CUS-0009404,PRD-00186
SUB-0000260,active,2024-02-10,2027-07-24,CUS-0006541,PRD-00085
SUB-0000261,cancelled,2023-10-26,2027-01-30,CUS-0004921,PRD-00036
SUB-0000262,active,2022-06-07,2025-10-18,CUS-0008858,PRD-00103
SUB-0000263,active,2021-10-24,2026-04-28,CUS-0005236,PRD-00020
SUB-0000264,active,2024-06-16,2027-04-11,CUS-0005518,PRD-00033
SUB-0000265,active,2021-03-14,2026-05-22,CUS-0009822,PRD-00030
SUB-0000266,active,2020-06-17,2026-05-01,CUS-0002489,PRD-00146
SUB-0000267,active,2023-12-23,2024-05-28,CUS-0004615,PRD-00131
SUB-0000268,active,2022-06-01,2024-12-17,CUS-0005801,PRD-00023
SUB-0000269,paused,2021-04-29,2025-07-19,CUS-0001622,PRD-00048
SUB-0000270,cancelled,2020-05-14,2024-01-23,CUS-0008587,PRD-00194
SUB-0000271,active,2021-08-04,2026-03-27,CUS-0009833,PRD-00126
SUB-0000272,active,2023-03-30,2026-04-10,CUS-0008677,PRD-00052
SUB-0000273,active,2022-05-31,2025-03-02,CUS-0008600,PRD-00142
SUB-0000274,active,2020-12-25,2024-06-19,CUS-0001023,PRD-00196
SUB-0000275,active,2023-06-04,2027-12-07,CUS-0007197,PRD-00109
SUB-0000276,active,2020-08-18,2027-12-15,CUS-0009252,PRD-00185
SUB-0000277,active,2023-09-15,2027-11-29,CUS-0008358,PRD-00100
SUB-0000278,active,2025-06-30,2026-06-26,CUS-0005222,PRD-00009
SUB-0000279,cancelled,2021-10-08,2026-07-06,CUS-0008969,PRD-00183
SUB-0000280,paused,2024-09-05,2024-05-24,CUS-0000382,PRD-00132
SUB-0000281,active,2022-02-27,2024-09-02,CUS-0001211,PRD-00106
SUB-0000282,active,2024-03-07,2026-04-17,CUS-0001809,PRD-00056
SUB-0000283,active,2021-03-20,2027-01-02,CUS-0007948,PRD-00021
SUB-0000284,active,2025-05-25,2026-04-22,CUS-0002524,PRD-00159
SUB-0000285,active,2025-03-05,2026-09-23,CUS-0007564,PRD-00111
SUB-0000286,active,2024-10-01,2025-06-01,CUS-0005547,PRD-00143
SUB-0000287,cancelled,2021-03-09,2027-07-29,CUS-0000800,PRD-00007
SUB-0000288,active,2022-08-29,2025-04-19,CUS-0004079,PRD-00125
SUB-0000289,active,2021-10-02,2026-06-05,CUS-0007477,PRD-00036
SUB-0000290,active,2023-07-12,2025-12-04,CUS-0006267,PRD-00049
SUB-0000291,active,2021-10-28,2025-08-30,CUS-0006258,PRD-00079
SUB-0000292,active,2025-03-07,2025-03-29,CUS-0005868,PRD-00036
SUB-0000293,active,2021-06-03,2024-07-10,CUS-0004384,PRD-00182
SUB-0000294,paused,2025-04-18,2025-08-22,CUS-0000562,PRD-00097
SUB-0000295,active,2021-02-04,2025-05-12,CUS-0005639,PRD-00181
SUB-0000296,active,2024-08-31,2026-10-31,CUS-0003959,PRD-00134
SUB-0000297,active,2025-01-18,2025-01-22,CUS-0006564,PRD-00115
SUB-0000298,cancelled,2020-12-07,2025-09-16,CUS-0004109,PRD-00082
SUB-0000299,cancelled,2025-03-12,2027-05-10,CUS-0005963,PRD-00040
SUB-0000300,active,2024-01-31,2026-08-24,CUS-0002942,PRD-00133
SUB-0000301,active,2024-12-02,2025-04-23,CUS-0001505,PRD-00132
SUB-0000302,active,2023-10-16,2026-05-28,CUS-0003268,PRD-00052
SUB-0000303,active,2023-06-19,2025-10-24,CUS-0002901,PRD-00188
SUB-0000304,active,2024-02-11,2027-11-27,CUS-0001420,PRD-00099
SUB-0000305,active,2024-06-02,2027-12-29,CUS-0000322,PRD-00003
SUB-0000306,cancelled,2025-01-04,2026-07-15,CUS-0007272,PRD-00077
SUB-0000307,active,2025-05-04,2025-10-20,CUS-0000253,PRD-00005
SUB-0000308,active,2024-09-01,2024-10-23,CUS-0007853,PRD-00104
SUB-0000309,active,2021-03-03,2027-01-10,CUS-0006816,PRD-00045
SUB-0000310,active,2021-04-02,2025-01-01,CUS-0004923,PRD-00089
SUB-0000311,active,2022-08-19,2027-01-26,CUS-0000648,PRD-00152
SUB-0000312,paused,2020-06-08,2025-07-07,CUS-0003116,PRD-00068
SUB-0000313,cancelled,2022-10-27,2026-01-16,CUS-0000415,PRD-00122
SUB-0000314,active,2022-12-28,2025-12-27,CUS-0001847,PRD-00071
SUB-0000315,active,2020-02-20,2027-11-04,CUS-0002468,PRD-00066
SUB-0000316,active,2023-03-27,2024-05-06,CUS-0003461,PRD-00178
SUB-0000317,active,2023-10-21,2026-03-29,CUS-0004443,PRD-00006
SUB-0000318,active,2020-01-28,2026-10-02,CUS-0003945,PRD-00141
SUB-0000319,active,2020-03-20,2027-02-26,CUS-0002100,PRD-00002
SUB-0000320,active,2024-04-21,2026-05-02,CUS-0007765,PRD-00039
SUB-0000321,active,2022-10-20,2024-05-28,CUS-0002748,PRD-00188
SUB-0000322,active,2022-04-28,2025-02-15,CUS-0005515,PRD-00008
SUB-0000323,cancelled,2020-01-31,2027-03-18,CUS-0000080,PRD-00077
SUB-0000324,active,2020-08-11,2025-01-29,CUS-0005703,PRD-00082
SUB-0000325,active,2024-02-07,2025-11-18,CUS-0008538,PRD-00118
SUB-0000326,cancelled,2023-01-22,2025-02-01,CUS-0003513,PRD-00136
SUB-0000327,paused,2021-09-23,2027-03-20,CUS-0007551,PRD-00140
SUB-0000328,cancelled,2020-05-10,2027-08-24,CUS-0009865,PRD-00162
SUB-0000329,cancelled,2022-06-11,2027-03-20,CUS-0006181,PRD-00151
SUB-0000330,active,2021-10-15,2027-11-05,CUS-0008011,PRD-00059
SUB-0000331,active,2021-09-20,2025-09-24,CUS-0001713,PRD-00086
SUB-0000332,active,2024-10-04,2027-11-16,CUS-0003363,PRD-00086
SUB-0000333,active,2024-12-10,2024-03-04,CUS-0009870,PRD-00135
SUB-0000334,active,2025-02-28,2027-07-31,CUS-0000948,PRD-00066
SUB-0000335,active,2021-12-23,2027-06-02,CUS-0007276,PRD-00086
SUB-0000336,cancelled,2023-01-14,2025-05-25,CUS-0001383,PRD-00055
SUB-0000337,active,2024-06-04,2027-01-25,CUS-0009541,PRD-00146
SUB-0000338,cancelled,2024-05-20,2026-05-15,CUS-0003886,PRD-00113
SUB-0000339,active,2022-08-10,2026-09-15,CUS-0005694,PRD-00160
SUB-0000340,active,2022-01-28,2027-09-27,CUS-0008657,PRD-00016
SUB-0000341,active,2023-06-15,2027-03-16,CUS-0002391,PRD-00173
SUB-0000342,active,2020-10-18,2027-11-20,CUS-0004024,PRD-00129
SUB-0000343,paused,2021-06-25,2024-12-01,CUS-0003279,PRD-00199
SUB-0000344,active,2023-02-14,2025-08-07,CUS-0007515,PRD-00173
SUB-0000345,active,2021-08-06,2025-12-05,CUS-0004480,PRD-00010
SUB-0000346,active,2021-04-26,2026-12-15,CUS-0001594,PRD-00124
SUB-0000347,active,2024-07-25,2025-06-06,CUS-0009841,PRD-00171
SUB-0000348,active,2023-04-24,2026-11-07,CUS-0006092,PRD-00090
SUB-0000349,active,2023-10-14,2025-06-10,CUS-0002739,PRD-00074
SUB-0000350,active,2024-04-22,2025-01-26,CUS-0002602,PRD-00094
SUB-0000351,cancelled,2025-03-17,2025-11-23,CUS-0009258,PRD-00024
SUB-0000352,active,2021-01-13,2025-10-09,CUS-0009485,PRD-00120
SUB-0000353,active,2022-01-26,2026-06-22,CUS-0000524,PRD-00128
