invoice_item_id,quantity,unit_price,line_total,invoice_id,product_id
INI-000000050,3,43.21,129.63,INV-00033175,PRD-00060
INI-000000051,8,12.88,103.04,INV-00013328,PRD-00018
INI-000000052,7,37.1,259.7,INV-00030506,PRD-00124
INI-000000053,5,28.93,144.65,INV-00031742,PRD-00019
INI-000000054,4,17.51,70.04,INV-00015187,PRD-00145
INI-000000055,5,15.5,77.5,INV-00002613,PRD-00043
INI-000000056,5,22.66,113.3,INV-00023085,PRD-00141
INI-000000057,5,81.14,405.7,INV-00024150,PRD-00052
INI-000000058,4,21.23,84.92,INV-00005031,PRD-00151
INI-000000059,7,29.87,209.09,INV-00045526,PRD-00147
INI-000000060,7,18.46,129.22,INV-00009679,PRD-00086
INI-000000061,6,23.66,141.96,INV-00017549,PRD-00124
INI-000000062,1,65.92,65.92,INV-00044694,PRD-00040
INI-000000063,2,16.85,33.7,INV-00013474,PRD-00116
INI-000000064,2,28.49,56.98,INV-00026304,PRD-00068
INI-000000065,3,15.28,45.839999999999996,INV-00002208,PRD-00189
INI-000000066,4,24.36,97.44,INV-00001866,PRD-00117
INI-000000067,4,57.0,228.0,INV-00017368,PRD-00034
INI-000000068,8,26.93,215.44,INV-00040943,PRD-00044
INI-000000069,10,52.73,527.3,INV-00033178,PRD-00143
INI-000000070,10,42.39,423.9,INV-00002469,PRD-00136
INI-000000071,3,28.48,85.44,INV-00018059,PRD-00056
INI-000000072,6,118.16,708.96,INV-00001303,PRD-00109
INI-000000073,5,30.63,153.15,INV-00004872,PRD-00060
INI-000000074,2,55.41,110.82,INV-00029569,PRD-00035
INI-000000075,3,31.12,93.36,INV-00049779,PRD-00095
INI-000000076,7,25.35,177.45000000000002,INV-00018194,PRD-00041
INI-000000077,5,13.45,67.25,INV-00047549,PRD-00184
INI-000000078,8,33.83,270.64,INV-00044820,PRD-00056
INI-000000079,6,32.88,197.28000000000003,INV-00000431,PRD-00136
INI-000000080,4,23.57,94.28,INV-00002257,PRD-00005
INI-000000081,6,38.08,228.48,INV-00013386,PRD-00070
INI-000000082,3,37.58,112.74,INV-00021894,PRD-00088
INI-000000083,6,23.0,138.0,INV-00044645,PRD-00001
INI-000000084,6,24.93,149.57999999999998,INV-00043751,PRD-00183
INI-000000085,5,21.49,107.44999999999999,INV-00022754,PRD-00140
INI-000000086,2,51.75,103.5,INV-00049958,PRD-00122
INI-000000087,9,30.87,277.83,INV-00015979,PRD-00128
INI-000000088,5,65.65,328.25,INV-00043149,PRD-00092
INI-000000089,3,35.24,105.72,INV-00004375,PRD-00097
INI-000000090,3,62.03,186.09,INV-00012642,PRD-00050
INI-000000091,8,27.79,222.32,INV-00041610,PRD-00123
INI-000000092,2,28.54,57.08,INV-00038526,PRD-00097
INI-000000093,1,33.03,33.03,INV-00002198,PRD-00156
INI-000000094,6,45.77,274.62,INV-00038524,PRD-00147
INI-000000095,8,58.07,464.56,INV-00043091,PRD-00103
INI-000000096,9,78.38,705.42,INV-00029413,PRD-00064
INI-000000097,10,19.77,197.7,INV-00008714,PRD-00110
INI-000000098,1,107.78,107.78,INV-00048570,PRD-00131
INI-000000099,9,47.35,426.15000000000003,INV-00014400,PRD-00095
INI-000000100,10,65.07,650.6999999999999,INV-00013129,PRD-00008
INI-000000101,5,45.01,225.04999999999998,INV-00029340,PRD-00160
INI-000000102,4,49.83,199.32,INV-00022959,PRD-00146
INI-000000103,2,85.39,170.78,INV-00022725,PRD-00063
INI-000000104,1,49.06,49.06,INV-00038702,PRD-00137
INI-000000105,5,22.02,110.1,INV-00044744,PRD-00151
INI-000000106,1,19.48,19.48,INV-00011435,PRD-00159
INI-000000107,6,13.82,82.92,INV-00006981,PRD-00116
INI-000000108,1,52.32,52.32,INV-00034199,PRD-00107
INI-000000109,10,55.14,551.4,INV-00040188,PRD-00194
INI-000000110,3,23.86,71.58,INV-00042001,PRD-00196
INI-000000111,9,29.79,268.11,INV-00027561,PRD-00188
INI-000000112,9,27.01,243.09,INV-00015206,PRD-00100
INI-000000113,3,23.53,70.59,INV-00000340,PRD-00135
INI-000000114,2,19.07,38.14,INV-00007897,PRD-00191
INI-000000115,7,44.61,312.27,INV-00024343,PRD-00036
INI-000000116,2,93.42,186.84,INV-00028388,PRD-00115
INI-000000117,4,59.58,238.32,INV-00045769,PRD-00090
INI-000000118,5,42.77,213.85000000000002,INV-00037389,PRD-00148
INI-000000119,1,116.38,116.38,INV-00041815,PRD-00165
INI-000000120,8,14.69,117.52,INV-00036910,PRD-00065
INI-000000121,10,49.18,491.8,INV-00023399,PRD-00192
INI-000000122,10,46.82,468.2,INV-00013241,PRD-00168
INI-000000123,6,12.4,74.4,INV-00003051,PRD-00180
INI-000000124,3,55.57,166.71,INV-00018194,PRD-00012
INI-000000125,4,20.75,83.0,INV-00026874,PRD-00096
INI-000000126,10,47.62,476.2,INV-00032767,PRD-00049
INI-000000127,8,8.95,71.6,INV-00034652,PRD-00044
INI-000000128,3,25.42,76.26,INV-00006467,PRD-00108
INI-000000129,1,14.64,14.64,INV-00029246,PRD-00020
INI-000000130,3,41.54,124.62,INV-00047342,PRD-00080
INI-000000131,4,11.7,46.8,INV-00041671,PRD-00077
INI-000000132,9,20.11,180.99,INV-00009234,PRD-00159
INI-000000133,7,102.25,715.75,INV-00043685,PRD-00199
INI-000000134,6,32.64,195.84,INV-00036185,PRD-00177
INI-000000135,5,38.24,191.20000000000002,INV-00045273,PRD-00016
INI-000000136,6,106.99,641.9399999999999,INV-00015502,PRD-00053
INI-000000137,7,20.95,146.65,INV-00016365,PRD-00102
INI-000000138,10,17.16,171.6,INV-00033081,PRD-00102
INI-000000139,9,41.8,376.2,INV-00041683,PRD-00008
INI-000000140,1,14.0,14.0,INV-00042379,PRD-00049
INI-000000141,7,15.04,105.28,INV-00046913,PRD-00027
INI-000000142,2,35.2,70.4,INV-00019903,PRD-00072
INI-000000143,4,120.9,483.6,INV-00014676,PRD-00112
INI-000000144,1,45.57,45.57,INV-00017086,PRD-00179
INI-000000145,10,107.58,1075.8,INV-00045799,PRD-00110
INI-000000146,6,43.38,260.28000000000003,INV-00026562,PRD-00123
INI-000000147,3,21.03,63.09,INV-00015042,PRD-00081
INI-000000148,8,12.18,97.44,INV-00016395,PRD-00033
INI-000000149,1,53.48,53.48,INV-00043660,PRD-00136
INI-000000150,10,38.41,384.09999999999997,INV-00038500,PRD-00195
INI-000000151,8,70.56,564.48,INV-00022235,PRD-00100
INI-000000152,10,41.42,414.20000000000005,INV-00040681,PRD-00041
INI-000000153,4,22.02,88.08,INV-00040778,PRD-00200
INI-000000154,5,37.08,185.39999999999998,INV-00042703,PRD-00029
INI-000000155,1,31.05,31.05,INV-00006942,PRD-00132
INI-000000156,7,71.02,497.14,INV-00041329,PRD-00099
INI-000000157,10,59.1,591.0,INV-00047411,PRD-00122
INI-000000158,10,11.15,111.5,INV-00041451,PRD-00124
INI-000000159,8,44.93,359.44,INV-00041011,PRD-00073
INI-000000160,8,20.26,162.08,INV-00046353,PRD-00184
INI-000000161,9,2.83,25.47,INV-00032342,PRD-00086
INI-000000162,3,67.47,202.41,INV-00008261,PRD-00153
INI-000000163,2,45.23,90.46,INV-00012308,PRD-00186
INI-000000164,10,19.07,190.7,INV-00026708,PRD-00170
INI-000000165,7,29.08,203.56,INV-00025197,PRD-00080
INI-000000166,1,29.98,29.98,INV-00010536,PRD-00160
INI-000000167,8,24.63,197.04,INV-00036316,PRD-00145
INI-000000168,4,8.02,32.08,INV-00025271,PRD-00144
INI-000000169,8,18.64,149.12,INV-00010877,PRD-00060
INI-000000170,5,37.48,187.39999999999998,INV-00044086,PRD-00063
INI-000000171,10,145.86,1458.6000000000001,INV-00039464,PRD-00171
INI-000000172,5,38.58,192.89999999999998,INV-00041869,PRD-00194
INI-000000173,2,16.39,32.78,INV-00009641,PRD-00139
INI-000000174,7,45.52,318.64000000000004,INV-00029522,PRD-00028
INI-000000175,9,61.83,556.47,INV-00033646,PRD-00108
INI-000000176,3,37.03,111.09,INV-00040616,PRD-00175
INI-000000177,9,68.42,615.78,INV-00032013,PRD-00178
INI-000000178,7,22.49,157.42999999999998,INV-00031970,PRD-00037
INI-000000179,2,9.56,19.12,INV-00002090,PRD-00028
INI-000000180,2,23.08,46.16,INV-00041459,PRD-00031
INI-000000181,5,42.72,213.6,INV-00046052,PRD-00045
INI-000000182,8,98.68,789.44,INV-00002236,PRD-00005
INI-000000183,9,42.04,378.36,INV-00008353,PRD-00012
INI-000000184,7,25.1,175.70000000000002,INV-00041852,PRD-00170
INI-000000185,9,110.54,994.86,INV-00006944,PRD-00014
INI-000000186,7,32.16,225.11999999999998,INV-00007687,PRD-00009
INI-000000187,7,8.81,61.67,INV-00032384,PRD-00146
INI-000000188,10,61.51,615.1,INV-00047918,PRD-00110
INI-000000189,9,48.46,436.14,INV-00034775,PRD-00026
INI-000000190,8,30.57,244.56,INV-00017958,PRD-00063
INI-000000191,2,23.88,47.76,INV-00005129,PRD-00089
INI-000000192,3,37.78,113.34,INV-00000754,PRD-00031
INI-000000193,3,32.88,98.64000000000001,INV-00029776,PRD-00015
INI-000000194,3,82.18,246.54000000000002,INV-00016139,PRD-00118
INI-000000195,1,71.8,71.8,INV-00037855,PRD-00064
INI-000000196,1,49.87,49.87,INV-00031996,PRD-00174
INI-000000197,8,83.46,667.68,INV-00010232,PRD-00059
INI-000000198,5,43.98,219.89999999999998,INV-00002466,PRD-00091
INI-000000199,1,45.13,45.13,INV-00033185,PRD-00059
INI-000000200,7,110.79,775.5300000000001,INV-00046186,PRD-00157
INI-000000201,4,21.24,84.96,INV-00024333,PRD-00026
INI-000000202,2,23.08,46.16,INV-00037333,PRD-00058
INI-000000203,6,32.53,195.18,INV-00014824,PRD-00088
INI-000000204,4,73.66,294.64,INV-00012356,PRD-00084
INI-000000205,8,16.46,131.68,INV-00033426,PRD-00018
INI-000000206,4,31.53,126.12,INV-00037624,PRD-00104
INI-000000207,9,43.42,390.78000000000003,INV-00044556,PRD-00156
INI-000000208,10,18.06,180.6,INV-00038745,PRD-00187
INI-000000209,4,33.96,135.84,INV-00021659,PRD-00130
INI-000000210,9,78.8,709.1999999999999,INV-00026411,PRD-00143
INI-000000211,8,15.39,123.12,INV-00046932,PRD-00020
INI-000000212,2,25.23,50.46,INV-00033783,PRD-00073
INI-000000213,3,57.85,173.55,INV-00013683,PRD-00172
INI-000000214,8,83.64,669.12,INV-00038537,PRD-00167
INI-000000215,9,28.56,257.03999999999996,INV-00041237,PRD-00133
INI-000000216,10,89.87,898.7,INV-00041265,PRD-00195
INI-000000217,6,36.47,218.82,INV-00028525,PRD-00044
INI-000000218,10,41.41,414.09999999999997,INV-00007636,PRD-00054
INI-000000219,5,8.0,40.0,INV-00033729,PRD-00015
INI-000000220,1,27.5,27.5,INV-00003094,PRD-00103
INI-000000221,5,14.84,74.2,INV-00027071,PRD-00139
INI-000000222,4,27.28,109.12,INV-00020573,PRD-00112
INI-000000223,3,46.13,138.39000000000001,INV-00045879,PRD-00066
INI-000000224,3,91.55,274.65,INV-00008340,PRD-00014
INI-000000225,9,12.78,115.02,INV-00003089,PRD-00102
INI-000000226,1,22.69,22.69,INV-00008368,PRD-00078
INI-000000227,1,39.38,39.38,INV-00023580,PRD-00110
INI-000000228,7,20.5,143.5,INV-00041445,PRD-00099
INI-000000229,5,11.63,58.150000000000006,INV-00006547,PRD-00096
INI-000000230,1,44.06,44.06,INV-00043915,PRD-00059
INI-000000231,3,32.11,96.33,INV-00001685,PRD-00009
INI-000000232,10,76.16,761.5999999999999,INV-00041406,PRD-00069
INI-000000233,1,43.02,43.02,INV-00032018,PRD-00031
INI-000000234,9,30.32,272.88,INV-00042388,PRD-00126
INI-000000235,3,32.99,98.97,INV-00029433,PRD-00170
INI-000000236,3,17.67,53.010000000000005,INV-00028175,PRD-00192
INI-000000237,4,38.72,154.88,INV-00009251,PRD-00026
INI-000000238,3,15.42,46.26,INV-00000198,PRD-00012
INI-000000239,2,26.97,53.94,INV-00031229,PRD-00109
INI-000000240,1,33.83,33.83,INV-00015235,PRD-00118
INI-000000241,9,16.16,145.44,INV-00039762,PRD-00004
INI-000000242,9,21.48,193.32,INV-00026678,PRD-00144
INI-000000243,10,13.59,135.9,INV-00031090,PRD-00074
INI-000000244,8,43.51,348.08,INV-00028539,PRD-00020
INI-000000245,9,21.6,194.4,INV-00039643,PRD-00074
INI-000000246,9,41.8,376.2,INV-00014894,PRD-00108
INI-000000247,8,58.09,464.72,INV-00049885,PRD-00006
INI-000000248,10,34.67,346.70000000000005,INV-00003195,PRD-00126
INI-000000249,7,29.97,209.79,INV-00010739,PRD-00069
INI-000000250,2,28.56,57.12,INV-00043950,PRD-00013
INI-000000251,6,35.63,213.78000000000003,INV-00035152,PRD-00200
INI-000000252,7,36.05,252.34999999999997,INV-00047955,PRD-00128
INI-000000253,10,18.56,185.6,INV-00022720,PRD-00140
INI-000000254,8,36.09,288.72,INV-00038780,PRD-00134
INI-000000255,6,64.01,384.06000000000006,INV-00049953,PRD-00046
INI-000000256,9,64.54,580.86,INV-00006713,PRD-00098
INI-000000257,2,48.89,97.78,INV-00025263,PRD-00019
INI-000000258,1,98.23,98.23,INV-00030189,PRD-00059
INI-000000259,1,18.97,18.97,INV-00005964,PRD-00004
INI-000000260,3,30.33,90.99,INV-00049683,PRD-00148
INI-000000261,7,28.05,196.35,INV-00015775,PRD-00079
INI-000000262,4,25.61,102.44,INV-00036145,PRD-00069
INI-000000263,2,22.37,44.74,INV-00025489,PRD-00117
INI-000000264,3,24.49,73.47,INV-00018028,PRD-00151
INI-000000265,3,47.42,142.26,INV-00047428,PRD-00128
INI-000000266,9,79.78,718.02,INV-00038514,PRD-00122
INI-000000267,8,90.34,722.72,INV-00040667,PRD-00115
INI-000000268,6,31.34,188.04,INV-00046746,PRD-00179
INI-000000269,2,24.78,49.56,INV-00025172,PRD-00170
INI-000000270,10,32.4,324.0,INV-00003266,PRD-00160
INI-000000271,3,39.1,117.30000000000001,INV-00008925,PRD-00176
INI-000000272,6,10.84,65.03999999999999,INV-00005646,PRD-00019
INI-000000273,8,31.19,249.52,INV-00012897,PRD-00068
INI-000000274,1,38.9,38.9,INV-00003562,PRD-00020
INI-000000275,5,39.65,198.25,INV-00036192,PRD-00123
INI-000000276,7,49.37,345.59,INV-00046360,PRD-00045
INI-000000277,8,23.05,184.4,INV-00005222,PRD-00043
INI-000000278,5,42.37,211.85,INV-00003570,PRD-00199
INI-000000279,7,10.26,71.82,INV-00022679,PRD-00188
INI-000000280,10,15.09,150.9,INV-00005482,PRD-00086
INI-000000281,6,47.13,282.78000000000003,INV-00014777,PRD-00104
INI-000000282,2,24.04,48.08,INV-00026005,PRD-00027
INI-000000283,7,36.6,256.2,INV-00027900,PRD-00196
INI-000000284,2,48.45,96.9,INV-00003388,PRD-00028
INI-000000285,10,117.79,1177.9,INV-00034552,PRD-00064
INI-000000286,10,25.86,258.6,INV-00017266,PRD-00069
INI-000000287,5,19.79,98.94999999999999,INV-00037317,PRD-00110
INI-000000288,1,21.15,21.15,INV-00011937,PRD-00192
INI-000000289,2,55.78,111.56,INV-00004677,PRD-00023
INI-000000290,10,14.3,143.0,INV-00047439,PRD-00010
INI-000000291,2,17.89,35.78,INV-00021483,PRD-00067
INI-000000292,4,5.07,20.28,INV-00005434,PRD-00135
INI-000000293,10,48.91,489.09999999999997,INV-00048496,PRD-00116
INI-000000294,5,31.82,159.1,INV-00046907,PRD-00098
INI-000000295,8,89.73,717.84,INV-00032752,PRD-00096
INI-000000296,9,19.06,171.54,INV-00005470,PRD-00049
INI-000000297,1,61.9,61.9,INV-00029230,PRD-00050
INI-000000298,2,123.93,247.86,INV-00011716,PRD-00080
INI-000000299,9,16.35,147.15,INV-00042448,PRD-00198
INI-000000300,1,21.72,21.72,INV-00044316,PRD-00148
INI-000000301,4,39.49,157.96,INV-00017645,PRD-00146
INI-000000302,8,61.26,490.08,INV-00026262,PRD-00196
INI-000000303,5,12.95,64.75,INV-00003786,PRD-00030
INI-000000304,6,21.22,127.32,INV-00032521,PRD-00048
INI-000000305,9,4.12,37.08,INV-00011302,PRD-00049
INI-000000306,7,44.08,308.56,INV-00010396,PRD-00017
INI-000000307,10,83.48,834.8000000000001,INV-00042670,PRD-00106
INI-000000308,3,40.35,121.05000000000001,INV-00035900,PRD-00014
INI-000000309,2,19.34,38.68,INV-00040272,PRD-00048
INI-000000310,3,17.96,53.88,INV-00036619,PRD-00149
INI-000000311,10,12.37,123.69999999999999,INV-00002768,PRD-00138
INI-000000312,7,25.59,179.13,INV-00023811,PRD-00185
INI-000000313,3,33.07,99.21000000000001,INV-00015350,PRD-00062
INI-000000314,5,10.75,53.75,INV-00001330,PRD-00153
INI-000000315,8,33.38,267.04,INV-00015454,PRD-00106
INI-000000316,6,14.71,88.26,INV-00020326,PRD-00159
INI-000000317,7,37.07,259.49,INV-00026320,PRD-00087
INI-000000318,8,27.42,219.36,INV-00004369,PRD-00057
INI-000000319,4,45.17,180.68,INV-00046303,PRD-00026
INI-000000320,5,32.0,160.0,INV-00041006,PRD-00164
INI-000000321,2,3.57,7.14,INV-00046032,PRD-00010
INI-000000322,10,21.39,213.9,INV-00014981,PRD-00030
INI-000000323,5,30.02,150.1,INV-00011894,PRD-00008
INI-000000324,1,32.5,32.5,INV-00043300,PRD-00101
INI-000000325,10,40.63,406.3,INV-00034164,PRD-00113
INI-000000326,6,58.56,351.36,INV-00002200,PRD-00175
INI-000000327,3,55.84,167.52,INV-00045488,PRD-00172
INI-000000328,6,29.99,179.94,INV-00000183,PRD-00130
INI-000000329,1,27.6,27.6,INV-00028407,PRD-00085
INI-000000330,7,85.24,596.68,INV-00023710,PRD-00022
INI-000000331,7,23.94,167.58,INV-00004407,PRD-00010
INI-000000332,8,60.55,484.4,INV-00022025,PRD-00038
INI-000000333,2,31.95,63.9,INV-00021265,PRD-00044
INI-000000334,8,64.52,516.16,INV-00021004,PRD-00191
INI-000000335,3,174.25,522.75,INV-00044191,PRD-00087
INI-000000336,10,94.71,947.0999999999999,INV-00019510,PRD-00022
INI-000000337,3,28.63,85.89,INV-00001807,PRD-00062
INI-000000338,9,40.15,361.34999999999997,INV-00033082,PRD-00152
INI-000000339,4,28.05,112.2,INV-00026621,PRD-00072
INI-000000340,9,31.48,283.32,INV-00044113,PRD-00028
INI-000000341,3,42.24,126.72,INV-00001058,PRD-00052
INI-000000342,9,126.7,1140.3,INV-00007067,PRD-00075
INI-000000343,2,55.88,111.76,INV-00012297,PRD-00039
INI-000000344,10,13.27,132.7,INV-00002675,PRD-00180
INI-000000345,6,23.55,141.3,INV-00044972,PRD-00107
INI-000000346,10,27.2,272.0,INV-00042359,PRD-00114
INI-000000347,1,24.43,24.43,INV-00014603,PRD-00070
INI-000000348,1,37.17,37.17,INV-00019882,PRD-00163
INI-000000349,3,21.85,65.55000000000001,INV-00035811,PRD-00175
INI-000000350,1,64.0,64.0,INV-00038952,PRD-00192
INI-000000351,2,75.64,151.28,INV-00048494,PRD-00102
INI-000000352,3,32.72,98.16,INV-00048442,PRD-00081
INI-000000353,9,21.14,190.26,INV-00047429,PRD-00172
INI-000000354,7,46.79,327.53,INV-00013463,PRD-00165
INI-000000355,4,19.18,76.72,INV-00001737,PRD-00157
INI-000000356,7,32.84,229.88000000000002,INV-00002243,PRD-00126
INI-000000357,4,25.38,101.52,INV-00042768,PRD-00084
INI-000000358,4,27.12,108.48,INV-00019389,PRD-00071
INI-000000359,5,44.61,223.05,INV-00025327,PRD-00123
INI-000000360,1,20.61,20.61,INV-00039637,PRD-00118
INI-000000361,10,24.65,246.5,INV-00018525,PRD-00177
INI-000000362,3,19.25,57.75,INV-00041887,PRD-00161
INI-000000363,7,118.41,828.87,INV-00026245,PRD-00107
INI-000000364,1,57.18,57.18,INV-00034637,PRD-00026
INI-000000365,6,35.87,215.21999999999997,INV-00009898,PRD-00078
INI-000000366,8,29.43,235.44,INV-00015328,PRD-00060
INI-000000367,4,111.91,447.64,INV-00007700,PRD-00131
INI-000000368,5,38.63,193.15,INV-00000638,PRD-00026
INI-000000369,8,60.43,483.44,INV-00032290,PRD-00133
INI-000000370,8,28.68,229.44,INV-00039093,PRD-00108
INI-000000371,7,80.37,562.59,INV-00006323,PRD-00165
INI-000000372,8,54.27,434.16,INV-00026130,PRD-00063
INI-000000373,8,18.36,146.88,INV-00008540,PRD-00060
INI-000000374,5,29.85,149.25,INV-00036761,PRD-00066
INI-000000375,3,29.72,89.16,INV-00032221,PRD-00039
INI-000000376,6,25.39,152.34,INV-00002212,PRD-00051
INI-000000377,4,18.31,73.24,INV-00021609,PRD-00200
INI-000000378,1,72.11,72.11,INV-00033203,PRD-00098
INI-000000379,7,13.39,93.73,INV-00028940,PRD-00158
INI-000000380,5,66.86,334.3,INV-00003522,PRD-00045
INI-000000381,1,80.76,80.76,INV-00000271,PRD-00094
INI-000000382,3,13.22,39.660000000000004,INV-00006884,PRD-00080
INI-000000383,3,66.67,200.01,INV-00046996,PRD-00062
INI-000000384,1,60.08,60.08,INV-00016161,PRD-00159
INI-000000385,8,30.93,247.44,INV-00017490,PRD-00048
INI-000000386,6,36.6,219.60000000000002,INV-00023583,PRD-00094
INI-000000387,2,21.56,43.12,INV-00004086,PRD-00162
INI-000000388,8,29.21,233.68,INV-00023592,PRD-00059
INI-000000389,5,44.3,221.5,INV-00004812,PRD-00154
INI-000000390,7,164.3,1150.1000000000001,INV-00016701,PRD-00128
INI-000000391,6,29.21,175.26,INV-00007240,PRD-00089
INI-000000392,3,17.99,53.97,INV-00027743,PRD-00138
INI-000000393,9,18.38,165.42,INV-00047163,PRD-00071
INI-000000394,4,37.19,148.76,INV-00049580,PRD-00143
INI-000000395,4,8.84,35.36,INV-00025589,PRD-00099
INI-000000396,8,36.6,292.8,INV-00010364,PRD-00055
INI-000000397,10,66.36,663.6,INV-00018854,PRD-00104
INI-000000398,5,138.9,694.5,INV-00021058,PRD-00014
INI-000000399,1,10.28,10.28,INV-00014695,PRD-00120
INI-000000400,3,8.54,25.619999999999997,INV-00039676,PRD-00088
INI-000000401,5,33.7,168.5,INV-00038142,PRD-00175
INI-000000402,8,36.51,292.08,INV-00015446,PRD-00143
INI-000000403,7,165.52,1158.64,INV-00011729,PRD-00035
INI-000000404,3,29.55,88.65,INV-00010443,PRD-00078
INI-000000405,7,57.08,399.56,INV-00014106,PRD-00179
INI-000000406,3,15.53,46.589999999999996,INV-00027458,PRD-00022
INI-000000407,1,28.82,28.82,INV-00016901,PRD-00092
INI-000000408,4,27.6,110.4,INV-00039265,PRD-00192
INI-000000409,7,136.71,956.97,INV-00007874,PRD-00108
INI-000000410,2,42.16,84.32,INV-00048507,PRD-00055
INI-000000411,4,23.6,94.4,INV-00032526,PRD-00098
INI-000000412,4,46.87,187.48,INV-00017070,PRD-00152
INI-000000413,6,10.17,61.019999999999996,INV-00016606,PRD-00040
INI-000000414,6,42.18,253.07999999999998,INV-00035517,PRD-00004
INI-000000415,8,63.82,510.56,INV-00014943,PRD-00177
INI-000000416,4,20.54,82.16,INV-00045962,PRD-00139
INI-000000417,6,28.64,171.84,INV-00019655,PRD-00097
INI-000000418,7,35.64,249.48000000000002,INV-00044381,PRD-00065
INI-000000419,2,22.81,45.62,INV-00024400,PRD-00092
INI-000000420,4,8.31,33.24,INV-00010541,PRD-00154
INI-000000421,7,45.59,319.13,INV-00033291,PRD-00051
INI-000000422,5,24.75,123.75,INV-00030307,PRD-00184
INI-000000423,5,76.53,382.65,INV-00023793,PRD-00091
INI-000000424,4,29.13,116.52,INV-00046874,PRD-00108
INI-000000425,3,23.89,71.67,INV-00017404,PRD-00140
INI-000000426,9,54.15,487.34999999999997,INV-00016358,PRD-00182
INI-000000427,2,282.07,564.14,INV-00009387,PRD-00051
INI-000000428,2,24.2,48.4,INV-00006456,PRD-00166
INI-000000429,4,16.51,66.04,INV-00041453,PRD-00061
INI-000000430,4,12.72,50.88,INV-00011471,PRD-00142
INI-000000431,3,76.11,228.32999999999998,INV-00037733,PRD-00154
INI-000000432,2,35.01,70.02,INV-00039262,PRD-00138
INI-000000433,4,73.45,293.8,INV-00002021,PRD-00095
INI-000000434,3,35.37,106.10999999999999,INV-00040090,PRD-00049
INI-000000435,7,308.36,2158.52,INV-00027685,PRD-00158
INI-000000436,1,17.39,17.39,INV-00036428,PRD-00010
INI-000000437,6,37.45,224.70000000000002,INV-00009887,PRD-00166
INI-000000438,1,108.41,108.41,INV-00043041,PRD-00159
INI-000000439,8,22.39,179.12,INV-00026062,PRD-00163
INI-000000440,3,20.76,62.28,INV-00037053,PRD-00081
