account_id,name,industry,country,annual_revenue,employees,created_at
ACC-0000053,Rio Tech,tech,AR,861174.6,123,2021-01-18 00:12:17
ACC-0000054,Vino Energy,retail,BR,156165.22,13,2022-08-06 13:08:44
ACC-0000055,Global Holdings,education,CL,224342.27,215,2024-09-28 06:43:19
ACC-0000056,Cobre Cloud,tech,CO,1109032.24,21,2020-04-21 15:57:09
ACC-0000057,Patagonia Industries,health,AR,603271.32,133,2018-02-18 20:35:38
ACC-0000058,Sur Tech,energy,MX,82037.8,474,2022-09-22 05:45:43
ACC-0000059,Norte Retail,health,CO,826111.77,103,2018-07-27 01:29:24
ACC-0000060,Norte Cloud,tech,AR,228390.96,999,2022-07-10 08:40:27
ACC-0000061,Rio Logistics,tech,CO,121000.18,96,2021-06-22 15:29:06
ACC-0000062,Vino Foods,health,CL,495913.32,69,2020-01-08 08:34:35
ACC-0000063,Lumen Capital,education,AR,1345587.35,374,2024-08-06 19:46:52
ACC-0000064,Inca Bank,education,CO,359804.82,56,2024-06-22 23:58:30
ACC-0000065,Solar Group,energy,PE,82974.36,123,2024-08-29 22:04:45
ACC-0000066,Hierro Data,tech,CL,356932.23,65,2021-04-21 08:51:31
ACC-0000067,Inca Bank,tech,CL,152446.14,22,2023-05-05 23:16:15
ACC-0000068,Vino Retail,services,CO,512691.65,20,2019-05-30 03:36:16
ACC-0000069,Maipo Tech,retail,AR,234387.21,30,2018-08-09 13:22:36
ACC-0000070,Vino Labs,energy,MX,1162706.25,124,2024-12-20 05:21:01
ACC-0000071,Pacific SpA,education,MX,658951.62,72,2025-07-24 07:08:53
ACC-0000072,Selva Networks,energy,CL,138821.12,119,2020-12-06 10:51:31
ACC-0000073,Vino Holdings,education,CL,112591.3,26,2024-05-17 23:55:02
ACC-0000074,Trigo Holdings,finance,MX,547960.5,21,2019-03-12 02:32:03
ACC-0000075,Patagonia Partners,health,MX,1036992.45,20,2023-07-28 18:47:37
ACC-0000076,Patagonia Logistics,finance,ES,206526.25,201,2018-04-15 09:23:27
ACC-0000077,Tropic Retail,tech,AR,1093760.19,325,2018-04-28 03:20:13
ACC-0000078,Sur Partners,finance,CO,1452094.95,50,2021-06-06 23:46:06
ACC-0000079,Maipo Partners,services,MX,185778.42,5,2022-09-10 01:00:50
ACC-0000080,Azteca Foods,tech,CL,412967.38,29,2018-04-02 08:27:37
ACC-0000081,Inca Cloud,manufacturing,CL,397979.09,304,2025-03-07 02:03:07
ACC-0000082,Patagonia Industries,finance,AR,1709198.24,18,2025-04-01 07:43:17
ACC-0000083,Andes Holdings,services,MX,6028034.79,1572,2018-07-07 18:23:24
ACC-0000084,Patagonia Logistics,retail,PE,687690.86,3,2020-07-02 01:20:45
ACC-0000085,Solar Networks,tech,AR,4978421.58,168,2019-11-17 06:50:23
ACC-0000086,Salmon Holdings,finance,PE,744372.98,317,2024-09-16 19:27:13
ACC-0000087,Cordillera Mining,retail,AR,84804.56,9,2019-05-11 00:02:13
ACC-0000088,Lumen Networks,tech,CL,228648.66,4,2024-10-20 07:49:14
ACC-0000089,Maya Group,retail,MX,131905.01,4,2021-10-08 12:44:03
ACC-0000090,Bio Data,retail,PE,77921.39,23,2025-10-12 13:25:20
ACC-0000091,Inca S.A.,services,MX,168813.14,201,2020-01-04 10:40:34
ACC-0000092,Vertex Energy,tech,CL,853652.81,87,2018-12-28 04:54:26
ACC-0000093,Norte Cloud,health,BR,1833024.24,29,2019-08-14 12:27:56
ACC-0000094,Tropic Bank,tech,CL,1122782.93,19,2019-09-28 12:43:55
ACC-0000095,Bio Foods,services,CL,1578274.6,41,2023-11-21 23:46:57
ACC-0000096,Pacific Industries,services,CO,2129504.05,91,2018-01-18 22:12:33
ACC-0000097,Vertex Group,retail,AR,3970296.25,32,2024-11-16 08:05:45
ACC-0000098,Cobalto Foods,health,CO,157085.56,181,2025-02-16 05:13:51
ACC-0000099,Lumen Networks,manufacturing,US,221946.94,118,2018-03-05 13:44:23
ACC-0000100,Lumen Energy,education,ES,214123.04,116,2021-05-28 07:56:28
ACC-0000101,Pacific Solutions,finance,CO,643429.67,261,2021-03-15 11:44:39
ACC-0000102,Atacama Mining,services,PE,768340.95,492,2018-04-05 16:53:21
ACC-0000103,Prima Mining,retail,MX,73774.74,5,2021-02-09 16:36:25
ACC-0000104,Rio Industries,energy,AR,2511430.76,38,2023-11-23 13:52:22
ACC-0000105,Sur Labs,services,ES,874854.32,160,2025-08-05 15:55:14
ACC-0000106,Solar Capital,health,AR,452050.67,63,2024-06-27 16:05:00
ACC-0000107,Global Industries,health,BR,254486.09,7,2023-05-15 09:56:47
ACC-0000108,Plata Industries,education,CL,1063277.13,61,2019-10-29 20:03:12
ACC-0000109,Sur Foods,manufacturing,MX,197261.99,675,2018-01-31 20:18:12
ACC-0000110,Trigo Networks,finance,CL,5291594.52,448,2019-08-02 19:59:30
ACC-0000111,Andes Mining,services,MX,71598.36,7,2024-07-10 19:58:30
ACC-0000112,Aurora S.A.,services,CL,1205752.4,4,2024-07-05 02:24:31
ACC-0000113,Atacama Solutions,manufacturing,CL,318255.2,26,2020-01-22 20:54:21
ACC-0000114,Cobalto Retail,tech,CL,719826.86,15,2021-12-26 03:27:02
ACC-0000115,Andes Capital,services,BR,174942.63,150,2020-06-08 05:50:23
ACC-0000116,Trigo S.A.,health,MX,22683.16,130,2022-09-30 17:18:26
ACC-0000117,Salmon Solutions,education,CO,223449.53,174,2025-06-28 21:19:17
ACC-0000118,Solar Holdings,energy,CL,644499.26,177,2023-02-08 08:13:48
ACC-0000119,Prima Mining,retail,MX,721127.01,17,2022-07-23 01:19:58
ACC-0000120,Norte S.A.,manufacturing,PE,346724.49,247,2023-06-07 17:21:38
ACC-0000121,Prima Logistics,retail,MX,3241346.49,52,2024-11-01 23:57:59
ACC-0000122,Sur Group,energy,CL,1383699.11,82,2025-06-04 04:36:28
ACC-0000123,Norte Solutions,tech,CL,420563.66,40,2020-11-08 08:29:57
ACC-0000124,Salmon S.A.,manufacturing,CL,275188.96,115,2021-01-16 00:10:56
ACC-0000125,Norte Networks,tech,CL,677282.94,54,2018-09-22 06:30:00
ACC-0000126,Pacific Energy,health,BR,172072.08,123,2020-09-07 02:05:00
ACC-0000127,Hierro Bank,retail,BR,2729815.79,74,2023-10-17 14:55:24
ACC-0000128,Plata Energy,retail,CL,631975.79,718,2024-08-15 10:36:59
ACC-0000129,Prima Foods,retail,PE,2992325.84,39,2022-07-06 11:16:17
ACC-0000130,Maipo Solutions,tech,CL,1894302.38,77,2023-01-08 08:26:24
ACC-0000131,Lumen Group,services,CO,517086.59,65,2025-10-18 22:05:23
ACC-0000132,Nova Foods,finance,CL,3249420.32,16,2018-05-25 10:09:23
ACC-0000133,Inca Labs,services,BR,83905.18,5,2024-07-11 23:48:34
ACC-0000134,Vino Mining,retail,PE,866377.64,124,2018-05-31 21:36:46
ACC-0000135,Prima Networks,education,US,1184934.56,283,2020-08-11 06:17:50
ACC-0000136,Nova Industries,manufacturing,ES,432623.64,101,2024-07-05 12:20:50
ACC-0000137,Andes Cloud,tech,PE,10823545.74,345,2022-06-27 23:41:06
ACC-0000138,Salmon Pharma,services,MX,223349.87,169,2020-04-30 00:00:09
ACC-0000139,Hierro Group,retail,CL,257685.46,24,2022-12-02 05:28:59
ACC-0000140,Rio Retail,services,CL,871545.26,163,2020-03-23 17:54:37
ACC-0000141,Nova Bank,services,CL,69582.56,922,2021-11-13 18:01:14
ACC-0000142,Maipo Solutions,finance,AR,1032126.32,88,2020-10-18 05:16:34
ACC-0000143,Vertex Tech,health,AR,987552.83,680,2024-02-27 04:05:13
ACC-0000144,Andes Foods,manufacturing,MX,1146821.21,117,2019-07-30 21:04:42
ACC-0000145,Atacama Data,manufacturing,CL,538767.85,189,2018-01-02 02:59:05
ACC-0000146,Salmon Partners,energy,CO,59273.7,106,2023-06-19 09:26:06
ACC-0000147,Litio Tech,retail,AR,220214.14,1,2023-11-01 18:20:54
ACC-0000148,Maya Industries,health,PE,1011257.05,47,2020-04-14 02:11:59
ACC-0000149,Norte Logistics,energy,BR,779571.99,6,2019-03-21 23:04:13
ACC-0000150,Patagonia Labs,finance,AR,2212150.97,31,2020-01-31 16:42:57
ACC-0000151,Hierro Solutions,retail,ES,185785.76,376,2024-08-06 18:08:45
ACC-0000152,Rio Industries,tech,BR,996778.94,26,2021-10-27 08:58:09
ACC-0000153,Inca Partners,tech,MX,57299.73,113,2022-11-09 19:56:41
ACC-0000154,Andes Mining,tech,PE,1010956.5,66,2024-01-12 11:23:38
ACC-0000155,Patagonia Logistics,health,US,59695.34,16,2023-03-05 08:30:29
ACC-0000156,Cordillera Solutions,services,CL,697325.59,7,2020-05-17 06:43:01
ACC-0000157,Solar S.A.,health,BR,648387.77,66,2018-06-23 17:33:35
ACC-0000158,Aurora Capital,finance,ES,1076667.08,88,2020-09-07 19:17:27
ACC-0000159,Rio SpA,energy,CL,374633.49,97,2025-01-25 13:11:11
ACC-0000160,Plata SpA,manufacturing,US,3675983.45,43,2018-12-28 18:06:03
ACC-0000161,Andes Industries,retail,AR,965149.27,49,2022-06-13 05:46:39
ACC-0000162,Nova Capital,services,AR,1766881.61,13,2023-05-25 15:04:05
ACC-0000163,Prima Retail,finance,PE,166867.93,157,2024-01-16 13:28:09
ACC-0000164,Tropic Logistics,health,BR,1161164.24,184,2021-10-03 09:56:01
ACC-0000165,Bio Mining,energy,MX,1664510.58,23,2020-11-20 14:51:48
ACC-0000166,Norte Retail,health,CO,417626.28,37,2023-04-18 13:56:13
ACC-0000167,Selva Holdings,health,CL,759176.77,35,2022-09-26 17:30:17
ACC-0000168,Maya Industries,tech,PE,955607.93,60,2025-03-16 14:36:18
ACC-0000169,Atacama Partners,finance,AR,107976.45,13,2019-06-05 00:35:55
ACC-0000170,Patagonia SpA,health,CL,94862.1,89,2019-03-02 10:37:28
ACC-0000171,Bio Holdings,retail,CO,99564.15,53,2024-02-01 03:47:12
ACC-0000172,Solar Tech,tech,CL,113956.99,4,2024-09-26 10:43:30
ACC-0000173,Rio Data,health,MX,70581.45,42,2025-02-23 17:22:24
ACC-0000174,Pacific Logistics,retail,BR,661244.87,133,2021-10-10 17:15:59
ACC-0000175,Norte Group,energy,MX,288896.4,1,2024-06-22 23:17:56
ACC-0000176,Plata Retail,health,CL,532467.96,74,2021-03-10 23:52:12
ACC-0000177,Andes Solutions,tech,AR,426830.35,59,2025-04-01 14:42:03
ACC-0000178,Global Partners,retail,BR,730815.86,5,2025-07-28 23:09:12
ACC-0000179,Patagonia Cloud,retail,AR,103457.58,41,2021-12-04 13:28:09
ACC-0000180,Inca Foods,tech,CO,28551.93,7,2019-07-25 09:49:49
ACC-0000181,Azteca Industries,services,AR,228060.39,66,2023-12-08 08:54:49
ACC-0000182,Inca Capital,finance,BR,104213.51,1,2021-06-13 12:25:08
ACC-0000183,Prima Tech,manufacturing,CO,625149.62,144,2025-10-08 09:09:43
ACC-0000184,Tropic Data,tech,ES,467648.77,17,2024-03-01 15:43:49
ACC-0000185,Prima Networks,manufacturing,AR,118296.12,58,2019-06-04 14:24:05
ACC-0000186,Global Partners,manufacturing,MX,262620.96,7,2022-11-05 05:28:47
ACC-0000187,Lumen Holdings,education,CO,260915.32,113,2023-12-15 11:12:50
ACC-0000188,Vertex Foods,health,CL,195528.22,67,2024-06-13 07:46:35
ACC-0000189,Hierro Pharma,retail,MX,37274.9,118,2024-07-22 11:54:26
ACC-0000190,Trigo Tech,services,US,3524842.26,21,2025-02-13 15:00:19
ACC-0000191,Vertex Cloud,services,MX,186711.06,25,2025-10-25 22:32:12
ACC-0000192,Vino Capital,services,PE,1106733.53,10,2022-06-08 17:24:42
ACC-0000193,Plata SpA,energy,BR,350658.67,130,2024-08-17 10:06:39
ACC-0000194,Aurora Partners,health,ES,2008615.68,11,2022-05-04 16:51:31
ACC-0000195,Norte Capital,finance,CL,554292.4,34,2018-10-28 11:13:37
ACC-0000196,Andes Mining,services,BR,60875.84,26,2019-01-30 01:17:31
ACC-0000197,Inca Bank,retail,CO,978560.54,14,2020-06-28 13:33:51
ACC-0000198,Sur Data,retail,CL,98476.99,34,2024-04-28 07:36:57
ACC-0000199,Vertex Tech,education,MX,61344.18,42,2018-06-26 13:04:49
ACC-0000200,Prima Pharma,retail,US,930226.82,26,2025-02-19 01:49:51
ACC-0000201,Lumen Foods,manufacturing,US,676928.35,116,2023-05-20 08:26:19
ACC-0000202,Rio Data,retail,MX,953630.72,2045,2023-04-10 23:03:42
ACC-0000203,Inca Retail,health,CO,777389.08,131,2024-10-15 21:11:38
ACC-0000204,Atacama Data,tech,CL,363843.98,49,2018-04-16 22:31:18
ACC-0000205,Hierro Holdings,retail,CO,1274164.07,42,2022-07-23 07:09:34
ACC-0000206,Atacama Group,services,CL,1584040.95,19,2018-07-09 12:09:37
ACC-0000207,Atacama Foods,tech,US,491123.92,368,2025-06-24 21:23:39
ACC-0000208,Maipo Bank,health,PE,505360.76,111,2024-12-11 00:16:34
ACC-0000209,Patagonia Tech,manufacturing,CL,149036.75,14,2018-09-27 05:13:03
ACC-0000210,Norte Retail,health,CL,110290.86,135,2019-10-12 15:32:07
ACC-0000211,Aurora S.A.,services,PE,551374.05,15,2021-07-12 23:24:47
ACC-0000212,Lumen Data,education,CO,67643.55,85,2022-12-16 16:50:21
ACC-0000213,Pacific Industries,education,BR,764175.26,15,2025-04-27 19:44:26
ACC-0000214,Cordillera Holdings,tech,ES,166383.93,33,2023-06-10 00:40:31
ACC-0000215,Lumen Cloud,education,AR,52122.17,73,2019-03-08 04:39:50
ACC-0000216,Cordillera Energy,manufacturing,PE,308101.83,26,2025-05-05 15:32:09
ACC-0000217,Bio Bank,education,MX,2501264.01,244,2021-09-09 15:53:14
ACC-0000218,Bio Group,energy,CL,187983.67,12,2024-12-17 08:40:53
ACC-0000219,Vertex Solutions,education,MX,297609.33,37,2020-07-12 13:27:31
ACC-0000220,Maya Solutions,tech,CL,404541.06,521,2021-12-18 13:17:23
ACC-0000221,Azteca Pharma,finance,CL,449834.55,155,2024-10-01 09:55:08
ACC-0000222,Sur Bank,education,CO,3173115.35,119,2020-12-06 04:07:23
ACC-0000223,Pacific Energy,finance,AR,256558.05,148,2019-12-29 02:01:19
ACC-0000224,Hierro Logistics,retail,CO,1034897.64,14,2019-01-26 21:39:04
ACC-0000225,Hierro Capital,manufacturing,CL,402486.41,43,2025-02-21 11:23:11
ACC-0000226,Tropic Foods,tech,BR,602270.17,27,2024-12-31 10:41:19
ACC-0000227,Norte Capital,tech,US,840684.21,6,2025-07-12 03:46:11
ACC-0000228,Salmon Pharma,tech,CL,681364.26,79,2023-05-13 21:45:00
ACC-0000229,Vino Cloud,energy,CL,157370.62,509,2024-07-03 13:28:37
ACC-0000230,Tropic Retail,energy,US,846589.39,84,2021-01-06 17:05:21
ACC-0000231,Cobre Retail,retail,BR,490997.52,7,2019-08-12 14:14:04
ACC-0000232,Lumen Capital,retail,CL,739064.09,63,2024-10-30 15:03:25
ACC-0000233,Nova Tech,tech,ES,696602.77,7,2025-10-30 15:49:28
ACC-0000234,Hierro Energy,finance,CL,91603.51,32,2025-06-28 20:57:54
ACC-0000235,Lumen Energy,finance,CL,1856448.43,25,2023-08-31 15:58:37
ACC-0000236,Global Foods,energy,US,367523.68,20,2019-05-30 12:52:23
ACC-0000237,Patagonia Capital,tech,CL,1421908.06,34,2022-05-22 20:47:40
ACC-0000238,Maipo Mining,manufacturing,ES,287706.6,100,2021-02-05 23:53:08
ACC-0000239,Norte Holdings,education,CL,3986883.56,311,2022-06-30 12:02:57
ACC-0000240,Maya S.A.,retail,CO,754921.69,4,2021-02-11 08:42:34
ACC-0000241,Hierro Logistics,finance,MX,832609.57,85,2024-02-01 06:36:31
ACC-0000242,Inca S.A.,tech,PE,324980.28,28,2022-04-24 21:29:07
ACC-0000243,Maya Foods,energy,PE,1074965.09,68,2025-07-27 11:51:37
ACC-0000244,Selva Holdings,finance,ES,287581.58,117,2025-10-11 20:09:44
ACC-0000245,Plata Data,health,CL,447737.66,270,2022-04-30 18:03:27
ACC-0000246,Salmon SpA,health,CO,175173.22,55,2024-04-15 18:33:04
ACC-0000247,Sur Foods,retail,CL,1643657.04,67,2023-07-22 20:04:41
ACC-0000248,Nova Mining,services,CL,4586983.63,128,2019-07-03 06:26:53
ACC-0000249,Trigo Industries,retail,AR,823504.1,84,2023-09-08 02:09:50
ACC-0000250,Atacama Group,services,MX,3005287.04,11,2024-08-25 22:15:15
ACC-0000251,Pacific S.A.,tech,BR,1193648.66,103,2025-05-18 01:02:11
ACC-0000252,Trigo Mining,manufacturing,CL,832581.44,336,2024-09-07 19:27:12
ACC-0000253,Inca Mining,tech,CL,935470.02,149,2021-12-23 18:38:16
ACC-0000254,Atacama Capital,education,CL,999452.56,27,2023-06-06 10:59:28
ACC-0000255,Salmon Partners,retail,CO,71678.18,64,2018-12-15 00:33:34
ACC-0000256,Selva SpA,services,MX,1230463.92,161,2024-04-12 05:41:43
ACC-0000257,Andes Energy,finance,CL,377656.34,139,2023-12-06 02:34:42
ACC-0000258,Maya Networks,retail,CL,1792299.0,229,2021-04-08 13:17:25
ACC-0000259,Nova Bank,health,CL,1747967.15,10,2020-01-06 23:24:12
ACC-0000260,Azteca SpA,services,MX,673296.94,41,2023-10-12 17:31:07
ACC-0000261,Atacama Retail,manufacturing,CL,543199.53,79,2018-04-02 15:26:39
ACC-0000262,Hierro Capital,tech,CL,577959.51,882,2023-03-08 17:31:41
ACC-0000263,Selva Solutions,services,MX,658655.92,22,2018-04-16 21:57:18
ACC-0000264,Aurora Retail,energy,CL,295063.9,102,2021-09-29 17:32:55
ACC-0000265,Selva Pharma,retail,AR,391369.64,20,2021-09-09 07:54:45
ACC-0000266,Inca Capital,health,CL,194878.35,18,2024-07-15 16:45:42
ACC-0000267,Salmon Data,finance,BR,400261.11,282,2024-02-27 23:57:26
ACC-0000268,Litio Pharma,manufacturing,MX,1155664.06,122,2021-04-24 03:30:14
ACC-0000269,Pacific Mining,education,CL,228679.0,67,2018-07-21 15:45:31
ACC-0000270,Trigo Logistics,finance,BR,600426.91,103,2018-11-02 19:21:39
ACC-0000271,Aurora Logistics,retail,BR,59360.45,22,2023-07-06 08:03:19
ACC-0000272,Atacama Bank,manufacturing,MX,676917.99,71,2021-03-17 08:37:49
ACC-0000273,Vino Cloud,health,CO,1402148.98,271,2019-07-03 09:44:25
ACC-0000274,Sur Bank,finance,AR,822064.86,50,2024-11-06 05:44:20
ACC-0000275,Litio Retail,services,ES,2135060.11,40,2022-03-09 13:11:11
ACC-0000276,Andes Cloud,retail,ES,136444.15,15,2021-11-13 22:14:44
ACC-0000277,Maya Labs,education,CL,1562865.3,216,2024-05-22 08:18:44
ACC-0000278,Cobre Energy,services,US,2549689.6,103,2023-04-10 00:37:15
ACC-0000279,Maipo Mining,retail,ES,1114633.86,38,2020-01-22 17:34:04
ACC-0000280,Selva Networks,services,MX,475575.36,253,2019-05-28 21:29:26
ACC-0000281,Vino SpA,services,CL,687804.91,26,2024-10-08 04:21:26
ACC-0000282,Pacific S.A.,health,CL,279995.81,36,2021-01-29 17:04:44
ACC-0000283,Norte Solutions,health,PE,174019.15,172,2019-06-18 16:43:18
ACC-0000284,Cobalto Networks,services,CL,4941919.93,66,2019-04-25 11:37:19
ACC-0000285,Prima S.A.,manufacturing,AR,73609.19,30,2025-05-07 14:37:42
ACC-0000286,Rio Networks,manufacturing,CL,946612.79,105,2025-01-08 04:44:47
ACC-0000287,Selva Energy,health,BR,396860.87,862,2021-03-03 08:13:51
ACC-0000288,Plata Foods,energy,CL,829111.74,71,2023-04-26 18:54:08
ACC-0000289,Solar Mining,health,CL,488766.87,64,2022-08-03 12:19:10
ACC-0000290,Vino S.A.,retail,CO,6427784.96,116,2021-04-02 14:01:59
ACC-0000291,Pacific Labs,health,CL,587120.55,76,2024-09-14 20:27:14
ACC-0000292,Inca Energy,health,CL,288067.37,73,2019-06-03 19:08:20
ACC-0000293,Maya Solutions,retail,CO,1161816.18,21,2019-08-15 04:41:40
ACC-0000294,Vertex Industries,finance,CO,169030.78,44,2021-05-11 08:58:12
ACC-0000295,Prima Pharma,retail,MX,557453.82,94,2025-12-18 09:00:09
ACC-0000296,Selva Capital,energy,CO,177745.45,368,2018-02-26 05:02:24
ACC-0000297,Tropic Partners,manufacturing,MX,164931.81,276,2025-12-13 20:27:08
ACC-0000298,Trigo Tech,energy,CL,280392.48,127,2021-10-03 17:57:54
ACC-0000299,Inca Mining,finance,CL,843349.73,28,2019-07-17 08:28:10
ACC-0000300,Salmon Mining,education,ES,869266.4,119,2019-01-31 18:41:11
ACC-0000301,Prima Holdings,finance,CO,2099646.85,58,2020-05-16 02:01:16
ACC-0000302,Maipo Foods,education,CL,432463.98,30,2023-07-24 05:54:25
ACC-0000303,Salmon Capital,tech,PE,164390.46,4,2022-11-20 18:42:57
ACC-0000304,Atacama Mining,energy,BR,2438155.34,11,2023-12-07 13:32:42
ACC-0000305,Maya Group,tech,CO,361047.33,14,2022-06-16 23:42:41
ACC-0000306,Nova S.A.,energy,CL,17259.06,18,2025-02-21 04:12:02
ACC-0000307,Azteca Energy,services,CL,54413.66,11,2018-06-26 12:04:31
ACC-0000308,Maya Data,finance,PE,816203.0,156,2020-05-24 13:05:12
ACC-0000309,Hierro Cloud,manufacturing,MX,1933297.16,16,2023-11-08 01:37:33
ACC-0000310,Tropic Networks,tech,CO,127551.82,17,2024-07-13 05:44:30
ACC-0000311,Plata Logistics,retail,AR,780752.55,117,2019-07-27 01:00:14
ACC-0000312,Selva Bank,tech,AR,715177.23,26,2018-01-31 18:34:33
ACC-0000313,Azteca Holdings,health,PE,554776.54,106,2023-06-13 23:04:58
ACC-0000314,Salmon Industries,education,PE,271552.19,2,2023-01-25 15:37:45
ACC-0000315,Bio Labs,finance,CL,106035.04,33,2020-08-28 08:05:48
ACC-0000316,Pacific Cloud,education,CL,48065.68,28,2023-07-09 10:30:11
ACC-0000317,Andes Retail,tech,CL,461571.83,45,2025-10-26 00:19:42
ACC-0000318,Litio Logistics,tech,MX,733490.82,27,2024-05-02 04:03:09
ACC-0000319,Solar Pharma,retail,US,300978.31,89,2024-12-15 05:56:13
ACC-0000320,Tropic Partners,retail,CL,566675.04,22,2018-07-03 22:12:50
ACC-0000321,Pacific Pharma,tech,AR,29378.54,64,2024-11-08 15:56:50
ACC-0000322,Selva S.A.,finance,MX,669917.26,183,2020-05-07 00:09:05
ACC-0000323,Plata Labs,finance,MX,1119271.4,21,2025-04-03 05:18:15
ACC-0000324,Sur S.A.,retail,ES,177491.72,434,2018-03-04 23:39:06
ACC-0000325,Solar Labs,health,PE,173149.46,549,2024-11-20 00:10:37
ACC-0000326,Pacific Cloud,services,CL,1498434.08,23,2023-01-11 14:07:22
ACC-0000327,Andes Networks,retail,MX,42012.25,22,2019-04-18 01:40:32
ACC-0000328,Prima Logistics,retail,CL,153836.75,41,2025-02-05 23:05:12
ACC-0000329,Salmon Data,education,US,35424.34,6,2018-12-01 05:11:30
ACC-0000330,Prima Data,finance,ES,638636.04,24,2019-09-25 04:08:02
ACC-0000331,Norte Logistics,retail,ES,953601.91,852,2023-04-25 03:32:38
ACC-0000332,Inca SpA,manufacturing,AR,79248.81,4,2021-07-15 21:26:48
ACC-0000333,Trigo Holdings,tech,CO,904359.88,29,2020-07-17 09:22:03
