activity_id,type,subject,occurred_at,contact_id,opportunity_id
ACT-00000202,demo,Activity 00000202,2023-09-18 04:47:36,,
ACT-00000203,email,Activity 00000203,2025-06-29 21:40:52,,OPP-0001493
ACT-00000204,note,Activity 00000204,2025-12-30 21:03:36,CON-0013228,OPP-0001910
ACT-00000205,email,Activity 00000205,2023-07-19 00:15:50,CON-0013932,
ACT-00000206,note,Activity 00000206,2025-07-23 10:37:34,CON-0007371,OPP-0002628
ACT-00000207,call,Activity 00000207,2023-11-14 23:50:01,CON-0010425,
ACT-00000208,call,Activity 00000208,2025-12-29 06:29:26,CON-0011209,
ACT-00000209,demo,Activity 00000209,2025-12-09 04:02:51,CON-0009667,OPP-0002779
ACT-00000210,call,Activity 00000210,2023-07-06 11:21:07,CON-0008213,OPP-0000257
ACT-00000211,email,Activity 00000211,2025-11-27 08:59:36,CON-0010811,OPP-0001757
ACT-00000212,call,Activity 00000212,2023-09-03 04:33:52,,OPP-0002746
ACT-00000213,call,Activity 00000213,2023-02-03 18:06:13,,OPP-0000666
ACT-00000214,email,Activity 00000214,2024-04-14 13:07:00,CON-0005610,
ACT-00000215,note,Activity 00000215,2023-11-28 06:14:22,,
ACT-00000216,email,Activity 00000216,2025-08-25 01:55:36,,OPP-0001456
ACT-00000217,meeting,Activity 00000217,2023-10-07 17:34:17,CON-0003230,
ACT-00000218,meeting,Activity 00000218,2024-06-15 19:10:25,CON-0009970,OPP-0001694
ACT-00000219,meeting,Activity 00000219,2023-06-20 00:16:00,CON-0007991,
ACT-00000220,meeting,Activity 00000220,2024-08-04 09:39:15,CON-0012923,OPP-0001328
ACT-00000221,meeting,Activity 00000221,2023-12-03 23:08:32,CON-0008075,OPP-0001691
ACT-00000222,note,Activity 00000222,2024-02-27 00:12:33,CON-0002193,OPP-0001416
ACT-00000223,meeting,Activity 00000223,2023-05-02 22:07:36,CON-0000316,OPP-0002106
ACT-00000224,email,Activity 00000224,2024-12-07 14:22:47,,OPP-0000160
ACT-00000225,email,Activity 00000225,2024-05-06 07:09:09,,OPP-0000897
ACT-00000226,meeting,Activity 00000226,2024-03-08 01:45:18,CON-0013606,OPP-0000076
ACT-00000227,call,Activity 00000227,2024-06-17 18:05:35,CON-0013598,
ACT-00000228,call,Activity 00000228,2025-06-10 22:23:55,CON-0010427,OPP-0001182
ACT-00000229,email,Activity 00000229,2024-09-06 18:50:20,CON-0014822,
ACT-00000230,demo,Activity 00000230,2024-06-29 10:45:52,CON-0005463,
ACT-00000231,meeting,Activity 00000231,2025-07-01 23:50:48,,OPP-0002044
ACT-00000232,meeting,Activity 00000232,2025-02-23 19:33:26,CON-0005690,OPP-0002832
ACT-00000233,meeting,Activity 00000233,2024-06-17 07:17:58,CON-0013080,
ACT-00000234,call,Activity 00000234,2025-09-15 14:52:46,CON-0010715,OPP-0000747
ACT-00000235,demo,Activity 00000235,2023-07-17 02:07:30,CON-0012071,OPP-0001047
ACT-00000236,call,Activity 00000236,2023-08-13 04:29:07,,
ACT-00000237,note,Activity 00000237,2025-07-16 20:41:47,,
ACT-00000238,demo,Activity 00000238,2024-02-08 23:04:07,CON-0010959,
ACT-00000239,call,Activity 00000239,2023-08-18 14:38:07,CON-0008496,
ACT-00000240,email,Activity 00000240,2025-05-28 15:17:13,,
ACT-00000241,call,Activity 00000241,2025-09-02 19:47:26,,OPP-0002606
ACT-00000242,email,Activity 00000242,2025-03-01 08:03:53,CON-0008450,
ACT-00000243,email,Activity 00000243,2023-05-23 20:26:06,CON-0010613,OPP-0002004
ACT-00000244,email,Activity 00000244,2024-06-23 08:18:46,,
ACT-00000245,call,Activity 00000245,2023-07-29 00:54:18,CON-0004894,
ACT-00000246,email,Activity 00000246,2025-09-10 07:58:10,CON-0007569,OPP-0002941
ACT-00000247,email,Activity 00000247,2023-12-20 22:21:14,,
ACT-00000248,call,Activity 00000248,2023-08-22 06:35:20,CON-0012125,
ACT-00000249,email,Activity 00000249,2023-04-08 22:31:32,,
ACT-00000250,call,Activity 00000250,2025-04-18 11:44:09,,OPP-0001135
ACT-00000251,call,Activity 00000251,2024-09-09 17:35:48,CON-0011669,
ACT-00000252,call,Activity 00000252,2023-12-17 05:08:51,CON-0005299,OPP-0000056
ACT-00000253,email,Activity 00000253,2024-11-20 22:37:33,CON-0014670,
ACT-00000254,email,Activity 00000254,2023-06-03 21:04:38,CON-0004168,
ACT-00000255,call,Activity 00000255,2023-12-12 07:12:53,CON-0007256,
ACT-00000256,email,Activity 00000256,2025-06-21 21:41:31,,OPP-0002583
ACT-00000257,call,Activity 00000257,2024-01-19 17:38:54,CON-0002546,OPP-0002971
ACT-00000258,email,Activity 00000258,2023-04-11 06:39:21,,OPP-0001684
ACT-00000259,note,Activity 00000259,2023-11-13 11:56:03,CON-0010125,OPP-0000473
ACT-00000260,call,Activity 00000260,2023-05-30 09:03:46,,
ACT-00000261,email,Activity 00000261,2024-04-09 05:48:05,,OPP-0002690
ACT-00000262,email,Activity 00000262,2023-01-30 22:55:11,CON-0005473,OPP-0002277
ACT-00000263,call,Activity 00000263,2025-02-20 11:03:45,CON-0008148,OPP-0000999
ACT-00000264,email,Activity 00000264,2023-06-16 23:10:19,CON-0006119,OPP-0000366
ACT-00000265,call,Activity 00000265,2023-08-27 06:51:05,CON-0005406,
ACT-00000266,meeting,Activity 00000266,2025-12-13 22:34:47,,OPP-0000224
ACT-00000267,email,Activity 00000267,2024-06-15 21:13:44,,
ACT-00000268,call,Activity 00000268,2025-10-12 11:41:29,CON-0014676,OPP-0000518
ACT-00000269,email,Activity 00000269,2024-10-12 19:39:36,CON-0013841,OPP-0000380
ACT-00000270,meeting,Activity 00000270,2025-02-28 08:44:00,,
ACT-00000271,call,Activity 00000271,2024-10-19 14:24:39,,
ACT-00000272,email,Activity 00000272,2025-09-10 08:49:32,CON-0012670,
ACT-00000273,email,Activity 00000273,2025-03-02 14:18:54,,OPP-0002458
ACT-00000274,call,Activity 00000274,2023-09-02 15:33:29,CON-0014559,OPP-0002296
ACT-00000275,meeting,Activity 00000275,2025-07-22 08:48:25,CON-0008211,
ACT-00000276,call,Activity 00000276,2023-11-23 15:10:52,CON-0010127,
ACT-00000277,meeting,Activity 00000277,2024-09-16 13:15:38,CON-0002661,OPP-0002372
ACT-00000278,email,Activity 00000278,2023-11-11 22:40:49,CON-0009050,OPP-0002217
ACT-00000279,note,Activity 00000279,2024-11-07 11:18:56,CON-0007707,
ACT-00000280,meeting,Activity 00000280,2023-01-03 00:00:14,CON-0008416,OPP-0001389
ACT-00000281,meeting,Activity 00000281,2024-12-02 20:36:49,CON-0002873,OPP-0002631
ACT-00000282,meeting,Activity 00000282,2025-11-30 05:52:02,CON-0014503,OPP-0000669
ACT-00000283,email,Activity 00000283,2025-09-26 16:40:41,CON-0008142,OPP-0000103
ACT-00000284,email,Activity 00000284,2024-05-28 06:02:29,CON-0005731,
ACT-00000285,note,Activity 00000285,2025-09-22 05:51:18,,OPP-0001409
ACT-00000286,email,Activity 00000286,2024-09-21 00:19:26,CON-0002909,
ACT-00000287,call,Activity 00000287,2024-08-24 20:11:01,CON-0008889,
ACT-00000288,call,Activity 00000288,2025-05-14 15:32:55,CON-0008017,
ACT-00000289,demo,Activity 00000289,2024-04-04 18:33:00,,
ACT-00000290,call,Activity 00000290,2025-07-30 17:21:52,CON-0006968,OPP-0001156
ACT-00000291,demo,Activity 00000291,2024-09-13 11:56:34,,
ACT-00000292,email,Activity 00000292,2024-01-21 09:29:45,CON-0001700,
ACT-00000293,email,Activity 00000293,2023-04-18 02:40:37,CON-0006435,OPP-0001974
ACT-00000294,call,Activity 00000294,2024-03-24 12:24:49,CON-0004925,OPP-0000821
ACT-00000295,note,Activity 00000295,2024-05-21 22:26:05,CON-0012542,
ACT-00000296,call,Activity 00000296,2023-05-29 21:45:31,,OPP-0000642
ACT-00000297,email,Activity 00000297,2023-10-26 23:48:51,CON-0005398,
ACT-00000298,email,Activity 00000298,2025-12-21 13:57:50,CON-0009383,
ACT-00000299,email,Activity 00000299,2025-09-20 09:20:18,CON-0005434,OPP-0002711
ACT-00000300,note,Activity 00000300,2023-12-02 23:10:24,,
ACT-00000301,email,Activity 00000301,2025-01-09 13:54:09,CON-0002935,OPP-0000988
ACT-00000302,call,Activity 00000302,2023-08-16 13:45:23,CON-0008001,
ACT-00000303,email,Activity 00000303,2025-05-13 09:48:14,,OPP-0000963
ACT-00000304,meeting,Activity 00000304,2025-08-15 07:25:52,CON-0003672,
ACT-00000305,email,Activity 00000305,2023-10-14 20:48:54,CON-0004848,OPP-0001339
ACT-00000306,email,Activity 00000306,2025-04-06 19:34:58,CON-0008800,
ACT-00000307,email,Activity 00000307,2023-07-24 23:21:41,CON-0005185,
ACT-00000308,call,Activity 00000308,2024-11-06 09:11:09,CON-0003310,OPP-0002615
ACT-00000309,email,Activity 00000309,2023-08-05 18:43:55,CON-0005675,OPP-0000957
ACT-00000310,call,Activity 00000310,2023-01-02 17:41:48,CON-0010974,OPP-0001888
ACT-00000311,note,Activity 00000311,2024-09-23 13:37:03,CON-0003672,
ACT-00000312,meeting,Activity 00000312,2025-09-14 21:30:29,CON-0005000,
ACT-00000313,note,Activity 00000313,2023-05-11 08:08:40,CON-0007910,OPP-0000146
ACT-00000314,note,Activity 00000314,2024-03-21 22:10:45,CON-0007776,OPP-0002686
ACT-00000315,email,Activity 00000315,2025-03-18 03:38:01,CON-0004629,
ACT-00000316,email,Activity 00000316,2024-11-30 20:29:55,CON-0001229,
ACT-00000317,call,Activity 00000317,2024-04-21 21:52:29,CON-0012476,
ACT-00000318,note,Activity 00000318,2023-09-17 22:26:40,CON-0013129,OPP-0002475
ACT-00000319,note,Activity 00000319,2024-10-22 22:46:41,CON-0013081,OPP-0001937
ACT-00000320,demo,Activity 00000320,2023-01-08 20:13:23,,
ACT-00000321,call,Activity 00000321,2023-11-05 21:16:23,,OPP-0002080
ACT-00000322,email,Activity 00000322,2023-10-12 02:08:18,,OPP-0001766
ACT-00000323,meeting,Activity 00000323,2024-10-21 05:58:40,CON-0003720,OPP-0002506
ACT-00000324,note,Activity 00000324,2023-06-21 21:52:06,CON-0014939,
ACT-00000325,email,Activity 00000325,2023-05-26 10:29:43,,OPP-0002252
ACT-00000326,call,Activity 00000326,2024-04-05 02:14:52,,
ACT-00000327,email,Activity 00000327,2023-04-14 11:47:48,,OPP-0000287
ACT-00000328,email,Activity 00000328,2025-02-11 12:21:08,,
ACT-00000329,demo,Activity 00000329,2024-03-08 19:19:17,CON-0010757,OPP-0000964
ACT-00000330,call,Activity 00000330,2025-01-10 18:37:57,CON-0008791,OPP-0002465
ACT-00000331,email,Activity 00000331,2024-11-01 12:03:30,,
ACT-00000332,email,Activity 00000332,2025-04-17 21:03:08,CON-0007497,OPP-0000940
ACT-00000333,email,Activity 00000333,2024-10-02 09:45:16,CON-0010053,
ACT-00000334,meeting,Activity 00000334,2025-05-31 13:33:56,CON-0004218,OPP-0002698
ACT-00000335,email,Activity 00000335,2023-08-15 00:30:23,CON-0001827,OPP-0000055
ACT-00000336,meeting,Activity 00000336,2025-12-19 02:15:39,CON-0012040,OPP-0000337
ACT-00000337,meeting,Activity 00000337,2023-02-21 15:29:05,CON-0003791,OPP-0001169
ACT-00000338,email,Activity 00000338,2025-12-13 13:56:45,CON-0010131,
ACT-00000339,email,Activity 00000339,2025-07-22 08:53:34,CON-0002571,
