opportunity_id,name,stage,amount,close_date,created_at,account_id
OPP-0000034,Deal 0000034,prospect,59767.27,2023-06-12,2024-11-29 08:34:15,ACC-0000336
OPP-0000035,Deal 0000035,prospect,26992.93,2024-10-26,2024-09-13 00:36:04,ACC-0000565
OPP-0000036,Deal 0000036,negotiation,56157.46,2026-05-10,2024-10-16 11:55:28,ACC-0001673
OPP-0000037,Deal 0000037,prospect,7416.06,2024-08-11,2024-11-30 16:29:07,ACC-0001756
OPP-0000038,Deal 0000038,won,31537.17,2023-06-06,2023-06-24 18:52:07,ACC-0003052
OPP-0000039,Deal 0000039,prospect,6939.25,2024-04-20,2023-10-08 22:13:05,ACC-0003827
OPP-0000040,Deal 0000040,lost,56144.43,2024-06-21,2024-12-05 08:33:50,ACC-0000682
OPP-0000041,Deal 0000041,qualification,4808.94,2026-02-01,2025-11-29 14:09:05,ACC-0001394
OPP-0000042,Deal 0000042,proposal,8466.45,2025-05-30,2023-11-06 17:04:01,ACC-0000172
OPP-0000043,Deal 0000043,won,63112.34,2025-10-29,2023-07-26 21:03:46,ACC-0000066
OPP-0000044,Deal 0000044,prospect,16202.08,2025-09-28,2022-08-17 00:25:12,ACC-0002701
OPP-0000045,Deal 0000045,proposal,14584.17,2024-05-17,2024-03-21 20:25:36,ACC-0000182
OPP-0000046,Deal 0000046,proposal,36780.71,2025-03-10,2025-07-27 12:13:46,ACC-0002803
OPP-0000047,Deal 0000047,won,38751.01,2023-08-13,2023-07-09 21:07:19,ACC-0003871
OPP-0000048,Deal 0000048,lost,140510.2,2026-02-20,2022-10-05 18:35:53,ACC-0001128
OPP-0000049,Deal 0000049,qualification,6706.17,2025-05-03,2023-12-22 22:37:13,ACC-0003972
OPP-0000050,Deal 0000050,proposal,12491.88,2025-11-14,2025-04-25 11:31:00,ACC-0001245
OPP-0000051,Deal 0000051,qualification,14172.5,2023-10-22,2024-10-13 18:46:05,ACC-0003721
OPP-0000052,Deal 0000052,proposal,7582.43,2024-12-27,2025-09-14 00:30:13,ACC-0001793
OPP-0000053,Deal 0000053,prospect,19566.68,2024-10-28,2023-11-20 01:00:27,ACC-0003993
OPP-0000054,Deal 0000054,won,57499.16,2023-05-19,2025-01-04 01:04:32,ACC-0001380
OPP-0000055,Deal 0000055,qualification,42936.68,2026-01-29,2022-12-15 07:16:32,ACC-0002904
OPP-0000056,Deal 0000056,won,7661.29,2023-12-20,2023-07-07 06:39:40,ACC-0001084
OPP-0000057,Deal 0000057,lost,42175.41,2026-05-19,2024-05-15 09:28:32,ACC-0000515
OPP-0000058,Deal 0000058,won,10413.77,2026-03-29,2023-08-12 05:46:12,ACC-0001765
OPP-0000059,Deal 0000059,negotiation,80397.92,2025-04-20,2022-09-16 02:20:38,ACC-0000053
OPP-0000060,Deal 0000060,won,2981.14,2023-10-25,2023-09-12 22:18:24,ACC-0003867
OPP-0000061,Deal 0000061,negotiation,78469.97,2025-11-18,2023-10-01 12:16:44,ACC-0003813
OPP-0000062,Deal 0000062,lost,28886.47,2024-09-26,2022-04-24 17:02:10,ACC-0003736
OPP-0000063,Deal 0000063,proposal,17924.23,2026-04-17,2023-10-24 21:05:52,ACC-0003604
OPP-0000064,Deal 0000064,won,179026.86,2025-09-01,2022-01-17 08:46:31,ACC-0004911
OPP-0000065,Deal 0000065,proposal,19724.41,2025-07-16,2022-08-12 06:57:31,ACC-0000101
OPP-0000066,Deal 0000066,proposal,19210.39,2025-08-28,2022-10-08 04:17:15,ACC-0004113
OPP-0000067,Deal 0000067,proposal,103349.02,2024-08-08,2022-12-28 19:29:13,ACC-0001454
OPP-0000068,Deal 0000068,qualification,6201.23,2024-06-12,2024-12-03 19:25:43,ACC-0004488
OPP-0000069,Deal 0000069,negotiation,14032.23,2025-10-30,2022-02-17 16:42:46,ACC-0002339
OPP-0000070,Deal 0000070,negotiation,10701.53,2026-04-09,2024-01-31 15:38:49,ACC-0004443
OPP-0000071,Deal 0000071,proposal,21326.26,2026-04-08,2023-04-24 06:59:34,ACC-0000695
OPP-0000072,Deal 0000072,qualification,224277.99,2025-01-18,2022-04-25 09:43:03,ACC-0001785
OPP-0000073,Deal 0000073,negotiation,46592.25,2025-05-31,2023-07-02 02:33:19,ACC-0001422
OPP-0000074,Deal 0000074,qualification,5924.37,2024-07-30,2025-08-21 20:49:49,ACC-0004153
OPP-0000075,Deal 0000075,negotiation,20005.01,2023-08-27,2024-07-25 07:56:38,ACC-0002999
OPP-0000076,Deal 0000076,prospect,22223.17,2025-01-03,2025-03-17 04:06:32,ACC-0004562
OPP-0000077,Deal 0000077,proposal,45378.8,2025-11-18,2024-10-29 01:48:51,ACC-0003616
OPP-0000078,Deal 0000078,prospect,28476.25,2024-09-01,2024-07-18 14:38:55,ACC-0000853
OPP-0000079,Deal 0000079,negotiation,12659.88,2025-03-26,2023-04-18 06:52:29,ACC-0001389
OPP-0000080,Deal 0000080,prospect,64786.14,2023-09-18,2024-09-29 12:19:21,ACC-0004041
OPP-0000081,Deal 0000081,negotiation,20820.35,2024-03-13,2023-12-07 00:01:29,ACC-0003492
OPP-0000082,Deal 0000082,qualification,17617.72,2025-02-03,2025-05-02 20:32:23,ACC-0003496
OPP-0000083,Deal 0000083,proposal,1908.16,2023-05-19,2024-06-07 18:19:02,ACC-0003536
OPP-0000084,Deal 0000084,proposal,13630.89,2024-08-04,2023-02-02 16:52:04,ACC-0002341
OPP-0000085,Deal 0000085,qualification,87558.23,2025-01-24,2024-07-28 12:05:04,ACC-0003207
OPP-0000086,Deal 0000086,won,9083.48,2023-05-30,2024-12-03 14:45:49,ACC-0004602
OPP-0000087,Deal 0000087,won,100708.07,2023-02-03,2025-03-04 02:19:00,ACC-0004141
OPP-0000088,Deal 0000088,won,14776.94,2024-11-03,2024-11-13 15:58:23,ACC-0003676
OPP-0000089,Deal 0000089,qualification,110850.03,2024-11-29,2022-12-04 11:11:36,ACC-0002445
OPP-0000090,Deal 0000090,lost,84191.05,2024-04-11,2022-04-20 02:48:26,ACC-0000680
OPP-0000091,Deal 0000091,proposal,47782.4,2026-03-03,2025-01-29 08:07:55,ACC-0000686
OPP-0000092,Deal 0000092,negotiation,37486.29,2025-03-29,2024-05-09 11:33:52,ACC-0001815
OPP-0000093,Deal 0000093,negotiation,10012.62,2026-04-29,2023-01-21 16:23:49,ACC-0003759
OPP-0000094,Deal 0000094,lost,74401.73,2024-12-19,2024-12-29 01:37:33,ACC-0002722
OPP-0000095,Deal 0000095,prospect,10416.85,2026-02-19,2022-06-18 00:17:50,ACC-0000316
OPP-0000096,Deal 0000096,prospect,21022.62,2026-03-26,2022-01-26 20:35:43,ACC-0003942
OPP-0000097,Deal 0000097,qualification,52759.96,2025-08-08,2022-08-03 09:38:02,ACC-0004720
OPP-0000098,Deal 0000098,qualification,33153.03,2023-06-26,2023-09-21 20:55:50,ACC-0004148
OPP-0000099,Deal 0000099,qualification,14409.52,2023-04-01,2022-12-12 11:58:05,ACC-0000564
OPP-0000100,Deal 0000100,lost,4991.98,2023-02-07,2025-10-14 09:20:56,ACC-0001265
OPP-0000101,Deal 0000101,prospect,24839.98,2024-10-10,2023-05-17 23:08:01,ACC-0004484
OPP-0000102,Deal 0000102,negotiation,20257.31,2025-03-17,2025-10-20 10:08:16,ACC-0001460
OPP-0000103,Deal 0000103,prospect,23617.77,2026-06-08,2025-12-17 10:51:03,ACC-0004109
OPP-0000104,Deal 0000104,proposal,8298.5,2023-02-11,2023-04-19 09:21:14,ACC-0004494
OPP-0000105,Deal 0000105,lost,11417.53,2025-03-10,2025-02-10 12:13:30,ACC-0002359
OPP-0000106,Deal 0000106,prospect,2442.1,2024-06-15,2023-05-27 18:30:38,ACC-0000606
OPP-0000107,Deal 0000107,qualification,7556.78,2025-02-04,2023-07-31 15:23:11,ACC-0000432
OPP-0000108,Deal 0000108,negotiation,1675.63,2025-08-29,2024-02-10 16:21:41,ACC-0000047
OPP-0000109,Deal 0000109,prospect,30149.91,2025-12-26,2023-11-24 18:54:22,ACC-0000560
OPP-0000110,Deal 0000110,qualification,2687.66,2025-12-29,2023-01-01 05:25:56,ACC-0004829
OPP-0000111,Deal 0000111,prospect,16325.16,2025-04-17,2023-05-13 11:55:20,ACC-0003931
OPP-0000112,Deal 0000112,prospect,12924.28,2025-09-20,2023-03-25 13:15:22,ACC-0001657
OPP-0000113,Deal 0000113,proposal,15233.14,2023-07-27,2025-04-09 20:56:27,ACC-0001638
OPP-0000114,Deal 0000114,prospect,24544.19,2025-07-01,2023-04-21 01:21:19,ACC-0001843
OPP-0000115,Deal 0000115,prospect,27101.68,2025-06-29,2024-12-12 11:31:51,ACC-0003536
OPP-0000116,Deal 0000116,prospect,26875.36,2023-09-06,2024-08-24 13:18:20,ACC-0000011
OPP-0000117,Deal 0000117,won,3425.39,2025-06-24,2024-07-25 00:36:33,ACC-0000979
OPP-0000118,Deal 0000118,negotiation,11215.72,2024-12-01,2022-02-24 00:04:45,ACC-0000004
OPP-0000119,Deal 0000119,qualification,121892.1,2024-07-19,2023-02-28 14:47:41,ACC-0003057
OPP-0000120,Deal 0000120,won,13190.77,2025-04-30,2025-11-05 05:48:05,ACC-0004979
OPP-0000121,Deal 0000121,prospect,3176.16,2025-12-27,2022-07-30 11:30:58,ACC-0002656
OPP-0000122,Deal 0000122,qualification,40839.21,2024-12-14,2025-07-01 23:47:15,ACC-0001883
OPP-0000123,Deal 0000123,won,35526.31,2023-05-10,2022-08-12 01:10:24,ACC-0000319
OPP-0000124,Deal 0000124,prospect,24340.01,2025-10-16,2022-04-06 00:53:59,ACC-0001575
OPP-0000125,Deal 0000125,won,80724.67,2025-06-17,2025-11-30 11:44:05,ACC-0000874
OPP-0000126,Deal 0000126,qualification,29706.79,2023-01-28,2024-10-14 08:27:55,ACC-0002390
OPP-0000127,Deal 0000127,lost,56392.51,2023-01-14,2023-05-14 03:09:08,ACC-0000448
OPP-0000128,Deal 0000128,lost,39361.65,2025-01-22,2024-08-01 12:23:14,ACC-0003460
OPP-0000129,Deal 0000129,lost,9870.75,2025-08-26,2022-07-01 15:25:42,ACC-0003982
OPP-0000130,Deal 0000130,negotiation,21756.77,2024-07-24,2025-11-25 17:10:39,ACC-0002518
OPP-0000131,Deal 0000131,negotiation,6654.15,2023-05-12,2023-03-11 15:54:25,ACC-0002757
OPP-0000132,Deal 0000132,won,47581.99,2024-03-10,2025-06-16 20:04:05,ACC-0000312
OPP-0000133,Deal 0000133,qualification,114247.91,2024-11-10,2022-05-14 05:04:03,ACC-0004075
OPP-0000134,Deal 0000134,proposal,8054.01,2023-03-23,2025-06-17 10:01:36,ACC-0004145
OPP-0000135,Deal 0000135,prospect,6727.15,2025-01-09,2025-07-29 10:06:40,ACC-0003061
OPP-0000136,Deal 0000136,qualification,14483.8,2023-11-29,2023-05-17 21:47:23,ACC-0001442
OPP-0000137,Deal 0000137,won,33549.0,2025-07-14,2023-02-04 03:43:43,ACC-0000423
OPP-0000138,Deal 0000138,negotiation,44660.44,2023-06-21,2023-05-03 01:16:05,ACC-0004462
OPP-0000139,Deal 0000139,proposal,16869.0,2024-03-12,2023-01-22 09:47:08,ACC-0000621
OPP-0000140,Deal 0000140,qualification,55352.26,2025-03-06,2023-10-12 14:26:12,ACC-0001414
OPP-0000141,Deal 0000141,won,9336.96,2024-07-11,2022-07-17 13:08:21,ACC-0003707
OPP-0000142,Deal 0000142,prospect,21520.56,2024-02-06,2023-11-09 16:34:28,ACC-0003986
OPP-0000143,Deal 0000143,qualification,23333.32,2023-12-20,2025-06-18 06:32:51,ACC-0004874
OPP-0000144,Deal 0000144,qualification,5634.25,2025-02-05,2024-03-05 10:29:14,ACC-0003561
OPP-0000145,Deal 0000145,prospect,20952.19,2023-12-22,2024-08-09 21:48:49,ACC-0002551
OPP-0000146,Deal 0000146,won,25069.28,2024-05-10,2022-04-01 09:52:12,ACC-0000474
OPP-0000147,Deal 0000147,won,17446.03,2024-08-09,2023-11-23 03:56:55,ACC-0000859
OPP-0000148,Deal 0000148,lost,61454.3,2025-12-02,2023-09-02 14:21:24,ACC-0001608
OPP-0000149,Deal 0000149,won,14829.24,2025-05-26,2025-07-17 16:50:19,ACC-0003943
OPP-0000150,Deal 0000150,proposal,7889.74,2023-10-23,2024-02-07 12:17:18,ACC-0000943
OPP-0000151,Deal 0000151,prospect,24604.39,2023-11-30,2025-08-12 00:45:03,ACC-0001370
OPP-0000152,Deal 0000152,prospect,62723.48,2024-08-03,2023-08-11 00:40:15,ACC-0001615
OPP-0000153,Deal 0000153,proposal,50580.33,2025-12-29,2022-10-07 04:56:18,ACC-0002577
OPP-0000154,Deal 0000154,proposal,24618.57,2023-08-28,2025-05-21 06:31:48,ACC-0004417
OPP-0000155,Deal 0000155,won,29791.57,2024-10-07,2023-02-07 18:03:39,ACC-0001350
OPP-0000156,Deal 0000156,qualification,187638.59,2026-04-25,2024-04-17 20:08:32,ACC-0004899
OPP-0000157,Deal 0000157,won,84039.57,2025-06-17,2023-08-25 18:02:09,ACC-0001237
OPP-0000158,Deal 0000158,proposal,10568.74,2026-04-13,2025-11-23 21:21:09,ACC-0000854
OPP-0000159,Deal 0000159,prospect,41056.7,2025-08-29,2025-11-10 13:58:19,ACC-0004147
OPP-0000160,Deal 0000160,lost,6085.46,2026-03-04,2022-03-04 11:11:57,ACC-0004189
OPP-0000161,Deal 0000161,won,43503.48,2024-09-30,2023-09-12 12:00:27,ACC-0001021
OPP-0000162,Deal 0000162,won,74932.36,2025-01-12,2022-08-16 20:54:40,ACC-0004347
OPP-0000163,Deal 0000163,won,64507.27,2025-03-06,2023-07-09 09:06:38,ACC-0002136
OPP-0000164,Deal 0000164,prospect,27821.29,2024-01-01,2024-06-05 22:58:24,ACC-0001155
OPP-0000165,Deal 0000165,prospect,189760.38,2024-07-14,2025-06-03 12:31:59,ACC-0003994
OPP-0000166,Deal 0000166,negotiation,20820.21,2026-05-16,2024-03-17 00:02:08,ACC-0001641
OPP-0000167,Deal 0000167,lost,22303.81,2026-01-30,2023-08-09 22:57:16,ACC-0003388
OPP-0000168,Deal 0000168,qualification,3891.82,2026-04-04,2022-10-28 08:51:21,ACC-0001035
OPP-0000169,Deal 0000169,proposal,30067.21,2025-07-04,2022-05-25 16:13:29,ACC-0002059
OPP-0000170,Deal 0000170,won,39782.15,2025-09-07,2024-03-27 13:20:18,ACC-0001653
OPP-0000171,Deal 0000171,proposal,59357.79,2026-01-28,2022-11-16 18:21:35,ACC-0000885
OPP-0000172,Deal 0000172,qualification,9646.54,2025-03-12,2023-12-01 09:57:35,ACC-0001916
OPP-0000173,Deal 0000173,proposal,18722.98,2023-08-22,2025-05-23 22:34:41,ACC-0000597
OPP-0000174,Deal 0000174,lost,35699.07,2025-10-26,2025-05-21 05:40:13,ACC-0003338
OPP-0000175,Deal 0000175,lost,31899.22,2025-10-31,2025-11-18 18:16:07,ACC-0003701
OPP-0000176,Deal 0000176,qualification,41924.74,2023-06-18,2025-01-02 18:59:05,ACC-0003457
OPP-0000177,Deal 0000177,won,43315.85,2025-06-08,2023-08-16 08:52:06,ACC-0002954
OPP-0000178,Deal 0000178,qualification,70822.98,2025-04-13,2022-01-02 23:11:22,ACC-0002936
OPP-0000179,Deal 0000179,qualification,49967.18,2025-02-09,2025-01-07 16:22:01,ACC-0002465
OPP-0000180,Deal 0000180,lost,27899.61,2024-03-20,2023-09-10 10:24:17,ACC-0004593
OPP-0000181,Deal 0000181,prospect,72539.54,2026-04-05,2024-08-04 16:01:44,ACC-0000572
OPP-0000182,Deal 0000182,won,2555.2,2023-10-23,2024-08-07 04:04:11,ACC-0001696
OPP-0000183,Deal 0000183,prospect,77747.09,2023-08-31,2024-04-12 11:44:33,ACC-0002636
OPP-0000184,Deal 0000184,qualification,30192.68,2023-09-19,2022-09-30 11:36:36,ACC-0002197
OPP-0000185,Deal 0000185,prospect,18485.72,2026-05-25,2025-07-26 23:37:29,ACC-0003565
OPP-0000186,Deal 0000186,qualification,79955.79,2024-03-31,2023-09-06 17:10:41,ACC-0004224
OPP-0000187,Deal 0000187,negotiation,26712.35,2026-02-22,2023-10-24 04:05:03,ACC-0001680
OPP-0000188,Deal 0000188,lost,28166.29,2023-10-29,2024-12-15 08:35:01,ACC-0004124
OPP-0000189,Deal 0000189,proposal,10039.02,2025-08-17,2025-11-11 12:38:46,ACC-0003348
OPP-0000190,Deal 0000190,prospect,12412.08,2025-03-23,2025-02-21 07:21:35,ACC-0004729
OPP-0000191,Deal 0000191,qualification,17186.04,2023-08-15,2025-08-17 23:03:41,ACC-0003413
OPP-0000192,Deal 0000192,proposal,4291.54,2024-03-02,2024-09-10 01:41:14,ACC-0002644
OPP-0000193,Deal 0000193,lost,57955.12,2026-01-19,2022-01-02 07:52:45,ACC-0004488
OPP-0000194,Deal 0000194,won,77009.3,2025-08-16,2024-03-11 22:01:22,ACC-0001410
OPP-0000195,Deal 0000195,lost,12040.16,2023-02-16,2023-04-20 21:31:31,ACC-0003660
OPP-0000196,Deal 0000196,negotiation,12911.77,2024-07-11,2022-08-24 19:25:48,ACC-0003517
OPP-0000197,Deal 0000197,won,21779.63,2023-11-17,2023-08-13 16:49:06,ACC-0001959
OPP-0000198,Deal 0000198,qualification,13428.74,2024-07-23,2022-03-01 07:21:07,ACC-0002160
OPP-0000199,Deal 0000199,lost,20300.57,2025-03-22,2023-06-06 22:46:29,ACC-0001850
OPP-0000200,Deal 0000200,lost,22044.15,2024-10-05,2024-12-15 00:52:50,ACC-0003702
OPP-0000201,Deal 0000201,prospect,6479.6,2023-08-03,2024-09-01 20:57:11,ACC-0000256
OPP-0000202,Deal 0000202,proposal,48529.73,2024-03-28,2025-05-03 10:30:23,ACC-0002518
OPP-0000203,Deal 0000203,qualification,37890.36,2026-02-10,2023-05-07 01:23:26,ACC-0003348
OPP-0000204,Deal 0000204,won,19926.37,2023-09-27,2023-10-16 20:26:30,ACC-0002879
OPP-0000205,Deal 0000205,negotiation,11605.96,2024-05-01,2025-08-29 22:17:28,ACC-0003634
OPP-0000206,Deal 0000206,proposal,21811.31,2024-09-18,2025-05-05 23:56:11,ACC-0000249
OPP-0000207,Deal 0000207,prospect,13032.5,2024-01-04,2023-01-05 18:08:51,ACC-0003839
OPP-0000208,Deal 0000208,won,7327.48,2026-02-22,2025-05-14 21:01:16,ACC-0003702
OPP-0000209,Deal 0000209,qualification,18862.15,2025-04-12,2025-10-02 01:16:12,ACC-0002815
OPP-0000210,Deal 0000210,negotiation,19511.47,2024-06-02,2024-09-14 08:09:07,ACC-0000489
OPP-0000211,Deal 0000211,lost,5718.94,2024-06-08,2022-07-30 17:51:25,ACC-0003715
OPP-0000212,Deal 0000212,won,22342.56,2024-02-03,2025-03-16 01:32:57,ACC-0001485
OPP-0000213,Deal 0000213,lost,82262.36,2025-07-19,2022-08-26 20:43:39,ACC-0001189
OPP-0000214,Deal 0000214,proposal,128242.9,2024-09-04,2025-06-09 17:47:04,ACC-0002418
OPP-0000215,Deal 0000215,lost,15342.88,2025-07-16,2023-08-13 12:33:13,ACC-0000735
OPP-0000216,Deal 0000216,qualification,14922.11,2026-01-19,2024-10-28 05:37:00,ACC-0002376
OPP-0000217,Deal 0000217,qualification,79879.07,2024-09-16,2022-07-12 00:53:36,ACC-0003390
OPP-0000218,Deal 0000218,qualification,13909.45,2024-11-19,2025-05-01 23:13:12,ACC-0003662
OPP-0000219,Deal 0000219,won,12774.87,2025-09-17,2025-01-11 03:55:00,ACC-0001593
OPP-0000220,Deal 0000220,qualification,41796.23,2023-06-02,2024-01-02 19:41:30,ACC-0004682
OPP-0000221,Deal 0000221,qualification,27563.91,2023-01-03,2023-07-23 21:48:12,ACC-0002964
OPP-0000222,Deal 0000222,won,9141.68,2025-09-15,2025-05-16 05:04:38,ACC-0004077
OPP-0000223,Deal 0000223,negotiation,9519.15,2024-03-02,2022-05-11 05:48:09,ACC-0001153
OPP-0000224,Deal 0000224,lost,10324.55,2023-04-08,2024-07-28 05:09:24,ACC-0004280
OPP-0000225,Deal 0000225,proposal,15457.44,2024-04-15,2023-08-31 21:01:23,ACC-0001583
OPP-0000226,Deal 0000226,proposal,20636.96,2025-11-02,2024-03-09 05:59:42,ACC-0004093
OPP-0000227,Deal 0000227,prospect,105681.51,2025-03-22,2022-07-11 23:20:55,ACC-0002479
OPP-0000228,Deal 0000228,qualification,51973.96,2023-03-08,2022-03-28 09:11:42,ACC-0003091
OPP-0000229,Deal 0000229,qualification,56129.96,2025-07-28,2022-07-28 07:35:13,ACC-0000543
OPP-0000230,Deal 0000230,qualification,16320.76,2023-06-05,2025-10-04 06:02:25,ACC-0004594
OPP-0000231,Deal 0000231,won,70612.79,2024-06-13,2024-06-04 07:15:22,ACC-0003050
OPP-0000232,Deal 0000232,proposal,18057.55,2025-06-02,2024-11-28 23:16:25,ACC-0004175
OPP-0000233,Deal 0000233,prospect,42596.2,2025-03-27,2022-06-15 20:35:25,ACC-0004892
OPP-0000234,Deal 0000234,prospect,2752.2,2025-11-23,2023-11-07 00:08:54,ACC-0004919
OPP-0000235,Deal 0000235,qualification,38337.52,2023-04-19,2022-07-25 16:47:14,ACC-0002691
OPP-0000236,Deal 0000236,qualification,6928.36,2026-03-19,2022-10-18 15:54:55,ACC-0004677
OPP-0000237,Deal 0000237,qualification,19727.87,2024-12-23,2022-07-19 09:43:28,ACC-0004831
OPP-0000238,Deal 0000238,proposal,13584.47,2024-09-18,2023-09-02 03:50:01,ACC-0003341
OPP-0000239,Deal 0000239,negotiation,23945.51,2024-06-01,2022-06-24 20:52:45,ACC-0002611
OPP-0000240,Deal 0000240,qualification,48599.46,2025-03-11,2023-01-24 08:15:55,ACC-0001296
OPP-0000241,Deal 0000241,proposal,112134.27,2025-02-03,2025-05-31 09:40:38,ACC-0000263
OPP-0000242,Deal 0000242,negotiation,41598.41,2023-08-04,2022-05-28 05:12:35,ACC-0000043
OPP-0000243,Deal 0000243,qualification,6258.75,2025-01-20,2023-06-26 16:05:07,ACC-0002701
OPP-0000244,Deal 0000244,lost,19359.67,2023-12-11,2024-10-05 20:20:50,ACC-0002781
OPP-0000245,Deal 0000245,proposal,22710.75,2026-06-26,2024-02-13 08:49:09,ACC-0004728
OPP-0000246,Deal 0000246,qualification,13693.8,2026-06-04,2023-12-07 23:01:35,ACC-0003315
OPP-0000247,Deal 0000247,qualification,25224.62,2024-03-06,2024-07-12 14:43:17,ACC-0003917
OPP-0000248,Deal 0000248,lost,17563.53,2023-01-04,2022-03-25 08:03:16,ACC-0004450
OPP-0000249,Deal 0000249,won,46734.2,2024-03-21,2023-05-31 13:54:32,ACC-0004642
OPP-0000250,Deal 0000250,proposal,104081.19,2024-10-23,2025-04-17 06:18:06,ACC-0002308
OPP-0000251,Deal 0000251,prospect,12766.29,2026-05-08,2022-07-21 14:36:11,ACC-0003318
OPP-0000252,Deal 0000252,won,43860.35,2024-04-28,2022-02-09 02:42:01,ACC-0004488
OPP-0000253,Deal 0000253,proposal,23002.29,2023-09-06,2024-02-25 19:11:57,ACC-0001228
OPP-0000254,Deal 0000254,negotiation,13392.84,2025-06-23,2023-03-01 13:32:52,ACC-0003735
OPP-0000255,Deal 0000255,negotiation,23319.74,2025-12-09,2022-12-04 19:56:15,ACC-0004449
OPP-0000256,Deal 0000256,proposal,10874.84,2025-08-03,2024-02-20 23:36:51,ACC-0004373
OPP-0000257,Deal 0000257,prospect,20003.54,2025-02-26,2023-08-26 17:22:21,ACC-0000282
OPP-0000258,Deal 0000258,lost,3277.92,2024-08-26,2023-07-03 06:19:00,ACC-0002538
OPP-0000259,Deal 0000259,prospect,20977.03,2023-05-16,2024-07-27 00:51:42,ACC-0004594
OPP-0000260,Deal 0000260,qualification,11283.33,2023-03-30,2024-11-02 02:13:27,ACC-0003671
OPP-0000261,Deal 0000261,won,53068.46,2025-02-11,2025-04-24 02:57:49,ACC-0003953
OPP-0000262,Deal 0000262,negotiation,61485.01,2025-07-18,2024-07-13 19:13:35,ACC-0000588
OPP-0000263,Deal 0000263,won,6582.53,2025-02-26,2025-04-13 02:22:29,ACC-0004694
OPP-0000264,Deal 0000264,proposal,43646.39,2023-10-16,2024-12-15 22:15:09,ACC-0004266
