opportunity_id,contact_id,role
OPP-0001638,CON-0007210,financial
OPP-0000713,CON-0012372,end_user
OPP-0002963,CON-0005972,technical
OPP-0001625,CON-0010752,end_user
OPP-0002684,CON-0008607,financial
OPP-0000066,CON-0006328,influencer
OPP-0002054,CON-0014275,end_user
OPP-0000143,CON-0004047,decision_maker
OPP-0001505,CON-0006584,technical
OPP-0002861,CON-0012641,financial
OPP-0001700,CON-0001330,financial
OPP-0001995,CON-0004570,influencer
OPP-0000629,CON-0002710,end_user
OPP-0000333,CON-0012292,technical
OPP-0001709,CON-0009893,influencer
OPP-0001775,CON-0003246,end_user
OPP-0001813,CON-0007308,influencer
OPP-0001834,CON-0012019,technical
OPP-0000190,CON-0008718,decision_maker
OPP-0002926,CON-0004637,end_user
OPP-0002631,CON-0003840,decision_maker
OPP-0001454,CON-0002085,decision_maker
OPP-0002725,CON-0013954,end_user
OPP-0001866,CON-0013503,technical
OPP-0002304,CON-0012781,decision_maker
OPP-0002383,CON-0004674,decision_maker
OPP-0000218,CON-0004944,technical
OPP-0001087,CON-0008829,financial
OPP-0001808,CON-0005055,end_user
OPP-0000031,CON-0008015,influencer
OPP-0000287,CON-0004477,technical
OPP-0000294,CON-0003494,influencer
OPP-0000108,CON-0009273,decision_maker
OPP-0000095,CON-0000690,financial
OPP-0000711,CON-0007630,technical
OPP-0002158,CON-0001990,financial
OPP-0001493,CON-0009238,decision_maker
OPP-0000844,CON-0004146,end_user
OPP-0002345,CON-0011936,end_user
OPP-0001712,CON-0010044,end_user
OPP-0001980,CON-0008492,decision_maker
OPP-0001988,CON-0012260,decision_maker
OPP-0002690,CON-0012580,technical
OPP-0001954,CON-0000966,technical
OPP-0000392,CON-0009382,influencer
OPP-0000256,CON-0009718,financial
OPP-0001647,CON-0014236,end_user
OPP-0001997,CON-0012912,influencer
OPP-0002847,CON-0013195,financial
OPP-0001828,CON-0014326,technical
OPP-0000100,CON-0001674,end_user
OPP-0000439,CON-0003135,influencer
OPP-0002473,CON-0013759,end_user
OPP-0001971,CON-0000936,technical
OPP-0002579,CON-0008530,technical
OPP-0000737,CON-0014333,financial
OPP-0000718,CON-0013708,decision_maker
OPP-0002392,CON-0014859,influencer
OPP-0001684,CON-0014145,decision_maker
OPP-0001473,CON-0001329,influencer
OPP-0000076,CON-0002870,technical
OPP-0002872,CON-0010512,end_user
OPP-0002297,CON-0008058,technical
OPP-0001462,CON-0006139,financial
OPP-0001748,CON-0014746,decision_maker
OPP-0000904,CON-0009496,decision_maker
OPP-0001215,CON-0010310,decision_maker
OPP-0000341,CON-0013872,end_user
OPP-0000133,CON-0008489,end_user
OPP-0000293,CON-0014412,end_user
OPP-0002168,CON-0000530,decision_maker
OPP-0001812,CON-0004198,influencer
OPP-0000948,CON-0012517,end_user
OPP-0002627,CON-0003568,technical
OPP-0002536,CON-0012493,decision_maker
OPP-0001836,CON-0000537,influencer
OPP-0001467,CON-0014623,financial
OPP-0000558,CON-0001482,influencer
OPP-0001014,CON-0007470,end_user
OPP-0000950,CON-0012039,end_user
OPP-0000167,CON-0000726,technical
OPP-0002201,CON-0004301,end_user
OPP-0001021,CON-0007401,financial
OPP-0002534,CON-0009536,end_user
OPP-0002340,CON-0002440,decision_maker
OPP-0001789,CON-0008181,end_user
OPP-0001959,CON-0011057,decision_maker
OPP-0002581,CON-0006175,technical
OPP-0001805,CON-0002544,decision_maker
OPP-0000211,CON-0010219,decision_maker
OPP-0000682,CON-0010680,decision_maker
OPP-0002466,CON-0013614,technical
OPP-0000679,CON-0011344,technical
OPP-0002468,CON-0005909,financial
OPP-0000442,CON-0012828,influencer
OPP-0000257,CON-0012630,financial
OPP-0001483,CON-0005752,influencer
OPP-0002648,CON-0004685,financial
OPP-0000135,CON-0010845,decision_maker
OPP-0000568,CON-0007685,financial
OPP-0000100,CON-0012586,end_user
OPP-0000928,CON-0010367,technical
OPP-0002808,CON-0004612,influencer
OPP-0001151,CON-0007239,technical
OPP-0000651,CON-0013557,financial
OPP-0001754,CON-0013197,technical
OPP-0000570,CON-0001106,influencer
OPP-0001904,CON-0002617,end_user
OPP-0002400,CON-0007006,financial
OPP-0002410,CON-0003186,influencer
OPP-0000219,CON-0011664,technical
OPP-0002490,CON-0007610,end_user
OPP-0001991,CON-0004164,technical
OPP-0001038,CON-0003260,end_user
OPP-0001835,CON-0002095,technical
OPP-0001635,CON-0000751,technical
OPP-0002943,CON-0001009,financial
OPP-0000660,CON-0001137,influencer
OPP-0002900,CON-0007037,financial
OPP-0000805,CON-0008512,influencer
OPP-0000349,CON-0001151,financial
OPP-0001856,CON-0001393,financial
OPP-0000759,CON-0010794,technical
OPP-0001462,CON-0013210,end_user
OPP-0000933,CON-0004108,financial
OPP-0001738,CON-0001579,decision_maker
OPP-0000399,CON-0006475,technical
OPP-0002957,CON-0013713,technical
OPP-0002296,CON-0003377,technical
OPP-0000214,CON-0010536,influencer
OPP-0002893,CON-0013919,end_user
OPP-0002197,CON-0013748,decision_maker
OPP-0001966,CON-0001924,technical
OPP-0001142,CON-0003701,influencer
OPP-0001907,CON-0013586,financial
OPP-0001207,CON-0012822,financial
OPP-0002297,CON-0002173,financial
OPP-0002429,CON-0000834,decision_maker
OPP-0002449,CON-0009147,decision_maker
OPP-0000703,CON-0011232,decision_maker
OPP-0000442,CON-0001467,end_user
OPP-0000513,CON-0010985,end_user
OPP-0002249,CON-0008808,influencer
OPP-0000113,CON-0013823,technical
OPP-0000459,CON-0002250,influencer
OPP-0001266,CON-0010434,end_user
OPP-0001686,CON-0006287,end_user
OPP-0002259,CON-0002423,influencer
OPP-0002303,CON-0003844,decision_maker
OPP-0000850,CON-0010269,end_user
OPP-0002297,CON-0008180,influencer
OPP-0001850,CON-0002233,financial
OPP-0000497,CON-0012576,decision_maker
OPP-0000452,CON-0006262,decision_maker
OPP-0000586,CON-0005421,technical
OPP-0001271,CON-0005761,financial
OPP-0000198,CON-0010495,technical
OPP-0002434,CON-0010018,influencer
OPP-0000147,CON-0002121,influencer
OPP-0000160,CON-0009620,decision_maker
OPP-0002765,CON-0003455,end_user
OPP-0001755,CON-0008936,influencer
OPP-0002050,CON-0010529,influencer
OPP-0001876,CON-0014889,end_user
OPP-0000788,CON-0008053,decision_maker
OPP-0001943,CON-0003287,end_user
OPP-0002851,CON-0003039,influencer
OPP-0001328,CON-0003798,decision_maker
OPP-0001866,CON-0001787,financial
OPP-0000873,CON-0004620,end_user
OPP-0001866,CON-0010573,end_user
OPP-0002717,CON-0003397,influencer
OPP-0002116,CON-0001718,influencer
OPP-0001711,CON-0011056,influencer
OPP-0000742,CON-0011992,technical
OPP-0001917,CON-0009157,technical
OPP-0000110,CON-0009979,technical
OPP-0000436,CON-0006723,financial
OPP-0001411,CON-0011699,end_user
OPP-0002345,CON-0008570,influencer
OPP-0002955,CON-0004740,financial
OPP-0001310,CON-0013617,decision_maker
OPP-0000789,CON-0008241,decision_maker
OPP-0000396,CON-0012648,end_user
OPP-0001633,CON-0012745,end_user
OPP-0000211,CON-0007925,financial
OPP-0000077,CON-0007381,technical
OPP-0000120,CON-0000141,end_user
OPP-0000620,CON-0004950,end_user
OPP-0001802,CON-0007025,decision_maker
OPP-0000256,CON-0010832,technical
OPP-0002654,CON-0001911,financial
OPP-0002362,CON-0012740,influencer
OPP-0002591,CON-0003331,financial
OPP-0000966,CON-0014616,technical
OPP-0002086,CON-0014293,influencer
OPP-0002697,CON-0012589,influencer
OPP-0001512,CON-0009015,influencer
OPP-0002015,CON-0012494,influencer
OPP-0002781,CON-0009860,influencer
OPP-0002280,CON-0011991,end_user
OPP-0001273,CON-0014986,decision_maker
OPP-0002895,CON-0004669,end_user
OPP-0000870,CON-0008343,financial
OPP-0000393,CON-0008930,decision_maker
OPP-0001795,CON-0003470,financial
OPP-0000356,CON-0001276,end_user
OPP-0002771,CON-0013265,decision_maker
OPP-0001006,CON-0012886,decision_maker
OPP-0002110,CON-0012534,decision_maker
OPP-0002374,CON-0010731,influencer
OPP-0000510,CON-0002398,decision_maker
OPP-0001179,CON-0010843,decision_maker
OPP-0001222,CON-0013702,financial
OPP-0000219,CON-0007626,technical
OPP-0001694,CON-0010529,financial
OPP-0002523,CON-0003951,financial
OPP-0001404,CON-0007756,influencer
OPP-0001242,CON-0003591,influencer
OPP-0000868,CON-0009881,end_user
OPP-0002921,CON-0014668,influencer
OPP-0000788,CON-0010078,end_user
OPP-0001118,CON-0011828,technical
OPP-0002072,CON-0001726,technical
OPP-0000926,CON-0014045,influencer
OPP-0000397,CON-0000710,technical
OPP-0002275,CON-0000191,influencer
OPP-0002340,CON-0012526,decision_maker
OPP-0000685,CON-0014177,decision_maker
OPP-0000512,CON-0001585,influencer
OPP-0002051,CON-0005980,financial
OPP-0002758,CON-0002541,technical
OPP-0002921,CON-0005628,financial
OPP-0002055,CON-0004746,influencer
OPP-0001973,CON-0010485,financial
OPP-0001523,CON-0012735,decision_maker
OPP-0000260,CON-0003072,influencer
OPP-0002685,CON-0004795,technical
OPP-0002254,CON-0012406,decision_maker
OPP-0000080,CON-0013556,influencer
OPP-0000538,CON-0010468,decision_maker
OPP-0002313,CON-0001257,financial
OPP-0000527,CON-0012994,decision_maker
OPP-0000507,CON-0005993,end_user
OPP-0001986,CON-0002248,decision_maker
OPP-0000267,CON-0011371,decision_maker
OPP-0001386,CON-0011966,technical
OPP-0000131,CON-0010024,technical
OPP-0002684,CON-0014885,decision_maker
OPP-0001214,CON-0014888,financial
OPP-0002979,CON-0014750,decision_maker
OPP-0000978,CON-0006619,financial
OPP-0000424,CON-0009690,influencer
OPP-0002118,CON-0003116,technical
OPP-0002278,CON-0012586,technical
OPP-0000436,CON-0011760,end_user
OPP-0000765,CON-0002847,influencer
OPP-0000352,CON-0013938,technical
OPP-0000366,CON-0007389,influencer
OPP-0001504,CON-0004692,technical
OPP-0000581,CON-0008269,decision_maker
OPP-0001709,CON-0008551,financial
OPP-0001170,CON-0005368,influencer
OPP-0000318,CON-0010671,influencer
OPP-0000258,CON-0007295,end_user
OPP-0000303,CON-0013075,financial
OPP-0001896,CON-0011775,decision_maker
OPP-0002993,CON-0013714,technical
OPP-0001665,CON-0009363,technical
OPP-0002943,CON-0009807,decision_maker
OPP-0000283,CON-0002472,influencer
OPP-0000134,CON-0013233,influencer
OPP-0002106,CON-0008168,influencer
OPP-0001100,CON-0003588,end_user
OPP-0002527,CON-0007486,financial
OPP-0002579,CON-0011321,technical
OPP-0002309,CON-0011514,influencer
OPP-0001986,CON-0011173,technical
OPP-0001672,CON-0010052,end_user
OPP-0002176,CON-0007441,financial
OPP-0002905,CON-0010917,influencer
OPP-0001349,CON-0004119,financial
OPP-0002274,CON-0001928,technical
OPP-0000869,CON-0012756,influencer
OPP-0000049,CON-0000342,decision_maker
OPP-0000540,CON-0005989,technical
OPP-0002170,CON-0001620,financial
OPP-0000010,CON-0005197,decision_maker
OPP-0002095,CON-0011716,decision_maker
OPP-0001380,CON-0009897,technical
OPP-0001812,CON-0005274,influencer
OPP-0002195,CON-0009109,technical
OPP-0002238,CON-0010437,end_user
OPP-0000465,CON-0008523,financial
OPP-0002567,CON-0007256,end_user
OPP-0000130,CON-0002000,influencer
OPP-0000978,CON-0002667,influencer
OPP-0002888,CON-0005437,end_user
OPP-0001298,CON-0004534,technical
OPP-0001508,CON-0004602,technical
OPP-0000461,CON-0004865,financial
OPP-0000742,CON-0011950,financial
OPP-0002474,CON-0010895,technical
OPP-0000322,CON-0007702,technical
OPP-0001154,CON-0000198,financial
OPP-0000373,CON-0003725,end_user
OPP-0002416,CON-0010013,influencer
OPP-0000273,CON-0009638,influencer
OPP-0002652,CON-0001213,decision_maker
OPP-0001561,CON-0008559,financial
OPP-0000355,CON-0002567,end_user
OPP-0002812,CON-0005808,decision_maker
OPP-0002038,CON-0005451,technical
OPP-0002032,CON-0008885,influencer
OPP-0000051,CON-0013601,financial
OPP-0000304,CON-0002127,technical
OPP-0000620,CON-0007688,financial
OPP-0002130,CON-0002370,influencer
OPP-0002447,CON-0004328,financial
OPP-0000608,CON-0005358,financial
OPP-0000796,CON-0002020,end_user
OPP-0000652,CON-0013457,end_user
OPP-0000466,CON-0010421,end_user
OPP-0002611,CON-0002529,end_user
OPP-0002334,CON-0001626,decision_maker
OPP-0000391,CON-0001111,financial
OPP-0000880,CON-0012094,decision_maker
OPP-0002535,CON-0003394,end_user
OPP-0000810,CON-0010473,financial
OPP-0002251,CON-0010162,decision_maker
OPP-0001126,CON-0009897,financial
OPP-0001568,CON-0009516,technical
OPP-0001809,CON-0000548,end_user
OPP-0001759,CON-0009084,decision_maker
OPP-0001066,CON-0006019,decision_maker
OPP-0002399,CON-0014964,influencer
OPP-0001801,CON-0010965,influencer
OPP-0000463,CON-0011235,financial
OPP-0002259,CON-0011002,decision_maker
OPP-0002289,CON-0007284,influencer
OPP-0002303,CON-0013493,decision_maker
OPP-0001140,CON-0009410,influencer
OPP-0001183,CON-0007225,influencer
OPP-0002145,CON-0006990,end_user
OPP-0002698,CON-0014985,end_user
OPP-0002255,CON-0000507,decision_maker
OPP-0000029,CON-0011533,technical
OPP-0002166,CON-0000145,influencer
OPP-0002888,CON-0010508,financial
OPP-0002550,CON-0000558,decision_maker
OPP-0002585,CON-0000759,financial
OPP-0000565,CON-0007173,influencer
OPP-0002225,CON-0013285,decision_maker
OPP-0002544,CON-0007458,decision_maker
OPP-0002543,CON-0000744,influencer
OPP-0000520,CON-0011475,technical
OPP-0002443,CON-0006625,technical
OPP-0002088,CON-0010195,influencer
OPP-0000839,CON-0002410,financial
OPP-0001233,CON-0002404,influencer
OPP-0002076,CON-0005519,technical
OPP-0000086,CON-0008048,influencer
OPP-0001847,CON-0007110,influencer
OPP-0002547,CON-0000182,influencer
OPP-0002391,CON-0005312,influencer
OPP-0001092,CON-0014656,technical
OPP-0001856,CON-0012100,decision_maker
OPP-0002584,CON-0008434,influencer
OPP-0002696,CON-0004880,financial
OPP-0002295,CON-0007912,influencer
OPP-0001830,CON-0004807,influencer
OPP-0001014,CON-0004042,decision_maker
OPP-0002774,CON-0007374,decision_maker
OPP-0001775,CON-0014332,end_user
OPP-0001189,CON-0006874,decision_maker
OPP-0002388,CON-0006696,influencer
OPP-0000061,CON-0006362,decision_maker
OPP-0001844,CON-0006447,financial
OPP-0000412,CON-0010479,influencer
OPP-0000763,CON-0002024,end_user
OPP-0000413,CON-0014032,decision_maker
OPP-0001518,CON-0001215,financial
OPP-0000061,CON-0012528,decision_maker
OPP-0000310,CON-0000601,financial
OPP-0000591,CON-0006394,influencer
OPP-0001230,CON-0002562,decision_maker
OPP-0001919,CON-0009442,decision_maker
OPP-0001786,CON-0007513,influencer
OPP-0001187,CON-0006805,end_user
OPP-0001383,CON-0012743,influencer
OPP-0000051,CON-0000247,financial
OPP-0000859,CON-0010910,technical
OPP-0002714,CON-0005104,technical
OPP-0002713,CON-0006533,financial
OPP-0000887,CON-0000392,end_user
OPP-0002977,CON-0009730,decision_maker
OPP-0002368,CON-0003785,influencer
OPP-0001540,CON-0013725,end_user
OPP-0000948,CON-0004565,influencer
OPP-0001122,CON-0007290,decision_maker
OPP-0000854,CON-0000442,technical
OPP-0002966,CON-0013786,financial
OPP-0000317,CON-0001281,influencer
OPP-0001188,CON-0014939,technical
OPP-0001911,CON-0010452,influencer
OPP-0001044,CON-0012756,financial
OPP-0000101,CON-0003177,influencer
OPP-0001352,CON-0013059,technical
OPP-0002689,CON-0008917,end_user
OPP-0002923,CON-0007562,end_user
OPP-0000927,CON-0010414,financial
OPP-0000880,CON-0011191,financial
OPP-0002154,CON-0013307,decision_maker
OPP-0002724,CON-0009981,financial
OPP-0001055,CON-0001145,influencer
OPP-0000380,CON-0006644,decision_maker
OPP-0001894,CON-0000410,financial
OPP-0001488,CON-0008378,influencer
OPP-0001304,CON-0000261,decision_maker
OPP-0001594,CON-0006365,financial
OPP-0000062,CON-0006910,financial
OPP-0001429,CON-0006662,technical
OPP-0000379,CON-0014064,influencer
OPP-0001779,CON-0010200,decision_maker
OPP-0002466,CON-0005971,technical
OPP-0001715,CON-0007036,financial
OPP-0002200,CON-0008421,end_user
OPP-0000221,CON-0008873,financial
OPP-0000347,CON-0002744,decision_maker
OPP-0001673,CON-0012544,influencer
OPP-0001352,CON-0013232,financial
OPP-0000239,CON-0004110,influencer
OPP-0002393,CON-0001807,decision_maker
OPP-0002288,CON-0003968,influencer
OPP-0001282,CON-0002885,financial
OPP-0001539,CON-0000999,financial
OPP-0002723,CON-0010880,end_user
OPP-0001412,CON-0001190,decision_maker
OPP-0002175,CON-0006419,end_user
OPP-0000872,CON-0012324,influencer
OPP-0000848,CON-0000261,financial
OPP-0002162,CON-0014055,financial
OPP-0000488,CON-0005944,end_user
OPP-0000065,CON-0009353,technical
OPP-0001328,CON-0008854,financial
OPP-0001653,CON-0000440,influencer
OPP-0002560,CON-0008757,end_user
OPP-0001678,CON-0010166,technical
OPP-0001164,CON-0013680,end_user
OPP-0000775,CON-0003303,financial
OPP-0002114,CON-0013270,decision_maker
OPP-0000207,CON-0013436,financial
OPP-0000197,CON-0008626,technical
OPP-0000802,CON-0008008,influencer
OPP-0001726,CON-0012202,end_user
OPP-0000176,CON-0012476,end_user
OPP-0002069,CON-0003292,influencer
OPP-0002859,CON-0013573,end_user
OPP-0001040,CON-0008349,decision_maker
OPP-0001512,CON-0000082,influencer
OPP-0000728,CON-0007997,influencer
OPP-0000254,CON-0011752,financial
OPP-0001661,CON-0006042,end_user
OPP-0001196,CON-0012861,technical
OPP-0000461,CON-0011999,end_user
OPP-0000772,CON-0011781,influencer
OPP-0001276,CON-0005091,decision_maker
OPP-0001520,CON-0008719,financial
OPP-0001438,CON-0010317,influencer
OPP-0002415,CON-0007868,end_user
OPP-0000060,CON-0006761,influencer
OPP-0002947,CON-0010092,influencer
OPP-0001782,CON-0001697,influencer
OPP-0001711,CON-0000839,influencer
OPP-0000491,CON-0011891,end_user
OPP-0000392,CON-0010973,decision_maker
OPP-0000869,CON-0005155,influencer
OPP-0002735,CON-0014505,influencer
OPP-0000357,CON-0004533,end_user
OPP-0001087,CON-0012415,end_user
OPP-0002461,CON-0008585,influencer
OPP-0002814,CON-0006148,financial
OPP-0001142,CON-0010990,influencer
OPP-0000690,CON-0006064,financial
OPP-0000058,CON-0008275,technical
OPP-0002925,CON-0011823,influencer
OPP-0000597,CON-0009908,decision_maker
OPP-0001662,CON-0003290,financial
OPP-0000162,CON-0003505,end_user
OPP-0002254,CON-0005930,financial
OPP-0000551,CON-0002058,decision_maker
OPP-0001575,CON-0000075,decision_maker
OPP-0002370,CON-0003155,influencer
OPP-0002590,CON-0000891,technical
OPP-0001723,CON-0007764,decision_maker
OPP-0001812,CON-0014296,decision_maker
OPP-0000084,CON-0012808,decision_maker
OPP-0002639,CON-0003225,influencer
OPP-0000127,CON-0010590,technical
OPP-0002977,CON-0003790,technical
OPP-0000041,CON-0010737,financial
OPP-0001980,CON-0003716,financial
OPP-0002880,CON-0009614,end_user
OPP-0000314,CON-0012397,decision_maker
OPP-0002947,CON-0001151,technical
OPP-0001540,CON-0006516,end_user
OPP-0001262,CON-0008773,financial
OPP-0002995,CON-0000999,decision_maker
OPP-0001973,CON-0007583,technical
OPP-0001781,CON-0013096,influencer
OPP-0001901,CON-0014080,technical
OPP-0000470,CON-0007891,financial
OPP-0000014,CON-0006891,end_user
OPP-0002177,CON-0008892,decision_maker
OPP-0002362,CON-0009356,technical
OPP-0001419,CON-0004636,financial
OPP-0000873,CON-0008125,end_user
OPP-0001488,CON-0001496,financial
OPP-0002308,CON-0006402,decision_maker
OPP-0001265,CON-0001128,financial
OPP-0002253,CON-0013337,technical
OPP-0000595,CON-0003240,influencer
OPP-0002267,CON-0010044,influencer
OPP-0000941,CON-0012722,financial
OPP-0000360,CON-0014575,decision_maker
OPP-0002281,CON-0006968,influencer
OPP-0000816,CON-0013055,decision_maker
OPP-0000214,CON-0009473,end_user
OPP-0002168,CON-0008620,decision_maker
OPP-0001258,CON-0003993,end_user
OPP-0001157,CON-0011289,financial
OPP-0002464,CON-0014904,influencer
OPP-0001504,CON-0012734,end_user
OPP-0002722,CON-0007104,technical
OPP-0001412,CON-0011905,financial
OPP-0002869,CON-0000281,financial
OPP-0002495,CON-0002584,financial
OPP-0001211,CON-0001043,end_user
OPP-0002961,CON-0006906,influencer
OPP-0001761,CON-0008672,influencer
OPP-0001197,CON-0005082,influencer
OPP-0000479,CON-0013412,influencer
OPP-0002613,CON-0008627,end_user
OPP-0002744,CON-0002129,technical
OPP-0002669,CON-0008537,technical
OPP-0000260,CON-0013637,decision_maker
OPP-0001695,CON-0012262,end_user
OPP-0002218,CON-0006913,financial
OPP-0000880,CON-0000664,technical
OPP-0001440,CON-0002303,technical
OPP-0001725,CON-0000216,technical
OPP-0002261,CON-0001162,financial
OPP-0001456,CON-0002097,influencer
OPP-0000663,CON-0007322,technical
OPP-0000676,CON-0007241,decision_maker
OPP-0001606,CON-0005463,influencer
OPP-0002151,CON-0014625,influencer
OPP-0000621,CON-0001298,technical
OPP-0001132,CON-0008946,financial
OPP-0000477,CON-0010595,end_user
OPP-0001598,CON-0012951,influencer
OPP-0000385,CON-0000471,decision_maker
OPP-0002437,CON-0004276,influencer
OPP-0000438,CON-0002156,influencer
OPP-0002030,CON-0000818,influencer
OPP-0001330,CON-0000024,influencer
OPP-0002854,CON-0005913,technical
OPP-0001770,CON-0000294,influencer
OPP-0001625,CON-0010567,financial
OPP-0000804,CON-0005885,influencer
OPP-0000565,CON-0006715,influencer
OPP-0001942,CON-0003361,influencer
OPP-0000243,CON-0010542,decision_maker
OPP-0002845,CON-0008598,decision_maker
OPP-0000241,CON-0008478,financial
OPP-0001890,CON-0005597,influencer
OPP-0001635,CON-0008578,financial
OPP-0000236,CON-0009483,financial
OPP-0002018,CON-0007718,financial
OPP-0001078,CON-0009692,decision_maker
OPP-0002136,CON-0010412,decision_maker
OPP-0002612,CON-0006874,influencer
OPP-0001736,CON-0003706,technical
OPP-0000475,CON-0005905,influencer
OPP-0002471,CON-0005025,end_user
OPP-0000435,CON-0003298,financial
OPP-0001562,CON-0006369,influencer
OPP-0002587,CON-0009743,decision_maker
OPP-0002226,CON-0003440,technical
OPP-0001908,CON-0003422,technical
OPP-0000854,CON-0014366,technical
OPP-0002013,CON-0012308,technical
OPP-0000898,CON-0004831,technical
OPP-0002822,CON-0003337,end_user
OPP-0001427,CON-0014082,financial
OPP-0002328,CON-0002471,end_user
OPP-0002492,CON-0006828,decision_maker
OPP-0002014,CON-0006013,decision_maker
OPP-0001341,CON-0014102,financial
OPP-0001445,CON-0009040,technical
OPP-0001362,CON-0002013,influencer
OPP-0002328,CON-0008937,end_user
OPP-0000586,CON-0009982,financial
OPP-0002805,CON-0009086,decision_maker
OPP-0002314,CON-0000480,influencer
OPP-0000470,CON-0000883,decision_maker
OPP-0001239,CON-0003983,end_user
OPP-0001309,CON-0010990,influencer
OPP-0001033,CON-0012892,decision_maker
OPP-0002886,CON-0011502,technical
OPP-0001720,CON-0001063,end_user
OPP-0002701,CON-0001695,financial
OPP-0002787,CON-0004227,technical
OPP-0000533,CON-0012208,decision_maker
OPP-0000321,CON-0000676,technical
OPP-0002244,CON-0013163,financial
OPP-0002438,CON-0010220,technical
OPP-0001007,CON-0006317,financial
OPP-0000922,CON-0000341,decision_maker
OPP-0000153,CON-0012721,decision_maker
OPP-0002756,CON-0007448,end_user
OPP-0002620,CON-0012705,end_user
OPP-0001835,CON-0005725,decision_maker
OPP-0001617,CON-0002246,financial
OPP-0002604,CON-0009679,end_user
OPP-0002647,CON-0007357,financial
OPP-0002884,CON-0006985,financial
OPP-0002896,CON-0013843,financial
OPP-0001395,CON-0012310,influencer
OPP-0002714,CON-0000217,end_user
OPP-0001642,CON-0011713,decision_maker
OPP-0001448,CON-0009425,decision_maker
OPP-0001823,CON-0004541,decision_maker
OPP-0000823,CON-0009941,influencer
OPP-0001723,CON-0001492,financial
OPP-0001475,CON-0001544,decision_maker
OPP-0002653,CON-0006017,financial
OPP-0000862,CON-0003960,end_user
OPP-0000858,CON-0006674,decision_maker
OPP-0002420,CON-0005456,decision_maker
OPP-0000556,CON-0008297,end_user
OPP-0001321,CON-0004482,decision_maker
OPP-0001015,CON-0005346,technical
OPP-0000034,CON-0007444,influencer
OPP-0000796,CON-0009425,influencer
OPP-0000703,CON-0014037,financial
OPP-0002273,CON-0008043,decision_maker
OPP-0000126,CON-0011327,decision_maker
OPP-0001517,CON-0003285,technical
OPP-0000739,CON-0009491,financial
OPP-0000649,CON-0011745,decision_maker
OPP-0000447,CON-0010949,technical
OPP-0002986,CON-0003239,decision_maker
OPP-0000949,CON-0005315,decision_maker
OPP-0002593,CON-0001272,financial
OPP-0001645,CON-0011353,decision_maker
OPP-0000826,CON-0013427,influencer
OPP-0001240,CON-0010594,technical
OPP-0000596,CON-0014645,financial
OPP-0002447,CON-0004410,financial
OPP-0001152,CON-0001513,technical
OPP-0002669,CON-0003808,end_user
OPP-0000335,CON-0003904,influencer
OPP-0002365,CON-0000679,influencer
OPP-0000044,CON-0006422,technical
OPP-0002242,CON-0009897,end_user
OPP-0002800,CON-0009811,technical
OPP-0002782,CON-0007012,technical
